/* DATA DESCRIPTION:
Citation:	Wirth, Stefanie B; Glur, Lukas; Gilli, Adrian; Anselmetti, Flavio S (2013): Holocene flood activity data for the Northern and Southern Central Alps reconstructed from lake sediments. PANGAEA, https://doi.org/10.1594/PANGAEA.823415, 
	In supplement to: Wirth, SB et al. (2013): Holocene flood frequency across the Central Alps - solar forcing and evidence for variations in North Atlantic atmospheric circulation. Quaternary Science Reviews, 80, 112-128, https://doi.org/10.1016/j.quascirev.2013.09.002
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Flood activity [%] (Flood act) * PI: Wirth, Stefanie B (https://orcid.org/0000-0002-1276-8506, stefanie.wirth@alumni.ethz.ch) * METHOD/DEVICE: Lowpass filtered, 100a * COMMENT: Northern Alps (optional Event Labels N1 to N10)
	Flood activity [%] (Flood act) * PI: Wirth, Stefanie B (https://orcid.org/0000-0002-1276-8506, stefanie.wirth@alumni.ethz.ch) * METHOD/DEVICE: Lowpass filtered, 100a * COMMENT: Southern Alps (optional Event Labels S1 to S5)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	20122 data points
*/
Age [ka BP]	Flood act [%] (Northern Alps (optional Event...)	Flood act [%] (Southern Alps (optional Event...)
-0.010	51.49	40.23
-0.009	50.84	40.43
-0.008	50.16	40.63
-0.007	49.46	40.82
-0.006	48.75	41.00
-0.005	48.03	41.17
-0.004	47.30	41.34
-0.003	46.57	41.49
-0.002	45.83	41.62
-0.001	45.10	41.74
0.000	44.37	41.85
0.001	43.64	41.95
0.002	42.93	42.03
0.003	42.22	42.10
0.004	41.53	42.15
0.005	40.85	42.19
0.006	40.18	42.21
0.007	39.52	42.22
0.008	38.89	42.21
0.009	38.26	42.19
0.010	37.65	42.15
0.011	37.06	42.09
0.012	36.49	42.02
0.013	35.94	41.94
0.014	35.41	41.84
0.015	34.91	41.73
0.016	34.45	41.61
0.017	34.01	41.48
0.018	33.62	41.33
0.019	33.26	41.18
0.020	32.94	41.02
0.021	32.65	40.85
0.022	32.40	40.68
0.023	32.19	40.50
0.024	32.03	40.32
0.025	31.92	40.15
0.026	31.86	39.97
0.027	31.86	39.80
0.028	31.91	39.64
0.029	32.03	39.48
0.030	32.20	39.34
0.031	32.44	39.20
0.032	32.74	39.07
0.033	33.10	38.96
0.034	33.51	38.87
0.035	33.99	38.78
0.036	34.52	38.72
0.037	35.10	38.67
0.038	35.74	38.64
0.039	36.43	38.63
0.040	37.18	38.65
0.041	37.98	38.68
0.042	38.84	38.73
0.043	39.76	38.81
0.044	40.73	38.91
0.045	41.76	39.04
0.046	42.83	39.19
0.047	43.96	39.37
0.048	45.13	39.58
0.049	46.34	39.82
0.050	47.58	40.08
0.051	48.85	40.37
0.052	50.14	40.69
0.053	51.45	41.04
0.054	52.78	41.41
0.055	54.13	41.81
0.056	55.48	42.23
0.057	56.84	42.67
0.058	58.21	43.14
0.059	59.57	43.63
0.060	60.93	44.14
0.061	62.28	44.67
0.062	63.62	45.21
0.063	64.95	45.78
0.064	66.25	46.35
0.065	67.52	46.94
0.066	68.75	47.53
0.067	69.93	48.13
0.068	71.06	48.74
0.069	72.14	49.34
0.070	73.16	49.95
0.071	74.12	50.56
0.072	75.02	51.17
0.073	75.87	51.79
0.074	76.66	52.41
0.075	77.39	53.03
0.076	78.07	53.66
0.077	78.71	54.30
0.078	79.31	54.93
0.079	79.88	55.58
0.080	80.42	56.22
0.081	80.94	56.86
0.082	81.44	57.50
0.083	81.93	58.13
0.084	82.41	58.76
0.085	82.88	59.38
0.086	83.35	59.98
0.087	83.80	60.56
0.088	84.25	61.12
0.089	84.68	61.66
0.090	85.10	62.17
0.091	85.49	62.65
0.092	85.87	63.09
0.093	86.22	63.50
0.094	86.55	63.87
0.095	86.84	64.19
0.096	87.11	64.47
0.097	87.35	64.71
0.098	87.55	64.89
0.099	87.72	65.04
0.100	87.85	65.14
0.101	87.94	65.19
0.102	87.97	65.20
0.103	87.95	65.16
0.104	87.88	65.08
0.105	87.75	64.96
0.106	87.55	64.80
0.107	87.30	64.61
0.108	87.00	64.38
0.109	86.65	64.13
0.110	86.25	63.84
0.111	85.80	63.53
0.112	85.31	63.19
0.113	84.77	62.83
0.114	84.19	62.45
0.115	83.56	62.04
0.116	82.88	61.62
0.117	82.14	61.18
0.118	81.35	60.72
0.119	80.51	60.25
0.120	79.60	59.76
0.121	78.65	59.26
0.122	77.65	58.74
0.123	76.62	58.22
0.124	75.54	57.68
0.125	74.44	57.14
0.126	73.31	56.60
0.127	72.15	56.05
0.128	70.97	55.51
0.129	69.77	54.97
0.130	68.56	54.44
0.131	67.33	53.91
0.132	66.09	53.40
0.133	64.85	52.91
0.134	63.60	52.43
0.135	62.37	51.97
0.136	61.14	51.53
0.137	59.93	51.12
0.138	58.74	50.73
0.139	57.57	50.36
0.140	56.42	50.02
0.141	55.31	49.71
0.142	54.22	49.42
0.143	53.16	49.16
0.144	52.14	48.92
0.145	51.15	48.70
0.146	50.19	48.52
0.147	49.28	48.35
0.148	48.40	48.21
0.149	47.56	48.10
0.150	46.77	48.01
0.151	46.01	47.94
0.152	45.30	47.90
0.153	44.63	47.88
0.154	44.00	47.89
0.155	43.41	47.92
0.156	42.85	47.96
0.157	42.33	48.03
0.158	41.86	48.12
0.159	41.44	48.23
0.160	41.06	48.36
0.161	40.75	48.50
0.162	40.50	48.65
0.163	40.32	48.82
0.164	40.20	48.99
0.165	40.15	49.18
0.166	40.16	49.37
0.167	40.25	49.56
0.168	40.41	49.76
0.169	40.63	49.95
0.170	40.92	50.15
0.171	41.27	50.34
0.172	41.67	50.53
0.173	42.14	50.71
0.174	42.65	50.89
0.175	43.22	51.06
0.176	43.83	51.22
0.177	44.49	51.37
0.178	45.21	51.52
0.179	45.97	51.65
0.180	46.79	51.77
0.181	47.66	51.88
0.182	48.59	51.98
0.183	49.57	52.06
0.184	50.60	52.14
0.185	51.69	52.19
0.186	52.83	52.23
0.187	54.03	52.26
0.188	55.28	52.26
0.189	56.58	52.24
0.190	57.92	52.21
0.191	59.31	52.14
0.192	60.74	52.06
0.193	62.21	51.95
0.194	63.71	51.81
0.195	65.25	51.66
0.196	66.82	51.48
0.197	68.41	51.29
0.198	70.02	51.08
0.199	71.63	50.87
0.200	73.23	50.65
0.201	74.83	50.42
0.202	76.42	50.20
0.203	77.98	49.98
0.204	79.51	49.77
0.205	81.01	49.57
0.206	82.46	49.39
0.207	83.87	49.22
0.208	85.23	49.07
0.209	86.52	48.95
0.210	87.75	48.84
0.211	88.90	48.76
0.212	89.98	48.70
0.213	90.97	48.67
0.214	91.87	48.66
0.215	92.68	48.68
0.216	93.39	48.73
0.217	94.02	48.80
0.218	94.56	48.90
0.219	95.01	49.03
0.220	95.36	49.18
0.221	95.63	49.35
0.222	95.81	49.56
0.223	95.90	49.79
0.224	95.90	50.05
0.225	95.81	50.34
0.226	95.63	50.65
0.227	95.37	50.99
0.228	95.02	51.36
0.229	94.60	51.76
0.230	94.10	52.17
0.231	93.54	52.61
0.232	92.92	53.07
0.233	92.24	53.54
0.234	91.51	54.04
0.235	90.74	54.55
0.236	89.92	55.08
0.237	89.06	55.63
0.238	88.17	56.20
0.239	87.25	56.78
0.240	86.30	57.39
0.241	85.33	58.01
0.242	84.35	58.65
0.243	83.37	59.32
0.244	82.38	60.00
0.245	81.39	60.71
