Time,d18O
0,3.23
1,3.23
2,3.18
3,3.29
4,3.3
5,3.26
6,3.33
7,3.37
8,3.42
9,3.38
10,3.52
11,3.6
12,3.92
13,4.06
14,4.28
15,4.49
16,4.75
17,4.88
18,5.02
19,4.96
20,4.99
21,4.91
22,4.88
23,4.86
24,4.81
25,4.82
26,4.67
27,4.75
28,4.75
29,4.73
30,4.62
31,4.62
32,4.6
33,4.58
34,4.59
35,4.54
36,4.45
37,4.46
38,4.41
39,4.55
40,4.55
41,4.51
42,4.5
43,4.46
44,4.48
45,4.33
46,4.36
47,4.38
48,4.45
49,4.46
50,4.34
51,4.33
52,4.31
53,4.44
54,4.38
55,4.31
56,4.35
57,4.43
58,4.49
59,4.43
60,4.6
61,4.51
62,4.6
63,4.53
64,4.36
65,4.48
66,4.57
67,4.44
68,4.42
69,4.47
70,4.32
71,4.22
72,4.21
73,4.23
74,4.03
75,3.95
76,4.06
77,4.08
78,4.05
79,4.05
80,3.9
81,3.82
82,3.8
83,3.83
84,3.82
85,3.95
86,4.06
87,4.18
88,4.11
89,4.08
90,4.06
91,4.03
92,3.98
93,3.9
94,3.84
95,3.77
96,3.75
97,3.83
98,3.9
99,3.78
100,3.81
101,3.92
102,3.86
103,3.88
104,3.92
105,3.85
106,4
107,4.04
108,4.11
109,4.12
110,4.04
111,4.02
112,4.03
113,3.93
114,3.81
115,3.71
116,3.58
117,3.54
118,3.44
119,3.3
120,3.27
121,3.26
122,3.18
123,3.1
124,3.27
125,3.14
126,3.16
127,3.37
128,3.71
129,3.9
130,3.67
131,3.81
132,4.2
133,4.41
134,4.7
135,4.86
136,4.82
137,4.8
138,4.89
139,4.87
140,4.98
