/* DATA DESCRIPTION:
Citation:	Andersen, Katrine K; Bigler, Matthias; Buchardt, Susanne L; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Fischer, Hubertus; Goto-Azuma, Kumiko; Hansson, Margareta E; Heinemeier, Jan; Johnsen, Sigfus J; Larsen, L B; Muscheler, Raimund; Olsen, G J; Rasmussen, Sune Olander; Röthlisberger, Regine; Ruth, Urs; Seierstad, Inger K; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Svensson, Anders M; Vinther, Bo M (2007): Greenland Ice Core Chronology 2005 (GICC05) and 20 year means of oxygen isotope data from ice core NGRIP. PANGAEA, https://doi.org/10.1594/PANGAEA.586838
Related to:	Andersen, Katrine K; Svensson, Anders M; Johnsen, Sigfus J; Rasmussen, Sune Olander; Bigler, Matthias; Röthlisberger, Regine; Ruth, Urs; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Dahl-Jensen, Dorthe; Vinther, Bo M; Clausen, Henrik Brink (2006): The Greenland Ice Core Chronology 2005, 15-42 ka. Part 1: constructing the time scale. Quaternary Science Reviews, 25(23-24), 3246-3257, https://doi.org/10.1016/j.quascirev.2006.08.002
	Rasmussen, Sune Olander; Andersen, Katrine K; Svensson, Anders M; Steffensen, Jørgen Peder; Vinther, Bo M; Clausen, Henrik Brink; Siggaard-Andersen, Marie-Louise; Johnsen, Sigfus J; Larsen, L B; Dahl-Jensen, Dorthe; Bigler, Matthias; Röthlisberger, Regine; Fischer, Hubertus; Goto-Azuma, Kumiko; Hansson, Margareta E; Ruth, Urs (2006): A new Greenland ice core chronology for the last glacial termination. Journal of Geophysical Research: Atmospheres, 111, D06102, https://doi.org/10.1029/2005JD006079
	Rasmussen, Sune Olander; Seierstad, Inger K; Andersen, Katrine K; Bigler, Matthias; Dahl-Jensen, Dorthe; Johnsen, Sigfus J (2008): Synchronization of the NGRIP, GRIP, and GISP2 ice cores across MIS 2 and palaeoclimatic implications. Quaternary Science Reviews, 27(1-2), 18-28, https://doi.org/10.1016/j.quascirev.2007.01.016
	Svensson, Anders M; Andersen, Katrine K; Bigler, Matthias; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Johnsen, Sigfus J; Muscheler, Raimund; Rasmussen, Sune Olander; Röthlisberger, Regine; Steffensen, Jørgen Peder; Vinther, Bo M (2006): The Greenland Ice Core Chronology 2005, 15-42 ka. Part 2: comparison to other records. Quaternary Science Reviews, 25(23-24), 3258-3267, https://doi.org/10.1016/j.quascirev.2006.08.003
	Vinther, Bo M; Clausen, Henrik Brink; Johnsen, Sigfus J; Rasmussen, Sune Olander; Andersen, Katrine K; Buchardt, Susanne L; Dahl-Jensen, Dorthe; Seierstad, Inger K; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Svensson, Anders M; Olsen, G J; Heinemeier, Jan (2006): A synchronized dating of three Greenland ice cores throughout the Holocene. Journal of Geophysical Research: Atmospheres, 111, D13102, https://doi.org/10.1029/2005JD006921
Project(s):	North Greenland Ice Core Project (NGRIP) (URI: http://www.gfy.ku.dk/~www-glac/ngrip/index_eng.htm)
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM DEPTH, ice/snow: 7.35 m * MAXIMUM DEPTH, ice/snow: 2128.48 m
Event(s):	NGRIP * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2925.0 m * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Comment:	The dating of the 0-7.85 kyr BP part is described in Vinther et al., 2006. The dating of the 7.85-14.65 kyr BP part is described in Rasmussen et al., 2006. The dating of the part below 14.65 kyr BP is described in Andersen et al., 2006, Svensson et al., 2006. The transferal of GICC05 to the GRIP ice core in the 14.65-32.35 kyr BP part is described in Rasmussen et al., 2007
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age, error [±] (Age e)
	δ18O, water [‰ SMOW] (δ18O H2O) * COMMENT: 20 yera means
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	4176 data points
*/
Age [ka BP]	Depth ice/snow [m]	Age e [±]	δ18O H2O [‰ SMOW]
-0.03	7.35	0.001	-35.16
-0.01	14.15	0.001	-35.82
0.01	20.40	0.001	-35.11
0.03	26.10	0.001	-34.65
0.05	31.53	0.001	-34.53
0.07	36.83	0.001	-35.29
0.09	42.05	0.001	-35.02
0.11	46.95	0.001	-35.02
0.13	51.75	0.001	-35.78
0.15	56.33	0.001	-35.16
0.17	60.83	0.001	-35.61
0.19	65.13	0.001	-35.12
0.21	69.35	0.001	-35.79
0.23	73.60	0.001	-35.82
0.25	77.60	0.001	-35.36
0.27	81.75	0.001	-36.05
0.29	85.65	0.001	-35.39
0.31	89.55	0.001	-36.14
0.33	93.48	0.001	-35.33
0.35	97.43	0.001	-35.35
0.37	101.40	0.001	-35.72
0.39	105.28	0.001	-35.03
0.41	109.10	0.001	-35.61
0.43	112.88	0.001	-35.82
0.45	116.70	0.001	-34.93
0.47	120.43	0.001	-35.07
0.49	124.05	0.001	-35.87
0.51	128.18	0.001	-35.13
0.53	131.88	0.001	-34.98
0.55	135.73	0.001	-35.05
0.57	139.40	0.001	-35.53
0.59	143.18	0.001	-34.86
0.61	146.93	0.001	-35.25
0.63	150.70	0.001	-36.43
0.65	154.33	0.001	-35.07
0.67	157.73	0.001	-35.20
0.69	161.38	0.001	-35.49
0.71	165.13	0.001	-35.67
0.73	168.63	0.001	-35.40
0.75	172.00	0.001	-35.15
0.77	175.60	0.001	-35.80
0.79	179.23	0.001	-35.34
0.81	182.83	0.001	-35.62
0.83	186.55	0.001	-35.37
0.85	190.18	0.001	-35.59
0.87	193.98	0.001	-35.14
0.89	197.35	0.001	-35.45
0.91	200.75	0.001	-35.61
0.93	204.30	0.001	-35.92
0.95	207.85	0.001	-34.96
0.97	211.48	0.001	-35.24
0.99	215.08	0.001	-35.02
1.01	218.68	0.001	-35.00
1.03	222.20	0.001	-34.98
1.05	225.80	0.001	-35.41
1.07	229.38	0.001	-35.73
1.09	232.98	0.001	-35.35
1.11	236.38	0.001	-35.75
1.13	239.98	0.001	-35.45
1.15	243.35	0.001	-35.34
1.17	247.00	0.001	-35.38
1.19	250.60	0.001	-35.27
1.21	254.20	0.001	-35.15
1.23	257.73	0.001	-35.33
1.25	261.18	0.002	-35.33
1.27	264.53	0.002	-35.27
1.29	268.10	0.002	-35.14
1.31	271.55	0.002	-34.69
1.33	274.98	0.002	-35.44
1.35	278.70	0.002	-35.26
1.37	282.23	0.002	-35.14
1.39	285.55	0.002	-35.28
1.41	289.23	0.002	-34.43
1.43	292.70	0.002	-35.78
1.45	296.25	0.002	-35.33
1.47	299.70	0.002	-35.83
1.49	303.28	0.001	-35.39
1.51	306.70	0.001	-35.35
1.53	310.13	0.001	-35.74
1.55	313.55	0.001	-34.46
1.57	316.98	0.001	-34.64
1.59	320.40	0.001	-35.27
1.61	323.78	0.001	-35.86
1.63	327.23	0.001	-35.49
1.65	330.78	0.001	-35.27
1.67	334.05	0.001	-35.80
1.69	337.43	0.001	-34.93
1.71	340.70	0.001	-35.55
1.73	344.13	0.001	-35.90
1.75	347.68	0.001	-35.44
1.77	351.00	0.001	-35.47
1.79	354.04	0.001	-35.37
1.81	357.49	0.001	-35.04
1.83	360.91	0.001	-35.39
1.85	364.34	0.001	-34.49
1.87	367.72	0.001	-35.07
1.89	370.57	0.001	-34.43
1.91	373.97	0.001	-34.71
1.93	377.78	0.001	-35.10
1.95	381.49	0.001	-35.32
1.97	384.60	0.001	-35.11
1.99	388.47	0.001	-34.79
2.01	391.47	0.001	-35.35
2.03	395.05	0.001	-34.95
2.05	398.38	0.001	-34.89
2.07	401.53	0.001	-35.07
2.09	405.18	0.001	-35.46
2.11	408.51	0.001	-35.18
2.13	411.73	0.001	-36.07
2.15	414.83	0.001	-35.76
2.17	418.06	0.001	-35.20
2.19	421.46	0.001	-35.26
2.21	424.47	0.001	-34.84
2.23	427.77	0.001	-34.57
2.25	431.03	0.001	-34.81
2.27	434.32	0.001	-35.11
2.29	437.76	0.002	-34.94
2.31	440.88	0.002	-35.09
2.33	444.21	0.002	-35.26
2.35	447.57	0.002	-35.08
2.37	450.97	0.002	-34.68
2.39	454.01	0.002	-34.86
2.41	457.23	0.002	-35.32
2.43	460.43	0.002	-35.88
2.45	463.51	0.002	-35.48
2.47	466.55	0.002	-35.71
2.49	469.85	0.002	-34.83
2.51	472.87	0.002	-35.24
2.53	476.10	0.002	-34.84
2.55	479.35	0.002	-35.43
2.57	482.60	0.002	-35.06
