C:\ICPCHEM\1\DATA\WOLFGANG\2011\4JAN11\486_487.D,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,Acquired      : Jan 4 2011  05:45 pm using AcqMethod Teeth10s.M,,,,,,,,,,,,
Time [Sec],Li7,Na23,Mg25,Al27,Ca43,Mn55,Zn66,Rb85,Sr88,Y89,Ba138,Ce140,Nd146,Pb208,U238
0.483,350,485326.13,0,3250.33,1900.12,176096.54,150,50,0,0,0,50,0,0,25
0.956,650.01,469561.34,50,3800.46,2350.18,169877.57,150,250,0,75,0,0,25,50,25
1.429,350,478214.56,150,3150.31,2400.18,178928.75,275,0,0,0,50,0,0,100,0
1.902,400.01,471981.7,0,3650.42,2150.15,173770.46,150,50,0,0,25,0,25,0,0
2.375,300,486717.88,50,4050.52,2050.13,172152.53,250,0,0,25,0,0,0,0,0
2.848,250,472908.7,150,3650.42,2550.21,174326.64,275,100,0,50,25,0,0,75,25
3.321,500.01,491151.67,150,2500.2,1550.08,171394.16,150,50,0,25,0,0,0,100,50
3.794,700.02,482388.39,100,3700.43,2150.15,173517.63,250,50,0,0,0,0,0,25,0
4.266,450.01,487542.69,50,2900.27,2400.18,169877.57,375,0,0,0,0,0,0,25,0
4.741,750.02,481873.11,0,3350.36,1550.08,176956.27,150,0,0,0,0,0,50,75,25
5.214,300,479245.03,50,3100.3,1850.11,169928.1,125,150,0,0,50,0,25,25,25
5.687,250,479038.88,50,3650.42,2450.19,171950.3,250,50,0,0,0,25,0,25,0
6.16,550.01,472290.64,50,4550.66,2850.26,173214.3,75,50,0,0,0,0,0,50,0
6.633,350,483006.85,50,4000.51,1900.12,173821.05,175,0,100,0,25,0,0,50,25
7.106,450.01,476359.97,100,3250.33,2250.16,173315.37,175,0,50,0,0,0,25,100,0
7.579,800.02,490275.21,50,3450.38,2100.14,171646.94,225,50,0,0,50,0,0,25,0
8.052,50,480481.65,200,3350.36,1500.07,165379.22,225,100,0,0,25,0,50,50,0
8.525,400.01,481615.34,0,4100.53,2900.27,177816.03,200,100,0,0,0,0,25,100,0
8.998,300,488367.49,100,3650.42,2150.15,170787.49,275,0,0,0,0,0,0,0,0
9.471,350,484089.12,300,3150.31,1600.08,167198.62,375,0,50,0,0,0,25,50,0
9.944,650.01,477802.4,50,3300.34,2050.13,173214.3,250,100,0,50,0,0,0,50,50
10.417,250,485068.37,100,3600.41,2400.18,164671.73,200,150,0,0,0,0,0,25,0
10.89,200,487027.21,150,3700.43,1600.08,168563.29,225,0,0,0,25,0,0,50,0
11.363,350,473423.84,200,2950.28,2250.16,166187.81,350,50,0,0,25,0,0,75,0
11.836,150,477544.83,0,3750.45,1700.09,167653.49,325,50,50,25,0,25,0,75,50
