# Weather station Innsbruck (airport), Austria, WMO_ID=11120,selection from 01.01.2019 till 31.12.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=11120&lang=en
#
"Local time in Innsbruck (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2019 23:00";"-2.5";"723.4";"779.0";"0.4";"95";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"";"";"";"5.0";"-3.2";"No precipitation";"1";"";"";"";"";
"31.12.2019 22:00";"-1.4";"723.1";"778.4";"0.4";"95";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"9.0";"-2.1";"No precipitation";"1";"";"";"";"";
"31.12.2019 21:00";"-1.9";"722.9";"778.4";"0.7";"96";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"7.0";"-2.5";"No precipitation";"1";"";"";"";"";
"31.12.2019 20:00";"-0.9";"723.0";"778.3";"1.0";"94";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"8.0";"-1.7";"No precipitation";"1";"";"";"";"";
"31.12.2019 19:00";"-0.4";"722.7";"777.8";"1.2";"93";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"5.7";"";"";"2500 or more, or no clouds.";"";"";"2.3";"-1.4";"No precipitation";"1";"";"";"";"";
"31.12.2019 18:00";"0.6";"722.2";"777.1";"";"92";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"29.0";"-0.5";"No precipitation";"1";"";"";"";"";
"31.12.2019 17:00";"1.8";"722.0";"776.6";"0.6";"89";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"35.0";"0.1";"No precipitation";"1";"";"";"";"";
"31.12.2019 16:00";"3.5";"721.5";"775.7";"-0.2";"83";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"45.0";"0.9";"No precipitation";"1";"";"";"";"";
"31.12.2019 15:00";"5.1";"721.2";"775.0";"-1.3";"71";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"0.3";"No precipitation";"1";"";"";"";"";
"31.12.2019 14:00";"5.1";"721.4";"775.3";"-1.3";"70";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"50.0";"0.0";"No precipitation";"1";"";"";"";"";
"31.12.2019 13:00";"5.1";"721.7";"775.6";"";"67";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"55.0";"-0.6";"No precipitation";"1";"";"";"";"";
"31.12.2019 12:00";"3.0";"722.5";"776.9";"0.0";"75";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"-1.0";"No precipitation";"1";"";"";"";"";
"31.12.2019 11:00";"1.1";"722.7";"777.5";"0.3";"83";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"30.0";"-1.5";"No precipitation";"1";"";"";"";"";
"31.12.2019 10:00";"-0.7";"722.6";"777.8";"0.5";"90";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"28.0";"-2.2";"No precipitation";"1";"";"";"";"";
"31.12.2019 09:00";"-2.6";"722.5";"778.1";"0.6";"94";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"23.0";"-3.5";"No precipitation";"1";"";"";"";"";
"31.12.2019 08:00";"-2.6";"722.4";"778.0";"0.5";"93";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"23.0";"-3.6";"No precipitation";"1";"";"";"";"";
"31.12.2019 07:00";"-2.5";"722.1";"777.7";"0.3";"93";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"-4.3";"";"";"";"2500 or more, or no clouds.";"";"";"25.0";"-3.5";"No precipitation";"1";"";"";"";"";
"31.12.2019 06:00";"-2.6";"721.9";"777.4";"0.0";"92";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"23.0";"-3.7";"No precipitation";"1";"";"";"";"";
"31.12.2019 05:00";"-2.7";"721.9";"777.4";"0.0";"93";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"25.0";"-3.7";"No precipitation";"1";"";"";"";"";
"31.12.2019 04:00";"-3.1";"721.8";"777.4";"-0.1";"94";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"22.0";"-4.0";"No precipitation";"1";"";"";"";"";
"31.12.2019 03:00";"-3.6";"721.9";"777.7";"-0.3";"94";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"20.0";"-4.5";"No precipitation";"1";"";"";"";"";
"31.12.2019 02:00";"-4.0";"721.9";"777.7";"-0.3";"94";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"20.0";"-4.8";"No precipitation";"1";"";"";"";"";
"31.12.2019 01:00";"-3.6";"721.9";"777.7";"-0.6";"93";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"17.0";"-4.6";"No precipitation";"1";"";"";"";"";
