date,mean_temp (deg C),min_temp (deg C),max_temp (deg C),mean_pressure (mb),mean_humidity (%),mean_wind (ms-1),precip_sum (mm),month,month-year,year
2015-01-01,8.783333333333337,4.7,11.9,768.4250000000002,89.08333333333333,6.791666666666667,0.0,Jan,Jan-2015,2015
2015-01-02,8.7125,3.9,12.6,769.4458333333333,71.5,5.958333333333333,1.6,Jan,Jan-2015,2015
2015-01-03,4.612500000000001,2.8,6.2,765.6833333333333,90.75,3.0833333333333335,16.0,Jan,Jan-2015,2015
2015-01-04,1.504166666666667,-1.4,3.5,774.1041666666666,96.625,2.0416666666666665,0.0,Jan,Jan-2015,2015
2015-01-05,7.041666666666665,2.3,10.0,769.5291666666666,86.375,3.2083333333333335,0.0,Jan,Jan-2015,2015
2015-01-06,7.158333333333331,3.3,10.4,763.7083333333334,83.58333333333333,4.5,1.4,Jan,Jan-2015,2015
2015-01-07,6.216666666666666,0.7,10.0,765.4666666666666,84.91666666666667,5.75,0.4,Jan,Jan-2015,2015
2015-01-08,9.020833333333334,6.9,11.0,763.4666666666667,84.16666666666667,5.75,25.6,Jan,Jan-2015,2015
2015-01-09,11.9375,6.5,14.7,761.3499999999998,80.83333333333333,10.041666666666666,0.6,Jan,Jan-2015,2015
2015-01-10,9.891666666666666,4.0,13.9,758.9625000000001,71.08333333333333,9.708333333333334,1.6,Jan,Jan-2015,2015
2015-01-11,5.8708333333333345,2.7,9.0,764.3500000000003,72.95833333333333,7.291666666666667,0.0,Jan,Jan-2015,2015
2015-01-12,10.233333333333334,7.1,12.2,755.7958333333336,83.20833333333333,8.25,4.0,Jan,Jan-2015,2015
2015-01-13,7.78695652173913,3.5,11.6,749.5782608695654,83.52173913043478,6.434782608695652,16.2,Jan,Jan-2015,2015
2015-01-14,5.356521739130434,2.5,8.7,750.9304347826088,75.47826086956522,7.304347826086956,0.2,Jan,Jan-2015,2015
2015-01-15,7.9416666666666655,5.1,10.9,740.9000000000001,73.625,9.583333333333334,10.6,Jan,Jan-2015,2015
2015-01-16,4.716666666666667,1.3,7.6,751.0166666666668,74.16666666666667,4.791666666666667,0.2,Jan,Jan-2015,2015
2015-01-17,2.370833333333333,-2.8,7.3,757.2458333333334,80.125,3.7916666666666665,0.4,Jan,Jan-2015,2015
2015-01-18,2.4625,-1.3,4.4,756.7958333333332,88.25,1.9166666666666667,0.8,Jan,Jan-2015,2015
2015-01-19,1.9249999999999998,-1.4,5.0,758.3583333333332,79.75,2.1666666666666665,0.2,Jan,Jan-2015,2015
2015-01-20,0.07499999999999978,-6.7,5.0,755.2291666666669,84.04166666666667,2.7916666666666665,0.0,Jan,Jan-2015,2015
2015-01-21,3.0565217391304347,2.2,4.0,753.4291666666667,88.6086956521739,4.375,1.0,Jan,Jan-2015,2015
2015-01-22,1.4791666666666663,-1.5,4.3,762.8625000000001,81.20833333333333,2.1666666666666665,0.0,Jan,Jan-2015,2015
2015-01-23,0.1619047619047619,-8.2,7.0,766.0833333333335,87.42857142857143,3.125,0.0,Jan,Jan-2015,2015
2015-01-24,4.870833333333333,1.3,8.5,766.9666666666668,77.5,4.333333333333333,4.0,Jan,Jan-2015,2015
2015-01-25,4.4875,-1.2,8.4,770.2583333333333,81.66666666666667,3.6666666666666665,0.4,Jan,Jan-2015,2015
2015-01-26,8.020833333333334,4.8,9.9,765.9458333333332,79.95833333333333,4.583333333333333,0.4,Jan,Jan-2015,2015
2015-01-27,6.1291666666666655,2.3,9.2,767.5916666666666,77.33333333333333,4.0,0.0,Jan,Jan-2015,2015
2015-01-28,6.478260869565219,2.8,10.2,752.3249999999999,74.56521739130434,8.375,1.8,Jan,Jan-2015,2015
2015-01-29,3.38421052631579,1.4,7.4,738.757894736842,79.6842105263158,7.473684210526316,1.0,Jan,Jan-2015,2015
2015-01-30,3.5291666666666663,1.1,6.7,732.1416666666665,79.41666666666667,4.625,0.6000000000000001,Jan,Jan-2015,2015
2015-01-31,2.4875000000000003,-0.7,5.2,736.6958333333333,81.83333333333333,4.916666666666667,5.0,Jan,Jan-2015,2015
2015-02-01,3.254166666666667,0.1,5.6,747.5708333333333,68.45833333333333,6.208333333333333,0.4,Feb,Feb-2015,2015
2015-02-02,-0.3894736842105263,-5.6,2.5,752.2458333333333,72.52631578947368,2.9583333333333335,0.0,Feb,Feb-2015,2015
2015-02-03,1.5695652173913037,-0.7,4.3,753.8782608695655,86.69565217391305,3.4782608695652173,0.0,Feb,Feb-2015,2015
2015-02-04,2.6583333333333337,0.7,4.5,762.5791666666665,80.625,4.041666666666667,0.0,Feb,Feb-2015,2015
2015-02-05,2.5958333333333337,1.4,5.1,767.1041666666664,80.08333333333333,4.291666666666667,0.4,Feb,Feb-2015,2015
2015-02-06,2.4125,-0.3,5.4,770.9249999999998,69.70833333333333,5.416666666666667,0.0,Feb,Feb-2015,2015
2015-02-07,3.1416666666666675,-0.1,5.4,774.9041666666667,86.08333333333333,3.3333333333333335,0.4,Feb,Feb-2015,2015
2015-02-08,4.541666666666666,1.8,8.9,776.4333333333334,78.95833333333333,2.625,0.0,Feb,Feb-2015,2015
2015-02-09,5.333333333333333,0.1,9.9,773.6333333333336,83.08333333333333,2.4166666666666665,0.0,Feb,Feb-2015,2015
2015-02-10,5.145833333333332,3.9,6.9,772.0749999999999,80.375,2.1666666666666665,0.0,Feb,Feb-2015,2015
2015-02-11,4.862500000000001,4.4,5.4,766.3708333333335,75.83333333333333,2.4583333333333335,0.0,Feb,Feb-2015,2015
