date,mean_temp (deg C),min_temp (deg C),max_temp (deg C),mean_pressure (mb),mean_humidity (%),mean_wind (ms-1),precip_sum (mm),month,month-year,year
2015-01-01,25.775,24.8,27.5,757.4749999999999,85.25,2.25,0.6,Jan,Jan-2015,2015
2015-01-02,26.925,24.5,30.3,757.85,76.75,3.125,0.0,Jan,Jan-2015,2015
2015-01-03,27.1625,24.6,30.7,757.3,75.5,2.75,0.0,Jan,Jan-2015,2015
2015-01-04,27.5125,24.8,32.1,756.3625,74.125,2.625,0.0,Jan,Jan-2015,2015
2015-01-05,27.862500000000004,25.0,32.4,756.05,74.625,2.625,0.0,Jan,Jan-2015,2015
2015-01-06,26.7125,25.0,31.3,755.7125,86.375,2.25,22.0,Jan,Jan-2015,2015
2015-01-07,26.1875,24.2,31.1,756.1249999999999,88.875,1.75,22.0,Jan,Jan-2015,2015
2015-01-08,25.8125,23.3,30.0,756.975,88.125,2.0,0.8,Jan,Jan-2015,2015
2015-01-09,25.025,24.0,27.0,758.0375,88.875,2.25,0.4,Jan,Jan-2015,2015
2015-01-10,25.837500000000002,23.7,30.7,757.1125,87.125,2.5,33.0,Jan,Jan-2015,2015
2015-01-11,26.775000000000002,23.7,29.9,757.1375,83.0,2.875,0.0,Jan,Jan-2015,2015
2015-01-12,27.237499999999997,24.7,30.9,756.95,80.875,3.5,0.0,Jan,Jan-2015,2015
2015-01-13,27.3625,24.8,31.5,757.1875,77.875,4.0,0.0,Jan,Jan-2015,2015
2015-01-14,27.599999999999994,24.8,30.8,758.0375,77.875,3.875,0.0,Jan,Jan-2015,2015
2015-01-15,27.137500000000003,24.8,31.1,758.1624999999999,78.5,3.625,0.0,Jan,Jan-2015,2015
2015-01-16,26.7875,24.2,31.0,758.1125,75.125,3.5,0.0,Jan,Jan-2015,2015
2015-01-17,26.812499999999996,24.0,30.9,758.15,73.0,3.375,0.0,Jan,Jan-2015,2015
2015-01-18,26.750000000000004,23.9,30.6,758.0875,74.5,4.125,0.0,Jan,Jan-2015,2015
2015-01-19,26.9125,24.7,30.8,758.5249999999999,73.75,3.875,0.0,Jan,Jan-2015,2015
2015-01-20,27.012500000000003,25.0,30.7,759.325,74.5,4.375,0.0,Jan,Jan-2015,2015
2015-01-21,26.7,25.2,30.7,760.1375,79.375,3.75,0.0,Jan,Jan-2015,2015
2015-01-22,27.224999999999998,25.4,30.9,759.7624999999999,73.875,4.75,0.0,Jan,Jan-2015,2015
2015-01-23,26.775,24.4,30.4,758.5749999999999,75.0,4.125,0.0,Jan,Jan-2015,2015
