date,mean_temp (deg C),min_temp (deg C),max_temp (deg C),mean_pressure (mb),mean_humidity (%),mean_wind (ms-1),precip_sum (mm),month,month-year,year
2015-01-01,9.037500000000001,4.0,13.0,663.45,40.125,1.75,0.0,Jan,Jan-2015,2015
2015-01-02,10.5125,6.4,15.4,662.4499999999999,42.875,4.125,0.0,Jan,Jan-2015,2015
2015-01-03,9.6,6.0,14.6,660.3375,39.25,3.5,0.0,Jan,Jan-2015,2015
2015-01-04,8.9875,4.4,12.4,658.4875000000001,34.25,5.875,0.0,Jan,Jan-2015,2015
2015-01-05,8.2,1.6,21.4,660.625,36.375,4.0,0.0,Jan,Jan-2015,2015
2015-01-06,9.5375,4.4,14.8,662.4875000000001,29.875,1.5,0.0,Jan,Jan-2015,2015
2015-01-07,10.850000000000001,3.7,16.4,659.9375,37.25,1.375,0.0,Jan,Jan-2015,2015
2015-01-08,7.124999999999999,3.2,10.4,656.8125,52.0,5.5,0.0,Jan,Jan-2015,2015
2015-01-09,2.5749999999999997,-1.5,7.0,661.2249999999999,53.0,3.375,0.0,Jan,Jan-2015,2015
2015-01-10,3.0625000000000004,1.0,5.6,659.575,50.125,2.25,0.0,Jan,Jan-2015,2015
2015-01-11,4.371428571428571,0.7,7.4,662.3142857142858,31.142857142857142,3.142857142857143,0.0,Jan,Jan-2015,2015
2015-01-12,3.9374999999999996,-1.0,9.0,664.9125,36.5,4.375,0.0,Jan,Jan-2015,2015
2015-01-13,6.025,1.6,12.0,667.5999999999999,33.25,1.0,0.0,Jan,Jan-2015,2015
2015-01-14,6.012499999999999,1.6,11.2,668.325,35.25,1.625,0.0,Jan,Jan-2015,2015
2015-01-15,6.95,3.0,11.4,666.4875000000001,31.0,2.125,0.0,Jan,Jan-2015,2015
2015-01-16,8.825000000000001,5.2,14.0,663.25,30.25,0.75,0.0,Jan,Jan-2015,2015
2015-01-17,8.5125,4.8,11.6,662.05,40.5,2.875,0.0,Jan,Jan-2015,2015
2015-01-18,5.987500000000001,2.2,9.8,662.775,56.0,3.375,0.0,Jan,Jan-2015,2015
2015-01-19,4.15,0.8,8.0,663.525,54.875,3.375,0.0,Jan,Jan-2015,2015
2015-01-20,4.1,1.0,8.4,663.9625,47.375,1.625,0.0,Jan,Jan-2015,2015
2015-01-21,5.500000000000001,0.2,11.2,664.65,38.0,1.5,0.0,Jan,Jan-2015,2015
2015-01-22,6.087500000000001,1.8,9.5,663.85,35.0,0.75,0.0,Jan,Jan-2015,2015
2015-01-23,6.074999999999999,1.0,9.6,664.1875,47.125,3.375,0.0,Jan,Jan-2015,2015
2015-01-24,5.075000000000001,3.8,8.2,667.5,52.5,1.5,0.0,Jan,Jan-2015,2015
2015-01-25,5.0125,1.2,9.2,666.9875,47.0,2.375,0.0,Jan,Jan-2015,2015
2015-01-26,5.7125,2.0,9.2,665.8874999999999,45.875,1.75,0.0,Jan,Jan-2015,2015
2015-01-27,6.8625,4.0,11.5,662.8,39.625,2.25,0.0,Jan,Jan-2015,2015
2015-01-28,6.7749999999999995,1.6,11.0,662.5,42.75,1.125,0.0,Jan,Jan-2015,2015
2015-01-29,10.012500000000001,6.6,12.8,659.925,51.0,1.7142857142857142,0.0,Jan,Jan-2015,2015
2015-01-30,10.6,7.8,14.0,661.3874999999999,68.0,1.375,3.8,Jan,Jan-2015,2015
2015-01-31,10.2875,8.1,12.8,659.9625,42.5,8.75,4.2,Jan,Jan-2015,2015
2015-02-01,8.2,3.0,14.0,661.95,41.375,3.25,0.0,Feb,Feb-2015,2015
2015-02-02,8.925,4.0,13.8,662.55,43.5,1.875,0.0,Feb,Feb-2015,2015
2015-02-03,10.6,5.6,16.6,662.625,41.5,1.875,0.0,Feb,Feb-2015,2015
2015-02-04,11.537500000000001,8.6,15.4,662.5250000000001,38.0,0.875,0.0,Feb,Feb-2015,2015
2015-02-05,10.3625,6.4,14.4,661.6375,35.0,5.75,0.0,Feb,Feb-2015,2015
2015-02-06,8.1625,4.0,13.2,663.1375,32.125,3.125,0.0,Feb,Feb-2015,2015
2015-02-07,8.55,3.6,13.8,661.525,31.5,1.0,0.0,Feb,Feb-2015,2015
2015-02-08,11.5625,8.4,15.4,657.325,38.75,2.5,0.6,Feb,Feb-2015,2015
2015-02-09,12.524999999999999,9.2,16.0,657.3125,39.375,1.5,0.0,Feb,Feb-2015,2015
2015-02-10,11.725,8.9,14.2,657.8375,48.875,2.25,5.6,Feb,Feb-2015,2015
2015-02-11,11.162499999999998,9.2,13.2,659.3375,69.0,1.875,3.0,Feb,Feb-2015,2015
2015-02-12,11.337499999999999,9.4,13.8,659.0500000000001,67.125,2.125,1.0,Feb,Feb-2015,2015
2015-02-13,11.0875,7.6,15.8,660.3625000000001,39.5,4.375,0.2,Feb,Feb-2015,2015
2015-02-14,11.075000000000001,8.0,16.0,659.525,35.5,2.75,0.0,Feb,Feb-2015,2015
2015-02-15,8.2125,4.0,12.6,659.6625,36.5,5.125,0.0,Feb,Feb-2015,2015
2015-02-16,7.025000000000001,3.8,10.6,660.5375,41.375,2.125,0.2,Feb,Feb-2015,2015
2015-02-17,8.850000000000001,4.4,14.8,660.6875,59.375,1.875,1.0,Feb,Feb-2015,2015
2015-02-18,10.525,6.4,14.8,660.2375,41.375,4.125,0.0,Feb,Feb-2015,2015
2015-02-19,8.375,6.2,10.8,658.7875,60.625,2.5,0.8,Feb,Feb-2015,2015
2015-02-20,7.3999999999999995,5.7,9.4,654.025,69.75,3.875,2.4,Feb,Feb-2015,2015
2015-02-21,5.2375,0.7,9.0,654.0625,67.25,4.625,6.0,Feb,Feb-2015,2015
2015-02-22,1.3,-3.0,6.4,658.6999999999999,57.625,5.625,0.0,Feb,Feb-2015,2015
2015-02-23,1.1,-3.4,6.0,662.6499999999999,52.75,5.125,0.0,Feb,Feb-2015,2015
2015-02-24,3.1874999999999996,-1.4,9.2,662.5625,47.375,2.375,0.0,Feb,Feb-2015,2015
2015-02-25,4.6,0.6,7.8,661.0375000000001,42.875,2.25,0.0,Feb,Feb-2015,2015
2015-02-26,4.75,1.2,7.4,662.8249999999999,58.75,2.5,0.0,Feb,Feb-2015,2015
2015-02-27,5.5875,0.8,11.2,666.6375,48.5,1.75,0.0,Feb,Feb-2015,2015
2015-02-28,7.8374999999999995,2.0,13.0,663.325,40.125,2.375,0.0,Feb,Feb-2015,2015
2015-03-01,11.057142857142855,4.0,17.4,658.3571428571429,31.857142857142858,3.0,0.0,Mar,Mar-2015,2015
2015-03-02,11.274999999999999,6.8,15.4,657.65,30.25,3.875,0.0,Mar,Mar-2015,2015
2015-03-03,10.0375,5.6,14.6,658.6,38.375,5.625,0.0,Mar,Mar-2015,2015
2015-03-04,9.4625,4.6,13.0,658.0375,43.375,6.0,0.0,Mar,Mar-2015,2015
2015-03-05,9.05,6.0,13.0,659.3249999999999,46.5,4.5,0.0,Mar,Mar-2015,2015
2015-03-06,5.5125,0.0,10.6,664.2875000000001,39.125,8.25,0.0,Mar,Mar-2015,2015
2015-03-07,8.05,3.4,14.6,666.475,27.857142857142858,1.625,0.0,Mar,Mar-2015,2015
2015-03-08,10.674999999999999,5.6,15.4,664.4875000000001,28.0,1.5,0.0,Mar,Mar-2015,2015
2015-03-09,11.1625,5.8,18.0,662.4875000000001,32.0,4.125,0.0,Mar,Mar-2015,2015
2015-03-10,3.0625,1.0,5.2,666.4125,76.875,4.375,3.8000000000000003,Mar,Mar-2015,2015
2015-03-11,4.6125,-1.0,10.4,668.225,55.5,2.375,0.0,Mar,Mar-2015,2015
2015-03-12,8.5125,3.0,15.0,666.2625,39.125,2.0,0.0,Mar,Mar-2015,2015
2015-03-13,10.7875,6.0,15.0,663.7375,26.875,2.5,0.0,Mar,Mar-2015,2015
2015-03-14,13.2875,7.6,18.6,663.475,26.125,1.5,0.0,Mar,Mar-2015,2015
2015-03-15,14.475,10.4,19.4,662.55,31.875,2.625,0.0,Mar,Mar-2015,2015
2015-03-16,13.0125,9.2,17.4,661.5249999999999,51.875,3.5,2.4,Mar,Mar-2015,2015
2015-03-17,14.750000000000002,10.0,18.6,661.8375,44.5,3.5,1.0,Mar,Mar-2015,2015
2015-03-18,14.650000000000002,10.0,19.4,662.4875,40.375,4.125,0.4,Mar,Mar-2015,2015
2015-03-19,15.5,9.8,19.2,662.15,36.25,2.875,0.0,Mar,Mar-2015,2015
2015-03-20,12.4375,9.7,14.4,661.35,67.5,3.0,11.8,Mar,Mar-2015,2015
2015-03-21,15.012500000000001,10.2,20.4,660.175,50.875,2.125,0.2,Mar,Mar-2015,2015
2015-03-22,14.249999999999998,10.7,19.0,659.025,55.5,4.5,1.4,Mar,Mar-2015,2015
2015-03-23,8.3875,5.0,10.2,658.1750000000001,37.75,8.0,0.6,Mar,Mar-2015,2015
2015-03-24,9.6125,3.6,14.4,663.8000000000001,34.75,1.5,0.0,Mar,Mar-2015,2015
2015-03-25,12.062500000000002,8.6,15.4,664.375,34.0,2.875,0.0,Mar,Mar-2015,2015
2015-03-26,10.575000000000001,6.8,14.5,663.5500000000001,57.875,4.875,6.0,Mar,Mar-2015,2015
2015-03-27,10.975000000000001,6.0,16.2,664.3125,54.625,3.125,0.0,Mar,Mar-2015,2015
2015-03-28,14.325000000000001,7.8,20.0,663.6125,34.125,1.875,0.0,Mar,Mar-2015,2015
2015-03-29,17.1625,10.4,22.0,661.4124999999999,22.875,2.25,0.0,Mar,Mar-2015,2015
2015-03-30,15.0625,12.0,16.9,658.225,53.75,3.625,5.0,Mar,Mar-2015,2015
2015-03-31,14.45,8.4,17.4,655.75,37.625,9.125,9.0,Mar,Mar-2015,2015
2015-04-01,13.525,8.0,18.2,657.15,39.0,3.0,0.0,Apr,Apr-2015,2015
2015-04-02,16.200000000000003,10.8,21.0,656.5749999999999,24.875,2.625,0.0,Apr,Apr-2015,2015
2015-04-03,16.5375,11.0,21.0,655.5500000000001,28.75,6.25,0.0,Apr,Apr-2015,2015
2015-04-04,18.0625,12.6,23.2,656.1624999999999,22.375,3.25,0.0,Apr,Apr-2015,2015
2015-04-05,19.450000000000003,15.6,23.6,659.025,18.25,5.625,0.0,Apr,Apr-2015,2015
2015-04-06,18.05,12.4,23.0,663.1874999999999,27.375,2.125,0.0,Apr,Apr-2015,2015
2015-04-07,20.349999999999998,14.2,25.6,661.0999999999999,22.75,2.5,0.0,Apr,Apr-2015,2015
