/* DATA DESCRIPTION:
Citation: Strasser, M., Berberich, T., Fabbri, S., Hilbe, M., Huang, J. J. S., Lauterbach, S., Ortler, M., Rechschreiter, H., Brauer, A., Anselmetti, F., and Kowarik, K., 2020, Geomorphology and event-stratigraphy of recent mass-movement processes in Lake Hallstatt (UNESCO World Heritage Cultural Landscape, Austria): Geological Society, London, Special Publications 500.1: 405-426.
Sample: Core HAL-14-02, Lake Hallstatt, Austria.
Machine: Itrax-XRF core scanner, CS-45 Austrian Core Facility
Comment: The data contains the optical image RGB data of Core HAL-14-2 along the core depth. The image can be found in the figure 7 of aforementioned reference.  
*/
position (mm)	R	G	B
75	114	78	49
75.2	124	85	54
75.4	137	93	58
75.6	148	101	64
75.8	159	109	69
76	169	116	74
76.2	167	115	73
76.4	162	111	71
76.6	159	108	70
76.8	143	97	63
77	127	87	56
77.2	125	84	54
77.4	129	87	55
77.6	128	87	56
77.8	130	87	56
78	140	94	60
78.2	174	120	76
78.4	211	149	95
78.6	232	164	106
78.8	241	171	110
79	244	173	111
79.2	238	169	109
79.4	236	166	107
79.6	234	165	107
79.8	228	161	104
80	222	157	101
80.2	220	155	100
80.4	210	148	96
80.6	194	134	86
80.8	189	130	83
81	186	129	82
81.2	178	123	78
81.4	171	117	75
81.6	165	114	72
81.8	159	108	69
82	159	108	68
82.2	153	105	67
82.4	147	100	63
82.6	148	100	63
82.8	147	98	62
83	148	99	62
83.2	138	92	58
83.4	125	84	53
83.6	117	79	50
83.8	121	81	52
84	132	90	57
84.2	145	100	63
84.4	149	101	64
84.6	144	97	61
84.8	128	85	53
85	117	77	48
85.2	122	81	50
85.4	134	91	57
85.6	143	97	61
85.8	141	96	60
86	134	91	57
86.2	132	90	56
86.4	137	93	58
86.6	140	94	59
86.8	143	95	59
87	144	96	59
87.2	145	97	59
87.4	152	102	62
87.6	153	102	62
87.8	143	95	58
88	128	84	52
88.2	112	73	44
88.4	95	61	37
88.6	90	58	35
88.8	109	73	45
89	131	91	57
89.2	139	96	61
89.4	145	101	64
89.6	150	104	66
89.8	144	98	61
90	148	99	61
90.2	139	91	56
90.4	128	83	51
90.6	122	80	49
90.8	119	79	48
91	134	89	54
91.2	153	102	62
91.4	165	109	67
91.6	163	108	66
91.8	153	101	62
92	140	94	58
92.2	149	101	62
92.4	161	110	69
92.6	156	107	67
92.8	165	114	72
93	178	122	78
93.2	181	123	78
93.4	163	111	71
93.6	145	97	62
93.8	151	101	64
94	172	117	74
94.2	188	130	82
94.4	191	131	83
94.6	172	118	75
94.8	148	99	63
95	129	86	54
95.2	111	74	47
95.4	109	73	46
95.6	118	80	49
95.8	123	82	51
96	122	82	51
96.2	131	90	56
96.4	144	99	61
96.6	153	105	65
96.8	160	110	69
97	153	105	66
97.2	154	106	67
97.4	171	117	74
97.6	170	117	74
97.8	147	100	64
98	143	98	62
98.2	153	106	67
98.4	156	108	69
98.6	150	103	66
98.8	128	87	55
99	108	72	46
99.2	105	70	43
99.4	114	77	48
99.6	122	82	51
99.8	120	79	50
100	117	76	47
100.2	124	81	51
100.4	128	86	54
100.6	119	80	50
100.8	121	80	50
101	127	86	53
101.2	134	91	57
101.4	165	111	69
101.6	195	136	86
101.8	179	125	81
102	150	104	67
102.2	124	84	54
102.4	111	75	48
102.6	116	79	50
102.8	116	79	49
103	113	75	47
103.2	111	74	46
103.4	112	75	47
103.6	118	80	50
103.8	118	79	50
104	142	97	60
104.2	180	126	79
104.4	188	131	84
104.6	164	114	74
104.8	128	87	56
105	120	82	51
105.2	131	90	57
105.4	138	96	60
105.6	133	91	58
105.8	121	82	52
106	114	77	48
106.2	107	71	44
106.4	102	68	42
106.6	111	74	46
106.8	127	86	53
107	151	103	64
107.2	174	119	74
107.4	188	128	81
107.6	178	121	77
107.8	159	108	68
108	145	98	62
108.2	136	93	59
108.4	130	89	56
108.6	128	87	55
108.8	128	86	54
109	127	84	52
109.2	123	81	50
109.4	116	76	47
109.6	120	79	49
109.8	123	81	50
110	116	77	48
110.2	115	76	47
110.4	123	81	50
110.6	132	87	54
110.8	131	87	54
111	125	83	52
111.2	125	81	50
111.4	128	84	51
111.6	127	85	53
111.8	130	87	54
112	141	95	59
112.2	143	98	62
112.4	132	91	58
112.6	120	83	53
112.8	114	77	48
113	117	77	47
113.2	128	85	52
113.4	139	92	57
113.6	147	98	61
113.8	150	101	62
114	149	100	62
114.2	152	102	63
114.4	155	104	64
114.6	150	103	64
114.8	154	105	65
115	166	113	70
115.2	173	118	74
115.4	173	120	76
115.6	168	117	74
115.8	186	128	80
116	206	141	88
116.2	220	152	96
116.4	227	158	100
116.6	227	158	101
116.8	222	155	99
117	220	155	100
117.2	218	154	99
117.4	213	151	98
117.6	207	147	95
117.8	191	137	90
118	173	123	80
118.2	170	121	79
118.4	159	114	74
118.6	149	105	68
118.8	145	101	65
119	151	104	67
119.2	172	119	76
119.4	189	132	85
119.6	189	132	85
119.8	182	127	82
120	178	125	80
120.2	176	123	79
120.4	171	119	76
120.6	173	121	78
120.8	175	122	78
121	175	122	79
121.2	166	116	75
121.4	159	111	72
121.6	154	108	70
121.8	146	102	66
122	143	99	64
122.2	146	102	66
122.4	144	100	65
122.6	142	99	64
122.8	139	97	63
123	127	88	57
123.2	114	78	50
123.4	104	71	45
123.6	101	68	43
123.8	99	66	42
124	101	67	42
124.2	119	79	49
124.4	127	85	53
124.6	119	81	50
124.8	122	82	50
125	139	94	58
125.2	158	108	67
125.4	175	120	75
125.6	188	130	82
125.8	182	127	81
126	162	112	72
126.2	140	96	62
126.4	117	80	52
126.6	112	76	48
126.8	121	82	51
127	125	86	54
127.2	107	73	46
127.4	102	69	43
127.6	115	78	48
127.8	115	79	50
128	114	77	49
128.2	121	82	52
128.4	125	85	54
128.6	133	90	57
128.8	138	93	59
129	127	86	54
129.2	111	74	47
129.4	109	71	44
129.6	121	79	49
129.8	117	78	48
130	91	60	37
130.2	84	55	33
130.4	91	60	36
130.6	103	69	42
130.8	119	78	48
131	139	91	55
131.2	150	98	60
131.4	154	102	63
131.6	156	104	64
131.8	159	106	66
132	148	99	62
132.2	124	82	52
132.4	97	64	41
132.6	81	53	34
132.8	75	49	31
133	66	42	27
133.2	55	35	22
133.4	52	33	21
133.6	56	35	22
133.8	62	40	26
134	69	46	30
134.2	82	57	37
134.4	110	78	51
134.6	141	102	66
134.8	153	111	72
135	148	106	69
135.2	134	94	61
135.4	119	82	52
135.6	114	76	48
135.8	105	70	44
136	95	63	39
