Distance (m),26-Aug-00,05-Aug-02,08-Sep-12,01-Mar-14,01-May-16
0,899.66,900.6,899.51,900.54,900.54
2.19,897.27,898.59,897.26,898.81,898.81
4.38,894.97,896.48,894.72,897.09,897.09
6.57,892.76,894.23,892.19,895.33,895.33
8.76,890.49,891.81,889.92,893.42,893.42
10.95,888.18,889.23,887.94,891.22,891.22
13.14,886,886.52,886.14,888.61,888.61
15.33,883.82,884.06,884.43,885.54,885.54
17.52,881.41,881.33,882.71,883.47,883.47
19.71,879.06,878.63,880.89,879.95,879.95
21.9,876.33,875.98,878.76,876.39,869.62
24.09,873.37,873.4,876.19,872.75,868.13
26.28,870.01,870.89,873.23,868.93,866.29
28.47,866.35,868.44,870.2,864.97,865.09
30.66,862.83,866.06,867.46,860.94,863.19
32.85,860.04,863.72,865.1,856.9,861.64
35.04,858.33,861.39,863.22,852.9,859.08
37.23,857.15,859.06,861.11,849.54,857.03
39.42,855.52,856.69,858.96,845.78,854.46
41.61,853.11,854.29,856.72,842.45,852.73
43.8,850.32,851.85,854.46,839.59,850.04
45.99,847.53,849.38,852.18,837.15,847.36
48.18,845.03,846.89,849.8,835.03,845.21
50.38,843.08,844.41,847.14,833.08,843.24
52.57,841.38,842.34,844.12,831.26,841.12
54.76,839.34,839.9,841,829.6,838.77
56.95,837.62,837.5,838.14,828.1,836.07
59.14,835.21,835.15,835.72,826.66,833.19
61.33,832.99,833.81,833.66,825.13,830.12
63.52,830.69,831.54,831.82,823.3,828.26
65.71,827.9,829.31,830.06,820.91,825.61
67.9,824.54,827.13,828.25,817.83,823.56
70.09,821.16,824.98,827.37,814.1,821.63
72.28,818.54,822.87,825.19,811.31,819.96
74.47,816.85,820.76,822.55,807.19,817.59
76.66,815.5,818.62,819.49,803.5,815.33
78.85,814.13,816.38,816.37,800.42,812.29
81.04,813.2,813.97,813.55,797.86,809.27
83.23,811.66,811.36,811.12,795.56,806.41
85.42,809.83,808.57,808.99,793.35,803.92
87.61,807.75,806.24,807,791.14,801.13
89.8,805.46,803.44,805.04,789,798.76
