Time,FSE  P2,FSE  P4,FSE  P5,FSE  P6,FSE  P7,FSE  P8,FSE  P9,FSE  P10,FSE  P11
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
4.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
6.00,0.00,0.00,-0.20,0.00,0.00,0.00,0.00,0.00,0.00
8.00,0.00,0.00,-0.30,0.00,0.00,0.00,0.00,0.00,0.00
10.00,0.00,0.00,-0.30,0.00,0.00,0.00,0.00,0.00,0.00
12.00,0.00,0.00,-0.30,0.00,0.00,0.00,0.00,0.00,0.00
14.00,0.00,0.00,-0.20,0.00,0.00,0.00,0.00,0.00,0.00
16.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00
22.00,0.10,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00
24.00,0.90,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00
26.00,5.70,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00
28.00,59.30,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
30.00,89.70,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
32.00,80.00,0.00,-0.20,0.00,0.00,0.00,0.00,0.00,0.00
34.00,48.80,0.00,-0.20,0.00,0.00,0.00,0.00,0.00,0.00
36.00,19.80,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
38.00,18.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
40.00,9.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42.00,-3.40,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00
44.00,-12.20,0.10,-0.10,-0.10,0.00,0.00,0.00,0.00,0.00
46.00,-20.00,0.20,-0.10,-0.10,0.00,0.00,0.00,0.00,0.00
48.00,-29.20,0.60,-0.10,-0.10,0.00,0.00,0.00,0.00,0.00
50.00,-35.40,1.80,0.00,-0.10,0.00,0.00,0.00,0.00,0.00
52.00,-38.50,4.80,0.00,-0.10,0.00,0.00,0.00,0.00,0.00
54.00,-41.10,30.20,0.10,-0.10,0.00,0.00,0.00,0.00,0.00
56.00,-43.80,33.00,0.10,-0.10,0.00,0.00,0.00,0.00,0.00
58.00,-44.90,32.90,0.10,-0.10,0.00,0.00,0.00,0.00,0.00
60.00,-42.60,32.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00
62.00,-9.90,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64.00,-18.90,32.10,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
66.00,-23.50,29.50,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
68.00,-25.00,26.90,-0.20,0.00,0.00,0.00,0.00,0.00,0.00
70.00,-24.90,25.20,-0.20,0.00,0.00,0.00,0.00,0.00,0.00
72.00,-23.70,25.00,-0.10,-0.10,0.00,0.00,0.00,0.00,0.00
74.00,-21.30,25.70,0.00,-0.10,0.00,0.00,0.00,0.00,0.00
76.00,-17.90,26.90,0.10,-0.10,0.00,0.00,0.00,0.00,0.00
78.00,-15.70,33.20,0.20,-0.10,0.00,0.00,0.00,0.00,0.00
80.00,-15.50,23.70,0.20,-0.10,0.00,0.00,0.00,0.00,0.00
82.00,-16.90,15.50,0.20,0.00,0.00,0.00,0.00,0.00,0.00
84.00,-19.40,10.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00
86.00,-23.50,15.60,0.10,0.00,0.00,0.00,0.00,0.00,0.00
88.00,-26.80,30.20,0.20,0.10,0.00,0.00,0.00,0.00,0.00
90.00,-29.90,15.50,0.50,0.10,0.00,0.00,0.00,0.00,0.00
92.00,-32.20,6.90,1.10,0.10,0.00,0.00,0.00,0.00,0.00
94.00,-33.50,0.70,2.00,0.00,0.00,0.00,0.00,0.00,0.00
96.00,-33.90,-3.70,3.30,0.00,0.00,0.00,0.00,0.00,0.00
98.00,-34.30,-8.00,5.10,-0.10,0.00,0.00,0.00,0.00,0.00
100.00,-33.70,-10.10,7.70,-0.10,0.00,0.00,0.00,0.00,0.00
102.00,-32.60,-12.70,11.40,-0.10,0.00,0.00,0.00,0.00,0.00
104.00,-30.90,-14.40,15.60,-0.10,0.00,0.00,0.00,0.00,0.00
106.00,-25.90,-13.70,19.60,0.00,-0.10,0.00,0.00,0.00,0.00
108.00,-19.90,-10.40,22.20,0.00,-0.10,0.00,0.00,0.00,0.00
110.00,-13.60,-6.00,20.60,0.00,-0.10,0.00,0.00,0.00,0.00
112.00,-11.50,-3.30,17.50,0.00,-0.10,0.00,0.00,0.00,0.00
114.00,-12.20,-1.80,18.10,0.00,-0.10,0.00,0.00,0.00,0.00
116.00,-14.50,-3.10,24.60,-0.10,-0.10,0.00,0.00,0.00,0.00
118.00,-15.40,-7.10,29.90,-0.10,-0.10,0.00,0.00,0.00,0.00
120.00,-13.90,-12.30,33.20,-0.10,-0.10,0.00,0.00,0.00,0.00
122.00,-9.70,-17.00,32.20,-0.10,-0.10,0.00,0.00,0.00,0.00
124.00,-4.60,-20.00,28.30,0.00,0.00,0.00,0.00,0.00,0.00
126.00,-3.70,-20.00,23.70,0.00,0.00,0.00,0.00,0.00,0.00
128.00,-5.40,-19.90,19.80,0.10,0.00,0.00,0.00,0.00,0.00
130.00,-7.70,-19.90,18.80,0.20,0.00,0.00,0.00,0.00,0.00
132.00,-10.00,-20.60,19.60,0.20,0.00,0.00,0.00,0.00,0.00
134.00,-13.20,-19.80,20.10,0.20,0.00,0.00,0.00,0.00,0.00
136.00,-15.80,-17.30,19.50,0.30,0.00,0.00,0.00,0.00,0.00
138.00,-17.90,-14.60,16.70,0.40,0.00,0.00,0.00,0.00,0.00
140.00,-20.00,-13.00,13.80,0.60,0.00,0.00,0.00,0.00,0.00
142.00,-22.10,-12.20,12.30,0.80,0.00,0.00,0.00,0.00,0.00
144.00,-24.30,-12.30,12.20,1.20,0.00,0.00,0.00,0.00,0.00
146.00,-25.80,-12.60,13.10,1.80,0.00,0.00,0.00,0.00,0.00
148.00,-26.20,-12.30,13.60,2.60,0.00,0.00,0.00,0.00,0.00
150.00,-24.60,-12.00,12.80,3.80,-0.10,0.00,0.00,0.00,0.00
152.00,-19.40,-12.10,10.60,5.40,-0.10,0.00,0.00,0.00,0.00
154.00,-10.40,-12.80,7.70,7.70,-0.10,0.00,0.00,0.00,0.00
156.00,-7.20,-13.80,5.30,10.70,-0.10,0.00,0.00,0.00,0.00
158.00,-15.20,-14.50,3.30,14.30,-0.10,0.00,0.00,0.00,0.00
160.00,-21.10,-14.00,1.50,18.10,-0.10,0.00,0.00,0.00,0.00
162.00,-21.40,-12.00,0.30,21.10,-0.10,0.00,0.00,0.00,0.00
164.00,-21.90,-9.40,-0.10,23.00,-0.10,0.00,0.00,0.00,0.00
166.00,-23.00,-6.40,0.00,23.80,-0.10,0.00,0.00,0.00,0.00
168.00,-22.80,-4.00,-0.20,23.80,-0.10,0.00,0.00,0.00,0.00
170.00,-20.60,-3.00,-1.20,23.70,0.00,0.00,0.00,0.00,0.00
172.00,-18.00,-3.10,-2.30,23.80,0.00,0.00,0.00,0.00,0.00
174.00,-16.70,-3.60,-3.50,23.80,0.00,0.00,0.00,0.00,0.00
176.00,-17.00,-3.60,-4.30,23.40,0.00,0.00,0.00,0.00,0.00
178.00,-18.40,-2.10,-4.80,22.20,0.00,0.00,0.00,0.00,0.00
180.00,-19.40,-0.60,-5.50,20.80,0.00,0.00,0.00,0.00,0.00
182.00,-19.70,-0.40,-6.80,19.30,0.00,0.00,0.00,0.00,0.00
184.00,-19.40,0.10,-7.90,18.80,0.00,0.00,0.00,0.00,0.00
186.00,-19.30,1.90,-8.30,19.40,0.00,0.00,0.00,0.00,0.00
188.00,-19.80,3.90,-7.40,20.60,0.10,0.00,0.00,0.00,0.00
190.00,-20.00,4.40,-5.40,21.60,0.10,0.00,0.00,0.00,0.00
192.00,-21.40,2.80,-3.20,20.70,0.20,0.00,0.00,0.00,0.00
194.00,-21.40,0.30,-1.70,18.00,0.40,0.00,0.00,0.00,0.00
196.00,-21.20,-1.10,-1.40,14.40,0.60,0.00,0.00,0.00,0.00
198.00,-20.30,-0.90,-2.00,11.60,0.90,0.00,0.00,0.00,0.00
200.00,-18.80,-0.30,-2.90,10.00,1.40,0.00,0.00,0.00,0.00
202.00,-17.20,-0.60,-3.50,11.30,2.00,0.00,0.00,0.00,0.00
204.00,-16.10,-0.90,-3.60,13.90,3.10,0.00,0.00,0.00,0.00
206.00,-15.80,-1.40,-3.80,15.70,4.80,0.00,0.00,0.00,0.00
208.00,-16.10,-2.20,-4.50,15.70,7.20,0.00,0.00,0.00,0.00
210.00,-17.30,-4.10,-5.30,13.90,10.80,0.00,0.00,0.00,0.00
212.00,-19.20,-6.20,-5.80,10.90,15.00,0.00,0.00,0.00,0.00
214.00,-21.20,-7.50,-5.90,8.10,17.30,0.00,0.00,0.00,0.00
216.00,-22.90,-7.60,-5.70,6.20,17.30,0.00,0.00,0.00,0.00
218.00,-23.90,-7.00,-5.20,5.00,16.00,0.00,0.00,0.00,0.00
220.00,-24.20,-6.30,-4.40,4.60,14.50,0.00,0.00,0.00,0.00
222.00,-24.10,-5.90,-3.80,4.60,13.40,0.00,0.00,0.00,0.00
224.00,-24.20,-6.00,-3.70,4.60,12.80,0.00,0.00,0.00,0.00
226.00,-23.90,-6.40,-3.60,3.90,13.00,0.00,0.00,0.00,0.00
228.00,-23.00,-6.90,-3.20,2.60,13.60,0.00,0.00,0.00,0.00
230.00,-21.20,-7.20,-2.60,1.00,13.90,0.00,0.00,0.00,0.00
232.00,-19.20,-7.00,-1.80,-0.30,14.10,0.00,0.00,0.00,0.00
234.00,-17.20,-6.50,-0.90,-1.00,14.40,0.00,0.00,0.00,0.00
236.00,-15.80,-6.50,0.10,-0.80,14.80,0.00,0.00,0.00,0.00
238.00,-14.70,-7.40,1.50,-0.20,15.50,0.00,0.00,0.00,0.00
240.00,-13.30,-9.00,3.30,0.30,16.50,0.00,0.00,0.00,0.00
242.00,-11.60,-10.70,5.00,0.70,17.10,0.00,0.00,0.00,0.00
244.00,-10.50,-11.50,5.90,1.00,17.10,-0.10,0.00,0.00,0.00
246.00,-10.60,-11.00,5.60,1.40,17.00,-0.10,0.00,0.00,0.00
248.00,-11.30,-9.60,4.70,1.90,17.10,-0.10,0.00,0.00,0.00
250.00,-12.30,-8.30,4.00,2.00,17.50,-0.10,0.00,0.00,0.00
252.00,-14.00,-7.80,3.50,1.70,18.30,-0.10,0.00,0.00,0.00
254.00,-16.10,-8.00,3.00,1.00,19.20,-0.10,0.00,0.00,0.00
256.00,-18.10,-8.80,2.30,0.10,19.60,-0.10,0.00,0.00,0.00
258.00,-19.40,-9.60,1.90,-0.60,19.10,0.00,0.00,0.00,0.00
260.00,-20.30,-10.00,2.20,-1.00,17.90,0.00,0.00,0.00,0.00
262.00,-20.80,-9.80,3.20,-0.90,16.30,0.00,0.00,0.00,0.00
264.00,-21.10,-9.40,4.20,-0.60,14.60,0.00,0.00,0.00,0.00
