# These data are freely available under the Creative Commons Attribution 4.0 International Licence (CC BY 4.0)					
# when using the data please cite as: 					
# Spooner, Cameron; Scheck-Wenderoth, Magdalena; Götze, Hans-Jürgen; Ebbing, Jörg; Hetényi, György (2019): 3D Gravity Constrained Model of Density Distribution Across the Alpine Lithosphere. GFZ Data Services. http://doi.org/10.5880/GFZ.4.5.2019.004
X COORD (UTM Zone 32N)	Y COORD (UTM Zone 32N)	TOP (m.a.s.l)	THICKNESS (m)	DENSITY (Kg/m3)
286635	4898615	1172.001098	2686.690918	2670
286635	4918615	1325.885497	3166.366699	2670
286635	4938615	1272.767577	3192.399414	2670
286635	4958615	1756.815429	3770.099121	2670
286635	4978615	2497.590819	4522.77832	2670
286635	4998615	2247.608642	4317.875	2670
286635	5018615	1363.896606	3393.976807	2670
286635	5038615	1075.30725	2879.037109	2670
286635	5058615	842.409484	3667.988525	2670
286635	5078615	945.829711	4143.607422	2670
286635	5098615	987.722472	4697.067871	2670
286635	5118615	431.834168	4610.000488	2670
286635	5138615	416.628479	4759.995117	2670
286635	5158615	813.703064	5160.376953	2670
286635	5178615	1061.488402	4435.866699	2670
286635	5198615	810.007018	2772.248535	2670
286635	5218615	528.62323	2612.78125	2670
286635	5238615	317.514221	1964.574707	2670
286635	5258615	245.520523	1247.199829	2670
286635	5278615	276.393585	869.041626	2670
286635	5298615	200.544266	364.411713	2670
286635	5318615	248.13826	317.022858	2670
286635	5338615	293.907349	771.779541	2670
286635	5358615	273.466126	1038.68689	2670
286635	5378615	236.387406	1155.01062	2670
286635	5398615	193.147721	1161.506958	2670
286635	5418615	158.21428	1184.276733	2670
286635	5438615	148.783325	1314.12207	2670
286635	5458615	105.943008	1171.789063	2670
286635	5478615	86.886383	877.67334	2670
286635	5498615	215.514008	959.987549	2670
306635	4898615	1719.538329	1413.688477	2670
306635	4918615	1794.428832	1705.072144	2670
306635	4938615	1694.067626	1576.621948	2670
306635	4958615	1722.751342	1721.884033	2670
306635	4978615	1978.038329	2173.787842	2670
306635	4998615	2100.117675	2558.44043	2670
306635	5018615	1979.311279	3010.383789	2670
306635	5038615	1369.711303	3003.401611	2670
306635	5058615	1382.137939	3913.148438	2670
306635	5078615	1290.435791	4102.350586	2670
306635	5098615	1322.675537	4681.362305	2670
306635	5118615	980.072204	4853.619141	2670
306635	5138615	462.635528	4718.515625	2670
306635	5158615	456.302826	4955.985352	2670
306635	5178615	785.054992	4249.961426	2670
306635	5198615	953.493591	2882.863037	2670
306635	5218615	783.913574	2937.671875	2670
306635	5238615	472.464569	2343.646729	2670
306635	5258615	264.346618	1351.463745	2670
306635	5278615	208.845536	737.85791	2670
306635	5298615	258.950989	325.986572	2670
306635	5318615	362.556427	320.900757	2670
306635	5338615	325.679352	832.048889	2670
306635	5358615	243.132278	1102.934814	2670
306635	5378615	178.842971	1184.75354	2670
306635	5398615	158.142746	1365.734131	2670
306635	5418615	167.015961	1488.047852	2670
306635	5438615	182.170059	1670.92041	2670
306635	5458615	155.044617	1636.776978	2670
306635	5478615	127.802322	990.334106	2670
306635	5498615	220.653946	640.553711	2670
326635	4898615	1789.65564	296.442139	2670
326635	4918615	2155.017333	496.105835	2670
326635	4938615	2187.529785	438.499023	2670
326635	4958615	2062.93164	417.850464	2670
326635	4978615	1953.235962	528.544556	2670
326635	4998615	1979.115356	988.008423	2670
326635	5018615	2282.587402	2189.787354	2670
326635	5038615	2219.42578	3531.902832	2670
326635	5058615	1839.433837	4059.623047	2670
326635	5078615	1863.836914	4289.703125	2670
326635	5098615	1605.914428	4860.459961	2670
326635	5118615	1435.672119	5253.303711	2670
326635	5138615	1024.870483	5241.091309	2670
326635	5158615	667.050719	5243.986816	2670
326635	5178615	554.812927	4166.428711	2670
326635	5198615	643.303162	2753.963379	2670
326635	5218615	854.810242	3136.696777	2670
326635	5238615	601.325806	2764.691406	2670
326635	5258615	291.870453	1431.41626	2670
326635	5278615	272.238434	495.354614	2670
326635	5298615	497.109314	102.926788	2670
326635	5318615	586.637084	268.174927	2670
326635	5338615	343.177582	540.96875	2670
326635	5358615	205.634918	984.465759	2670
326635	5378615	210.59845	1242.138428	2670
326635	5398615	171.804901	1674.492676	2670
326635	5418615	171.623307	1911.177124	2670
326635	5438615	203.925492	1931.795166	2670
326635	5458615	230.725174	2137.470215	2670
326635	5478615	213.305939	1337.708618	2670
326635	5498615	260.901673	111.814529	2670
346635	4898615	1791.189941	326.195435	2670
346635	4918615	2000.760131	400.936646	2670
346635	4938615	2072.883056	493.155151	2670
346635	4958615	1951.055297	600.457642	2670
346635	4978615	1797.570068	911.70105	2670
346635	4998615	1552.608398	575.745728	2670
346635	5018615	2239.244873	1002.00647	2670
346635	5038615	2627.78247	2624.28125	2670
346635	5058615	2206.80078	3799.01416	2670
346635	5078615	2415.689452	4580.547852	2670
346635	5098615	2081.010986	5034.462891	2670
346635	5118615	1301.082397	5019.797852	2670
346635	5138615	1068.769409	5242.825195	2670
346635	5158615	976.139892	5478.850586	2670
346635	5178615	675.19995	4533.278809	2670
346635	5198615	326.141358	3026.611572	2670
346635	5218615	725.478821	3438.665039	2670
346635	5238615	771.439025	3456.010254	2670
346635	5258615	270.041077	1967.656494	2670
346635	5278615	114.992508	1217.04834	2670
346635	5298615	616.72528	615.058472	2670
346635	5318615	764.577087	20.100037	2700
346635	5338615	555.367248	177.971649	2670
346635	5358615	254.026352	370.631226	2670
346635	5378615	245.580338	869.151917	2670
346635	5398615	200.965073	1629.856201	2670
346635	5418615	161.026901	2371.697754	2670
346635	5438615	195.92395	2642.708984	2670
346635	5458615	180.262833	2812.305664	2670
346635	5478615	185.924194	2444.387207	2670
346635	5498615	369.132568	1111.289673	2670
366635	4898615	1571.735718	455.621704	2670
366635	4918615	1048.538695	285.072571	2670
366635	4938615	798.235778	284.736755	2670
366635	4958615	466.141907	1017.973755	2670
366635	4978615	553.41101	2123.233154	2670
366635	4998615	927.037719	307.476746	2670
366635	5018615	1536.380126	281.029175	2670
366635	5038615	2179.996093	1684.377441	2670
366635	5058615	1830.850829	1895.508545	2670
366635	5078615	2047.639159	3995.580566	2670
366635	5098615	1837.274658	4447.275391	2670
366635	5118615	1241.300048	4730.913574	2670
366635	5138615	1858.608031	5947.498047	2670
366635	5158615	1458.150756	5855.499512	2670
366635	5178615	944.24115	5060.088379	2670
366635	5198615	112.958251	3463.737549	2670
366635	5218615	-708.029664	2306.817383	2670
366635	5238615	848.227477	3689.785645	2670
366635	5258615	217.31543	2602.011963	2670
366635	5278615	-997.337371	1549.645874	2670
366635	5298615	-1252.198608	547.257935	2670
366635	5318615	457.943787	1042.26001	2670
366635	5338615	458.196136	526.522339	2670
366635	5358615	570.228271	399.343353	2670
366635	5378615	456.2052	424.001068	2670
366635	5398615	234.557663	1123.224854	2670
366635	5418615	222.800568	2279.463379	2670
366635	5438615	206.229431	3213.11084	2670
366635	5458615	233.232788	3673.232178	2670
366635	5478615	268.844605	3759.10498	2670
366635	5498615	383.250702	2774.370361	2670
386635	4898615	1023.151794	217.711426	2670
386635	4918615	421.567658	182.35257	2670
386635	4938615	182.870087	107.957886	2670
386635	4958615	95.894013	1480.428711	2670
386635	4978615	-100.051361	3357.13916	2670
386635	4998615	189.560654	165.318512	2670
386635	5018615	337.675598	1618.986938	2670
386635	5038615	962.237609	1685.438965	2670
386635	5058615	1951.987671	760.879883	2670
386635	5078615	2089.909179	2462.731445	2670
386635	5098615	2252.965332	4526.725586	2670
386635	5118615	1606.51477	4980.202148	2670
386635	5138615	1746.690063	5701.978516	2670
386635	5158615	1431.79663	5779.492676	2670
