# These data are freely available under the Creative Commons Attribution 4.0 International Licence (CC BY 4.0)					
# when using the data please cite as: 					
# Spooner, Cameron; Scheck-Wenderoth, Magdalena; Götze, Hans-Jürgen; Ebbing, Jörg; Hetényi, György (2019): 3D Gravity Constrained Model of Density Distribution Across the Alpine Lithosphere. GFZ Data Services. http://doi.org/10.5880/GFZ.4.5.2019.004
X COORD (UTM Zone 32N)	Y COORD (UTM Zone 32N)	TOP (m.a.s.l)	THICKNESS (m)	DENSITY (Kg/m3)
286635	4898615	-24823.2533	70418.125	3305
286635	4918615	-25443.48901	69410.01563	3305
286635	4938615	-28025.24511	66402.49219	3305
286635	4958615	-32278.13135	61663.48438	3305
286635	4978615	-35885.5625	57459.14063	3305
286635	4998615	-37270.9812	55318.71094	3305
286635	5018615	-36134.30481	55497.16406	3305
286635	5038615	-34866.0697	55555.41406	3305
286635	5058615	-34310.55072	54625.75391	3305
286635	5078615	-34361.87146	52783.83984	3305
286635	5098615	-33695.94501	51374.26563	3305
286635	5118615	-31924.2503	50820.27344	3305
286635	5138615	-30315.52875	49954.94922	3305
286635	5158615	-29987.74616	47754.57813	3305
286635	5178615	-29280.86072	46067.35938	3305
286635	5198615	-28096.40949	45130.71875	3305
286635	5218615	-27003.09748	44547.85156	3305
286635	5238615	-26119.17572	44271.5	3305
286635	5258615	-26005.68126	43789.07813	3305
286635	5278615	-26402.83163	43172.08594	3305
286635	5298615	-27130.76003	42419.22656	3305
286635	5318615	-28200.52718	41369.14063	3305
286635	5338615	-29150.9718	40810.11719	3305
286635	5358615	-29534.711	41954.625	3305
286635	5378615	-29792.7697	45201.10938	3305
286635	5398615	-30018.93346	50588.39844	3305
286635	5418615	-30181.60347	57738.375	3305
286635	5438615	-30435.77429	65508.02344	3305
286635	5458615	-31067.54723	72507.09375	3305
286635	5478615	-32024.27622	76806.78125	3305
286635	5498615	-32910.84659	79551.15625	3305
306635	4898615	-25747.28883	69690.28906	3305
306635	4918615	-27243.31324	67913.02344	3305
306635	4938615	-29761.42542	65084.5625	3305
306635	4958615	-33732.84753	60747.02734	3305
306635	4978615	-37290.97412	56717.94531	3305
306635	4998615	-38443.03565	54945.75781	3305
306635	5018615	-37474.02759	55102.21875	3305
306635	5038615	-36242.04187	55284.99609	3305
306635	5058615	-35861.16382	54359.89063	3305
306635	5078615	-35864.29664	52767.80469	3305
306635	5098615	-35125.11548	51654.03906	3305
306635	5118615	-33312.33405	51379.78125	3305
306635	5138615	-31034.93772	51417.82813	3305
306635	5158615	-29313.32804	50821.08594	3305
306635	5178615	-27915.41816	49968.34375	3305
306635	5198615	-27006.39483	48807.42188	3305
306635	5218615	-26572.07276	47501.71875	3305
306635	5238615	-26542.1099	46200.27344	3305
306635	5258615	-26691.63471	45173.92969	3305
306635	5278615	-26853.40105	44515.94531	3305
306635	5298615	-27019.36176	44187.97656	3305
306635	5318615	-27474.99863	43851.39453	3305
306635	5338615	-28100.37735	43866.80469	3305
306635	5358615	-28577.29082	44929.67969	3305
306635	5378615	-28949.54925	47596.5	3305
306635	5398615	-29209.38826	52008.60938	3305
306635	5418615	-29346.88346	57920.02344	3305
306635	5438615	-29374.24645	64584.39063	3305
306635	5458615	-29459.21381	70986.24219	3305
306635	5478615	-30040.69487	75457.57031	3305
306635	5498615	-30847.60192	78685.23438	3305
326635	4898615	-26667.20642	68928.59375	3305
326635	4918615	-31594.73889	63874.30859	3305
326635	4938615	-36348.79541	58970.42188	3305
326635	4958615	-39751.08288	55366.47656	3305
326635	4978615	-41230.93164	53584.69922	3305
326635	4998615	-41305.23096	53063.85938	3305
326635	5018615	-40514.20386	53219.07422	3305
326635	5038615	-39183.59814	53680.49219	3305
326635	5058615	-38167.54663	53573.21875	3305
326635	5078615	-37929.99707	52407.13672	3305
326635	5098615	-37010.25354	51657.23047	3305
326635	5118615	-34742.67163	52014.80469	3305
326635	5138615	-31623.25404	53049.30078	3305
326635	5158615	-28575.46637	53896.24609	3305
326635	5178615	-26342.52985	53930.03516	3305
326635	5198615	-25526.66412	52650.32031	3305
326635	5218615	-25663.10334	50662.82813	3305
326635	5238615	-26197.81872	48625.72266	3305
326635	5258615	-26396.80752	47337.19531	3305
326635	5278615	-26199.33883	46848.82813	3305
326635	5298615	-25976.01083	46772.49219	3305
326635	5318615	-26111.53198	46735.29688	3305
326635	5338615	-26675.5646	46730.60938	3305
326635	5358615	-27397.9871	47271.25781	3305
326635	5378615	-27924.06342	49284.45313	3305
326635	5398615	-28239.63504	52955.05469	3305
326635	5418615	-28422.3917	57968.40625	3305
326635	5438615	-28502.53374	63716.35156	3305
326635	5458615	-28634.93742	69282.1875	3305
326635	5478615	-29238.66831	73492.21094	3305
326635	5498615	-30151.73415	76706.11719	3305
346635	4898615	-28647.23401	67067.17969	3305
346635	4918615	-33939.40894	61835.21484	3305
346635	4938615	-37937.31507	57881.07422	3305
346635	4958615	-39332.12696	56481.41797	3305
346635	4978615	-39662.84973	56047.30469	3305
346635	4998615	-40076.70764	55384.44531	3335
346635	5018615	-40721.87293	54296.58594	3305
346635	5038615	-41152.18432	53182.94531	3305
346635	5058615	-40890.59814	52499.27344	3305
346635	5078615	-40829.917	51325.96484	3305
346635	5098615	-39656.35035	50988.16406	3305
346635	5118615	-36615.33558	52262.6875	3305
346635	5138615	-32716.12024	54195.375	3305
346635	5158615	-29167.63257	55623.125	3305
346635	5178615	-26423.7859	56188.33203	3305
346635	5198615	-25286.37647	55181.23438	3305
346635	5218615	-25124.34638	53368.60156	3305
346635	5238615	-25529.10052	51287.26563	3305
346635	5258615	-25480.90448	50042.69141	3305
346635	5278615	-25038.06755	49614.30859	3305
346635	5298615	-24597.32734	49626.05078	3305
346635	5318615	-24534.43896	49759.74219	3305
346635	5338615	-25020.34464	49699.25781	3305
346635	5358615	-25900.25136	49766.88281	3305
346635	5378615	-26613.37822	51176.92188	3305
346635	5398615	-27083.49855	54151.90234	3305
346635	5418615	-27468.37984	58233.71094	3305
346635	5438615	-27843.92468	62861.25	3305
346635	5458615	-28329.17565	67283.38281	3305
346635	5478615	-28987.13098	70912.57813	3305
346635	5498615	-29660.25379	74077.57031	3305
366635	4898615	-30922.51295	64872.13672	3305
366635	4918615	-33667.61786	62395.58594	3305
366635	4938615	-33056.43457	63262.27344	3305
366635	4958615	-32306.54083	64219.71875	3335
366635	4978615	-32780.2987	63854.58203	3335
366635	4998615	-34345.6109	62247.92578	3335
366635	5018615	-37271.85413	59076.91016	3305
366635	5038615	-40250.78174	55599.12109	3305
366635	5058615	-42185.37256	52890.8125	3305
366635	5078615	-43255.45508	50751.48828	3305
366635	5098615	-42379.14722	50275.58594	3305
366635	5118615	-38795.69849	52246.37109	3305
366635	5138615	-34395.02283	54817.41406	3305
366635	5158615	-31081.77063	56116.58203	3305
366635	5178615	-28508.87848	56559.72656	3305
366635	5198615	-26631.33594	56269.94531	3305
366635	5218615	-25465.4115	55353.48047	3305
366635	5238615	-25110.47224	53854.72656	3305
366635	5258615	-24757.26294	52684.54688	3305
366635	5278615	-24201.34164	52129.56641	3305
366635	5298615	-23636.1372	52062.69531	3305
366635	5318615	-23381.11115	52262.61719	3305
366635	5338615	-23785.89457	52236.46094	3305
366635	5358615	-24551.74203	52275.10938	3305
366635	5378615	-25365.35056	53308.70703	3305
366635	5398615	-26029.95626	55622.73438	3305
366635	5418615	-26671.47336	58718.1875	3305
366635	5438615	-27380.93805	62118	3305
366635	5458615	-28231.47205	65304.03125	3305
366635	5478615	-28868.8219	68258.92969	3305
366635	5498615	-29085.81302	71294.26563	3305
386635	4898615	-32696.56745	63149.33594	3305
386635	4918615	-31169.51928	65166.32813	3305
386635	4938615	-25709.17764	71103.29688	3305
386635	4958615	-23352.3345	73886.35938	3305
386635	4978615	-23804.93075	73758.91406	3305
386635	4998615	-25853.90239	71879.08594	3335
386635	5018615	-29985.00665	67701.17188	3335
386635	5038615	-35096.5373	62270.75781	3305
386635	5058615	-39162.64611	57593.6875	3305
386635	5078615	-42824.39258	53021.45703	3305
386635	5098615	-43885.6831	50772.81641	3305
386635	5118615	-41194.95007	52027.85547	3305
386635	5138615	-37232.00329	54337.26172	3305
386635	5158615	-34096.0818	55616.04297	3305
386635	5178615	-31794.97174	55889.70313	3305
386635	5198615	-29350.56634	56192.04688	3305
386635	5218615	-26893.85379	56490.02344	3305
386635	5238615	-25501.64819	55855.64063	3305
386635	5258615	-24790.69605	54781.21875	3305
386635	5278615	-24222.98236	53925.12891	3305
386635	5298615	-23747.07859	53449.20313	3305
386635	5318615	-23449.22345	53392.44531	3305
386635	5338615	-23634.43997	53478.02344	3305
386635	5358615	-24120.25665	53904.51172	3305
386635	5378615	-24840.95046	54933.28125	3305
386635	5398615	-25594.45046	56725.28125	3305
386635	5418615	-26333.65697	58996.23438	3305
386635	5438615	-27192.4994	61372.60156	3305
386635	5458615	-28164.87668	63551.07813	3305
386635	5478615	-28828.1757	65694.60938	3305
386635	5498615	-28926.35165	68059.89063	3305
406635	4898615	-33604.0553	62273.95313	3305
406635	4918615	-31074.34896	65517.28906	3305
406635	4938615	-23363.69342	73923.70313	3305
406635	4958615	-20873.40085	77053.82813	3305
406635	4978615	-20998.3049	77464.67969	3305
406635	4998615	-21290.25534	77547.09375	3305
406635	5018615	-23197.12592	75788.1875	3335
406635	5038615	-26840.19214	72003.01563	3335
406635	5058615	-31237.11255	67151.94531	3305
406635	5078615	-37411.46643	60219.45313	3305
406635	5098615	-42014.7058	54598.91797	3305
406635	5118615	-42050.73974	53338.03516	3305
406635	5138615	-40067.18006	53909.28125	3305
406635	5158615	-37902.87427	54465.21875	3305
406635	5178615	-35487.45948	55050.28906	3305
406635	5198615	-32448.16443	56057.25781	3305
406635	5218615	-29362.50062	56984.75781	3305
406635	5238615	-26976.13315	57169.28906	3305
406635	5258615	-25779.20355	56293.86719	3305
406635	5278615	-25143.55508	55117.71094	3305
406635	5298615	-24765.80152	54071.26563	3305
406635	5318615	-24542.99468	53471.61719	3305
406635	5338615	-24498.14273	53617.75781	3305
406635	5358615	-24620.1861	54639.73047	3305
406635	5378615	-25126.192	55884.89063	3305
406635	5398615	-25839.72906	57293.75781	3305
406635	5418615	-26515.33307	58905.28125	3305
406635	5438615	-27261.21793	60534.06641	3305
406635	5458615	-28068.48763	62043.21875	3305
406635	5478615	-28724.20914	63413.05078	3305
406635	5498615	-28947.01757	64810.52344	3305
426635	4898615	-33723.81278	62183.01563	3305
426635	4918615	-34342.87144	62495.31641	3305
426635	4938615	-29598.73144	68144.8125	3305
426635	4958615	-27462.08645	71123.33594	3305
426635	4978615	-27045.95073	72274.26563	3305
426635	4998615	-24879.77573	75010.73438	3305
426635	5018615	-21665.90983	78563.09375	3335
426635	5038615	-20988.45844	79276.1875	3335
426635	5058615	-23630.07544	76340.28906	3335
426635	5078615	-29601.63086	69759.375	3305
426635	5098615	-36225.60749	62280.86719	3305
426635	5118615	-39664.0968	57830.27734	3305
426635	5138615	-41593.88184	54773.67188	3305
426635	5158615	-41750.73048	53354.37109	3305
426635	5178615	-38235.56775	55371.51953	3305
426635	5198615	-34296.20141	57526.44922	3305
426635	5218615	-31355.41974	58394.34375	3305
426635	5238615	-28685.7958	58764.76563	3305
426635	5258615	-26974.32733	58124.29297	3305
426635	5278615	-25927.60999	56937.46094	3305
426635	5298615	-25411.19757	55507.78906	3305
426635	5318615	-25200.71561	54385.92969	3305
426635	5338615	-25032.0549	54419.94531	3305
426635	5358615	-24981.03735	55816.56641	3305
426635	5378615	-25354.61184	57214.89063	3305
426635	5398615	-26038.80503	58199.83594	3305
426635	5418615	-26678.85066	59078.19922	3305
426635	5438615	-27297.7964	59970.28516	3305
426635	5458615	-27877.4191	60911.33594	3305
426635	5478615	-28290.92922	61790.51563	3305
426635	5498615	-28455.95295	62445.55469	3305
446635	4898615	-30724.43233	65224.08594	3305
446635	4918615	-35058.19092	62025.74609	3305
446635	4938615	-34454.10607	63728.16797	3305
446635	4958615	-34644.08076	64564.37891	3305
446635	4978615	-34971.01901	65154.37109	3305
446635	4998615	-32854.38626	68023.98438	3305
446635	5018615	-27501.36794	73900.36719	3305
446635	5038615	-23005.01389	78613.28125	3335
446635	5058615	-20941.9859	80553.23438	3335
446635	5078615	-22187.70093	78867.32031	3305
446635	5098615	-27501.03888	72821.875	3305
446635	5118615	-35164.40497	64316.20313	3305
446635	5138615	-43265.0149	55371.52344	3305
446635	5158615	-46462.00977	51351.53125	3305
446635	5178615	-40865.91968	55962.26172	3305
446635	5198615	-35564.45794	59943.83984	3305
