# These data are freely available under the Creative Commons Attribution 4.0 International Licence (CC BY 4.0)					
# when using the data please cite as: 					
# Spooner, Cameron; Scheck-Wenderoth, Magdalena; Götze, Hans-Jürgen; Ebbing, Jörg; Hetényi, György (2019): 3D Gravity Constrained Model of Density Distribution Across the Alpine Lithosphere. GFZ Data Services. http://doi.org/10.5880/GFZ.4.5.2019.004
X COORD (UTM Zone 32N)	Y COORD (UTM Zone 32N)	TOP (m.a.s.l)	THICKNESS (m)	DENSITY (Kg/m3)
286635	4898615	-17619.43494	7203.818359	2750
286635	4918615	-18363.04565	7080.443359	2750
286635	4938615	-19839.62207	8185.623047	2750
286635	4958615	-21448.27588	10829.85547	2750
286635	4978615	-23547.5918	12337.9707	2750
286635	4998615	-24353.68042	12917.30078	3100
286635	5018615	-23770.25208	12364.05273	2800
286635	5038615	-19645.29822	15220.77148	2800
286635	5058615	-17085.92963	17224.62109	2800
286635	5078615	-14840.53552	19521.33594	2800
286635	5098615	-14517.60126	19178.34375	2800
286635	5118615	-15083.27374	16840.97656	2800
286635	5138615	-16323.6225	13991.90625	2800
286635	5158615	-16933.19147	13054.55469	2800
286635	5178615	-20697.67127	8583.189453	2800
286635	5198615	-23390.70246	4705.707031	2800
286635	5218615	-22973.8006	4029.296875	2800
286635	5238615	-22323.78705	3795.388672	2800
286635	5258615	-21823.66564	4182.015625	2800
286635	5278615	-21124.28085	5278.550781	2800
286635	5298615	-20755.50808	6375.251953	2800
286635	5318615	-20627.92171	7572.605469	2800
286635	5338615	-20654.6593	8496.3125	2800
286635	5358615	-20620.11529	8914.595703	2800
286635	5378615	-20863.22868	8929.541016	2920
286635	5398615	-21826.68151	8192.251953	2920
286635	5418615	-22338.24604	7843.357422	2920
286635	5438615	-20765.18836	9670.585938	2920
286635	5458615	-17478.4027	13589.14453	2920
286635	5478615	-14600.07309	17424.20313	2920
286635	5498615	-12816.23331	20094.61328	2920
306635	4898615	-18534.79078	7212.498047	2750
306635	4918615	-19684.17847	7559.134766	2750
306635	4938615	-21563.77893	8197.646484	2750
306635	4958615	-23660.72644	10072.12109	2750
306635	4978615	-26466.06592	10824.9082	3100
306635	4998615	-27414.2544	11028.78125	3100
306635	5018615	-26187.0022	11287.02539	3100
306635	5038615	-21927.23914	14314.80273	2800
306635	5058615	-17073.56226	18787.60156	2800
306635	5078615	-14823.44703	21040.84961	2800
306635	5098615	-14673.43579	20451.67969	2800
306635	5118615	-14511.18952	18801.14453	2800
306635	5138615	-14952.49338	16082.44434	2800
306635	5158615	-16616.41788	12696.91016	2800
306635	5178615	-20940.40448	6975.013672	2800
306635	5198615	-24019.1839	2987.210938	2800
306635	5218615	-22357.43213	4214.640625	2800
306635	5238615	-21335.96732	5206.142578	2800
306635	5258615	-20636.45893	6055.175781	2800
306635	5278615	-19962.11003	6891.291016	2800
306635	5298615	-19704.55121	7314.810547	2800
306635	5318615	-19703.52597	7771.472656	2800
306635	5338615	-19802.35977	8298.017578	2800
306635	5358615	-19539.2166	9038.074219	2800
306635	5378615	-19521.26409	9428.285156	2920
306635	5398615	-21043.89412	8165.494141	2920
306635	5418615	-21812.12369	7534.759766	2920
306635	5438615	-20033.89879	9340.347656	2920
306635	5458615	-16403.19818	13056.01563	2920
306635	5478615	-14238.77104	15801.92383	2920
306635	5498615	-13794.69958	17052.90234	2920
326635	4898615	-18602.33533	8064.871094	2750
326635	4918615	-21533.48108	10061.25781	2750
326635	4938615	-24028.31494	12320.48047	2750
326635	4958615	-26560.67468	13190.4082	3100
326635	4978615	-29556.1582	11674.77344	3100
326635	4998615	-30331.61377	10973.61719	3100
326635	5018615	-28388.71558	12125.48828	3100
326635	5038615	-24448.52783	14735.07031	3100
326635	5058615	-19910.51343	18257.0332	2800
326635	5078615	-14659.30176	23270.69531	2800
326635	5098615	-14533.69104	22476.5625	2800
326635	5118615	-14255.89233	20486.7793	2800
326635	5138615	-14972.5431	16650.71094	2800
326635	5158615	-16487.52692	12087.93945	2800
326635	5178615	-20660.75641	5681.773438	2800
326635	5198615	-24040.70514	1485.958984	2800
326635	5218615	-22125.38459	3537.71875	2800
326635	5238615	-21021.51599	5176.302734	2800
326635	5258615	-20171.52237	6225.285156	2800
326635	5278615	-19328.34274	6870.996094	2800
326635	5298615	-18992.65145	6983.359375	2800
326635	5318615	-18989.43237	7122.099609	2800
326635	5338615	-19302.89273	7372.671875	2800
326635	5358615	-19221.05936	8176.927734	2800
326635	5378615	-19043.54584	8880.517578	2920
326635	5398615	-21059.0452	7180.589844	2920
326635	5418615	-22137.51866	6284.873047	2920
326635	5438615	-19549.43022	8953.103516	2920
326635	5458615	-15338.34367	13296.59375	2920
326635	5478615	-13793.15854	15445.50977	2920
326635	5498615	-14362.35817	15789.37598	2920
346635	4898615	-19014.91955	9632.314453	2750
346635	4918615	-24362.54371	9576.865234	2750
346635	4938615	-27312.53577	10624.7793	3100
346635	4958615	-28247.9961	11084.13086	3100
346635	4978615	-29629.95715	10032.89258	3100
346635	4998615	-30026.81116	10049.89648	3100
346635	5018615	-29578.17371	11143.69922	3100
346635	5038615	-26339.91284	14812.27148	3100
346635	5058615	-22363.31494	18527.2832	3100
346635	5078615	-18223.5127	22606.4043	2800
346635	5098615	-14775.99488	24880.35547	2800
346635	5118615	-14473.0055	22142.33008	2800
346635	5138615	-14956.26282	17759.85742	2800
346635	5158615	-16579.88452	12587.74805	2800
346635	5178615	-20678.53199	5745.253906	2800
346635	5198615	-23810.54248	1475.833984	2800
346635	5218615	-21999.60419	3124.742188	2800
346635	5238615	-20604.16107	4924.939453	2800
346635	5258615	-19498.34394	5982.560547	2800
346635	5278615	-18418.78044	6619.287109	2800
346635	5298615	-17985.76288	6611.564453	2800
346635	5318615	-17908.72998	6625.708984	2800
346635	5338615	-17995.34659	7024.998047	2800
346635	5358615	-17905.97596	7994.275391	2800
346635	5378615	-17668.03252	8945.345703	2800
346635	5398615	-19540.87941	7542.619141	2920
346635	5418615	-20661.24507	6807.134766	2920
346635	5438615	-17356.56726	10487.35742	2920
346635	5458615	-13122.12389	15207.05176	2920
346635	5478615	-13340.47082	15646.66016	2920
346635	5498615	-15074.41395	14585.83984	2920
366635	4898615	-19228.22779	11694.28516	2750
366635	4918615	-22940.02802	10727.58984	2750
366635	4938615	-22925.41504	10131.01953	3100
366635	4958615	-22157.10724	10149.43359	3100
366635	4978615	-22187.74987	10592.54883	3100
366635	4998615	-23208.72809	11136.88281	3100
366635	5018615	-25712.82093	11559.0332	3100
366635	5038615	-25818.43994	14432.3418	3100
366635	5058615	-24049.271	18136.10156	3100
366635	5078615	-19919.86133	23335.59375	3100
366635	5098615	-15245.75659	27133.39063	2800
366635	5118615	-15533.33716	23262.36133	2800
366635	5138615	-17031.58533	17363.4375	2800
366635	5158615	-18723.37415	12358.39648	2800
366635	5178615	-21909.02887	6599.849609	2800
366635	5198615	-23939.36719	2691.96875	2800
366635	5218615	-21860.72986	3604.681641	2800
366635	5238615	-20308.35505	4802.117188	2800
366635	5258615	-18841.62036	5915.642578	2800
366635	5278615	-17519.78696	6681.554688	2800
366635	5298615	-17095.26806	6540.869141	2800
366635	5318615	-17236.3338	6144.777344	2800
366635	5338615	-17497.50589	6288.388672	2800
366635	5358615	-17599.04867	6952.693359	2800
