# These data are freely available under the Creative Commons Attribution 4.0 International Licence (CC BY 4.0)					
# when using the data please cite as: 					
# Spooner, Cameron; Scheck-Wenderoth, Magdalena; Götze, Hans-Jürgen; Ebbing, Jörg; Hetényi, György (2019): 3D Gravity Constrained Model of Density Distribution Across the Alpine Lithosphere. GFZ Data Services. http://doi.org/10.5880/GFZ.4.5.2019.004
X COORD (UTM Zone 32N)	Y COORD (UTM Zone 32N)	TOP (m.a.s.l)	THICKNESS (m)	DENSITY (Kg/m3)
286635	4898615	1182.101074	10.099976	2450
286635	4918615	1335.985473	10.099976	2450
286635	4938615	1282.867553	10.099976	2450
286635	4958615	2308.074218	551.258789	2450
286635	4978615	2693.190673	195.599854	2450
286635	4998615	2275.79956	28.190918	2450
286635	5018615	1373.996582	10.099976	2450
286635	5038615	1085.407226	10.099976	2450
286635	5058615	852.509521	10.100037	2450
286635	5078615	1005.804565	59.974854	2450
286635	5098615	997.822509	10.100037	2450
286635	5118615	441.934174	10.100006	2450
286635	5138615	426.728485	10.100006	2450
286635	5158615	1250.718628	437.015564	2450
286635	5178615	1071.588378	10.099976	2450
286635	5198615	820.107055	10.100037	2450
286635	5218615	551.997009	23.373779	2450
286635	5238615	393.935211	76.42099	2450
286635	5258615	273.956268	28.435745	2450
286635	5278615	286.493591	10.100006	2450
286635	5298615	243.58194	43.037674	2450
286635	5318615	312.426788	64.288528	2450
286635	5338615	336.290985	42.383636	2450
286635	5358615	306.172211	32.706085	2450
286635	5378615	280.423096	44.03569	2450
286635	5398615	280.195862	87.048141	2450
286635	5418615	224.872147	66.657867	2450
286635	5438615	227.304413	78.521088	2450
286635	5458615	226.907379	120.964371	2450
286635	5478615	301.559326	214.672943	2450
286635	5498615	305.181305	89.667297	2450
306635	4898615	1866.143798	146.605469	2450
306635	4918615	1804.528808	10.099976	2450
306635	4938615	1704.167602	10.099976	2450
306635	4958615	1732.851318	10.099976	2450
306635	4978615	1988.138305	10.099976	2450
306635	4998615	2274.384521	174.266846	2450
306635	5018615	2319.016357	339.705078	2450
306635	5038615	1379.811279	10.099976	2450
306635	5058615	1588.279174	206.141235	2450
306635	5078615	1396.196777	105.760986	2450
306635	5098615	1332.853149	10.177612	2450
306635	5118615	1136.418823	156.346619	2450
306635	5138615	472.735534	10.100006	2450
306635	5158615	466.402832	10.100006	2450
306635	5178615	795.155029	10.100037	2450
306635	5198615	1065.016601	111.52301	2450
306635	5218615	822.806152	38.892578	2450
306635	5238615	570.452392	97.987823	2450
306635	5258615	351.266052	86.919434	2450
306635	5278615	296.384125	87.538589	2450
306635	5298615	312.593781	53.642792	2450
306635	5318615	482.664703	120.108276	2450
306635	5338615	372.474671	46.795319	2450
306635	5358615	316.125946	72.993668	2450
306635	5378615	257.147308	78.304337	2450
306635	5398615	240.063812	81.921066	2450
306635	5418615	240.193787	73.177826	2450
306635	5438615	234.025848	51.855789	2450
306635	5458615	229.320648	74.276031	2450
306635	5478615	214.237167	86.434845	2450
306635	5498615	245.675293	25.021347	2450
326635	4898615	2121.781494	332.125854	2450
326635	4918615	2195.211181	40.193848	2450
326635	4938615	2424.826172	237.296387	2450
326635	4958615	2164.771484	101.839844	2450
326635	4978615	1966.698608	13.462646	2450
326635	4998615	2232.138916	253.02356	2450
326635	5018615	2292.687256	10.099854	2450
326635	5038615	2229.525634	10.099854	2450
326635	5058615	1849.533813	10.099976	2450
326635	5078615	2185.118164	321.28125	2450
326635	5098615	1616.014404	10.099976	2450
326635	5118615	1580.422119	144.75	2450
326635	5138615	1034.970459	10.099976	2450
326635	5158615	677.150756	10.100037	2450
326635	5178615	571.577209	16.764282	2450
326635	5198615	899.925354	256.622192	2450
326635	5218615	989.433899	134.623657	2450
326635	5238615	645.699829	44.374023	2450
326635	5258615	375.456116	83.585663	2450
326635	5278615	390.243866	118.005432	2450
326635	5298615	630.345459	133.236145	2450
326635	5318615	596.737121	10.100037	2450
326635	5338615	462.090485	118.912903	2450
326635	5358615	314.95108	109.316162	2450
326635	5378615	258.910248	48.311798	2450
326635	5398615	225.83165	54.026749	2450
326635	5418615	248.112824	76.489517	2450
326635	5438615	277.766144	73.840652	2450
326635	5458615	246.946503	16.221329	2450
326635	5478615	287.309235	74.003296	2450
326635	5498615	328.711365	67.809692	2450
346635	4898615	1956.239746	165.049805	2450
346635	4918615	2010.860107	10.099976	2450
346635	4938615	2104.365478	31.482422	2450
346635	4958615	2191.100341	240.045044	2450
346635	4978615	1839.952636	42.382568	2450
346635	4998615	1562.708374	10.099976	2450
346635	5018615	2707.311279	468.066406	2450
346635	5038615	2675.578613	47.796143	2450
346635	5058615	2216.900634	10.099854	2450
346635	5078615	2448.471679	32.782227	2450
346635	5098615	2091.11084	10.099854	2450
346635	5118615	1311.182373	10.099976	2450
346635	5138615	1199.677612	130.908203	2450
346635	5158615	1039.251464	63.111572	2450
346635	5178615	685.299987	10.100037	2450
346635	5198615	386.133423	59.992065	2450
346635	5218615	1013.171753	287.692932	2450
346635	5238615	840.759582	69.320557	2450
346635	5258615	457.274323	187.233246	2450
346635	5278615	347.577423	232.584915	2450
346635	5298615	746.393676	129.668396	2450
346635	5318615	957.011352	192.434265	2450
346635	5338615	603.780395	48.413147	2450
346635	5358615	430.217255	176.190903	2450
346635	5378615	345.015564	99.435226	2450
346635	5398615	259.228211	58.263138	2450
346635	5418615	223.582992	62.556091	2450
346635	5438615	250.865936	54.941986	2450
346635	5458615	238.254303	57.99147	2450
346635	5478615	270.14563	84.221436	2450
346635	5498615	490.908905	121.776337	2450
366635	4898615	1697.644165	125.908447	2450
366635	4918615	1058.638671	10.099976	2450
366635	4938615	986.462585	188.226807	2450
366635	4958615	476.241913	10.100006	2450
366635	4978615	642.541015	89.130005	2450
366635	4998615	937.137756	10.100037	2450
366635	5018615	1740.544555	204.164429	2450
366635	5038615	2393.322265	213.326172	2450
366635	5058615	1840.950805	10.099976	2450
366635	5078615	2057.739013	10.099854	2450
366635	5098615	2307.103271	469.828613	2450
366635	5118615	1251.400024	10.099976	2450
366635	5138615	1868.708007	10.099976	2450
366635	5158615	1540.940429	82.789673	2450
366635	5178615	968.839172	24.598022	2450
366635	5198615	547.678344	434.720093	2450
366635	5218615	545.180297	1253.209961	2450
366635	5238615	858.327514	10.100037	2450
366635	5258615	529.183899	311.868469	2450
366635	5278615	304.401276	1301.738647	2450
366635	5298615	292.650147	1544.848755	2450
366635	5318615	499.223175	41.279388	2450
366635	5338615	642.052246	183.85611	2450
366635	5358615	616.654785	46.426514	2450
366635	5378615	596.251587	140.046387	2450
366635	5398615	318.558777	84.001114	2450
366635	5418615	281.739075	58.938507	2450
366635	5438615	285.325317	79.095886	2450
366635	5458615	279.133606	45.900818	2450
366635	5478615	338.97345	70.128845	2450
366635	5498615	456.73053	73.479828	2450
386635	4898615	1386.034545	362.882751	2450
386635	4918615	431.667664	10.100006	2450
386635	4938615	372.683777	189.81369	2450
386635	4958615	236.021271	140.127258	2450
386635	4978615	234.815521	334.866882	2450
386635	4998615	333.570313	144.009659	2450
386635	5018615	550.603332	212.927734	2450
386635	5038615	1792.820922	830.583313	2450
386635	5058615	1974.312744	22.325073	2450
386635	5078615	2100.009033	10.099854	2450
386635	5098615	2996.413818	743.448486	2450
