# These data are freely available under the Creative Commons Attribution 4.0 International Licence (CC BY 4.0)					
# when using the data please cite as: 					
# Spooner, Cameron; Scheck-Wenderoth, Magdalena; Götze, Hans-Jürgen; Ebbing, Jörg; Hetényi, György (2019): 3D Gravity Constrained Model of Density Distribution Across the Alpine Lithosphere. GFZ Data Services. http://doi.org/10.5880/GFZ.4.5.2019.004
X COORD (UTM Zone 32N)	Y COORD (UTM Zone 32N)	TOP (m.a.s.l)	THICKNESS (m)	DENSITY (Kg/m3)
286635	4898615	-1514.68982	16104.74512	2670
286635	4918615	-1840.481202	16522.56445	2670
286635	4938615	-1919.631837	17919.99023	2670
286635	4958615	-2013.283692	19434.99219	2670
286635	4978615	-2025.187501	21522.4043	2670
286635	4998615	-2070.266358	22283.41406	2670
286635	5018615	-2030.080201	21740.17188	2670
286635	5038615	-1803.729859	17841.56836	2700
286635	5058615	-2825.579041	14260.35059	2700
286635	5078615	-3197.777711	11642.75781	2700
286635	5098615	-3709.345399	10808.25586	2700
286635	5118615	-4178.16632	10905.10742	2700
286635	5138615	-4343.366638	11980.25586	2700
286635	5158615	-4346.673889	12586.51758	2700
286635	5178615	-3374.378297	17323.29297	2700
286635	5198615	-1962.241517	21428.46094	2700
286635	5218615	-2084.15802	20889.64258	2700
286635	5238615	-1647.060486	20676.72656	2700
286635	5258615	-1001.679306	20821.98633	2700
286635	5278615	-592.648041	20531.63281	2700
286635	5298615	-163.867447	20591.64063	2700
286635	5318615	-68.884598	20559.03711	2700
286635	5338615	-477.872192	20176.78711	2700
286635	5358615	-765.220764	19854.89453	2700
286635	5378615	-918.623214	19944.60547	2670
286635	5398615	-968.359237	20858.32227	2670
286635	5418615	-1026.062453	21312.18359	2670
286635	5438615	-1165.338745	19599.84961	2670
286635	5458615	-1065.846055	16412.55664	2670
286635	5478615	-790.786957	13809.28613	2670
286635	5498615	-744.473541	12071.75977	2670
306635	4898615	305.849852	18840.64063	2670
306635	4918615	89.356688	19773.53516	2670
306635	4938615	117.445678	21681.22461	2670
306635	4958615	0.867309	23661.59375	2670
306635	4978615	-195.749513	26270.31641	2670
306635	4998615	-458.322755	26955.93164	2670
306635	5018615	-1031.07251	25155.92969	2670
306635	5038615	-1633.690308	20293.54883	2670
306635	5058615	-2531.010499	14542.55176	2700
306635	5078615	-2811.914795	12011.53223	2700
306635	5098615	-3358.686768	11314.74902	2700
306635	5118615	-3873.546937	10637.64258	2700
306635	5138615	-4255.880097	10696.61328	2700
306635	5158615	-4499.682526	12116.73535	2700
306635	5178615	-3464.906434	17475.49805	2700
306635	5198615	-1929.369446	22089.81445	2700
306635	5218615	-2153.758301	20203.67383	2700
306635	5238615	-1871.18216	19464.78516	2700
306635	5258615	-1087.117127	19549.3418	2700
306635	5278615	-529.012374	19433.09766	2700
306635	5298615	-67.035583	19637.51563	2700
306635	5318615	41.65567	19745.18164	2700
306635	5338615	-506.369537	19295.99023	2700
306635	5358615	-859.802536	18679.41406	2700
306635	5378615	-1005.910569	18515.35352	2670
306635	5398615	-1207.591385	19836.30273	2670
306635	5418615	-1321.031891	20491.0918	2670
306635	5438615	-1488.750351	18545.14844	2670
306635	5458615	-1481.732361	14921.46582	2670
306635	5478615	-862.531784	13376.23926	2670
306635	5498615	-419.899765	13374.79981	2670
326635	4898615	1493.213501	20095.54883	2670
326635	4918615	1658.911498	23192.39258	2670
326635	4938615	1749.030762	25777.3457	2670
326635	4958615	1645.081176	28205.75586	2670
326635	4978615	1424.691406	30980.84961	2670
326635	4998615	991.106933	31322.7207	2670
326635	5018615	92.800048	28481.51563	2670
326635	5038615	-1312.477052	23136.05078	2670
326635	5058615	-2220.18921	17690.32422	2670
326635	5078615	-2425.866211	12233.43555	2700
326635	5098615	-3254.545533	11279.14551	2700
326635	5118615	-3817.631592	10438.26074	2700
326635	5138615	-4216.220826	10756.32227	2700
326635	5158615	-4576.936097	11910.59082	2700
326635	5178615	-3611.615784	17049.14063	2700
326635	5198615	-2110.660217	21930.04492	2700
326635	5218615	-2281.886535	19843.49805	2700
326635	5238615	-2163.3656	18858.15039	2700
326635	5258615	-1139.545807	19031.97656	2700
326635	5278615	-223.11618	19105.22656	2700
326635	5298615	394.182526	19386.83398	2700
326635	5318615	318.462157	19307.89453	2660
326635	5338615	-197.791168	19105.10156	2700
326635	5358615	-778.830841	18442.22852	2700
326635	5378615	-1031.539978	18012.00586	2670
326635	5398615	-1502.687775	19556.35742	2670
326635	5418615	-1739.553817	20397.96484	2670
326635	5438615	-1727.869674	17821.56055	2670
326635	5458615	-1906.745041	13431.59863	2670
326635	5478615	-1124.402679	12668.75586	2670
326635	5498615	149.087144	14511.44531	2670
346635	4898615	1464.994506	20479.91406	2670
346635	4918615	1599.823485	25962.36719	2670
346635	4938615	1579.727905	28892.26367	2790
346635	4958615	1350.597655	29598.59375	2790
346635	4978615	885.869018	30515.82617	2790
346635	4998615	976.86267	31003.67383	2670
346635	5018615	1237.238403	30815.41211	2670
346635	5038615	3.50122	26343.41406	2670
346635	5058615	-1592.21338	20771.10156	2670
346635	5078615	-2164.8584	16058.6543	2670
346635	5098615	-2953.451905	11822.54297	2670
346635	5118615	-3718.715455	10754.29004	2700
346635	5138615	-4174.055786	10782.20703	2700
346635	5158615	-4502.710694	12077.17383	2700
346635	5178615	-3858.078859	16820.45313	2700
346635	5198615	-2700.470214	21110.07227	2700
346635	5218615	-2713.186218	19286.41797	2700
346635	5238615	-2684.571229	17919.58984	2700
346635	5258615	-1697.615417	17800.72852	2700
346635	5278615	-1102.055832	17316.72461	2700
346635	5298615	1.666808	17987.42969	2660
346635	5318615	744.47705	18653.20703	2660
346635	5338615	377.395599	18372.74219	2660
346635	5358615	-116.604874	17789.37109	2700
346635	5378615	-623.571579	17044.46094	2670
346635	5398615	-1428.891128	18111.98828	2670
346635	5418615	-2210.670853	18450.57422	2670
346635	5438615	-2446.785034	14909.78223	2670
346635	5458615	-2632.042831	10490.08106	2670
346635	5478615	-2258.463013	11082.00781	2670
346635	5498615	-742.157105	14332.25684	2670
366635	4898615	1116.114014	20344.3418	2670
366635	4918615	763.466124	23703.49414	2790
366635	4938615	513.499023	23438.91406	2790
366635	4958615	-551.831848	21605.27539	2790
366635	4978615	-1569.822144	20617.92773	2790
366635	4998615	619.560973	23828.28906	2790
366635	5018615	1255.350951	26968.17188	2790
366635	5038615	495.618652	26314.05859	2670
366635	5058615	-64.657716	23984.61328	2670
366635	5078615	-1947.941407	17971.91992	2670
366635	5098615	-2610.000733	12635.75586	2670
366635	5118615	-3489.613526	12043.72363	2700
366635	5138615	-4088.890016	12942.69531	2700
366635	5158615	-4397.348756	14326.02539	2700
366635	5178615	-4115.847229	17793.18164	2700
366635	5198615	-3350.779298	20588.58789	2700
366635	5218615	-3014.847047	18845.88281	2700
366635	5238615	-2841.558168	17466.79688	2660
366635	5258615	-2384.696533	16456.92383	2660
366635	5278615	-2546.983245	14972.80371	2700
366635	5298615	-1799.456543	15295.81152	2660
366635	5318615	-584.316223	16652.01758	2660
366635	5338615	-68.326203	17429.17969	2660
366635	5358615	170.884918	17769.93359	2700
366635	5378615	32.204132	17615.01758	2670
366635	5398615	-888.667191	16812.35547	2670
366635	5418615	-2056.662811	16081.23633	2670
366635	5438615	-3006.881409	12467.4375	2670
366635	5458615	-3439.99939	8795.972656	2670
366635	5478615	-3490.260375	9754.685547	2670
366635	5498615	-2391.119659	13165.13867	2670
386635	4898615	805.440368	26566.14063	2720
386635	4918615	239.215088	17853.13281	2670
386635	4938615	74.912201	15391.65234	2670
386635	4958615	-1384.534698	13505.11816	2670
386635	4978615	-3457.190521	11965.55273	2670
386635	4998615	24.242142	17464.04102	2790
386635	5018615	-1281.31134	19505.4082	2790
386635	5038615	-723.201356	21501.61328	2790
386635	5058615	1191.107788	23786.38281	2670
386635	5078615	-372.822266	21588.69922	2670
386635	5098615	-2273.760254	14108.93457	2670
386635	5118615	-3373.687378	12138.18066	2670
386635	5138615	-3955.288453	13969.97461	2700
386635	5158615	-4347.696046	15231.85645	2700
386635	5178615	-4239.803773	17746.33398	2700
386635	5198615	-3577.943299	20484.33984	2700
386635	5218615	-2594.406525	19329.84375	2700
386635	5238615	-1735.425538	18544.30664	2700
386635	5258615	-1664.664795	16818.15625	2660
386635	5278615	-1896.932556	14959.78027	2660
386635	5298615	-2087.024887	14274.08691	2660
386635	5318615	-2733.402161	14171.96973	2660
386635	5338615	-1758.199737	16219.68945	2660
386635	5358615	-1471.758606	16950.12109	2660
386635	5378615	-1313.68483	17019.51172	2660
386635	5398615	-1453.016869	16052.05859	2670
386635	5418615	-1058.086655	15343.47266	2670
386635	5438615	-1905.939834	13305.02051	2670
386635	5458615	-3088.23996	10874.14258	2670
386635	5478615	-3719.157136	10334.69727	2670
386635	5498615	-3040.899505	12146.30566	2670
406635	4898615	726.99939	21253.66211	2720
406635	4918615	200.387375	19988.94141	2720
406635	4938615	-180.380921	11012.79297	2670
406635	4958615	-2690.187959	8723.347656	2670
406635	4978615	-4376.09787	5841.90625	2670
406635	4998615	-4015.664521	6581.595703	2670
406635	5018615	-5529.41986	7365.892578	2670
406635	5038615	-2983.467529	12611.4043	2790
406635	5058615	116.739013	18902.07422	2670
406635	5078615	1622.244506	24102.14844	2670
406635	5098615	-537.451904	17060.44531	2670
406635	5118615	-2386.113771	13731.81738	2670
406635	5138615	-3357.775757	14057.9375	2700
406635	5158615	-4252.936768	14171.07422	2700
406635	5178615	-4695.031738	17112.64844	2700
