171012 40 OPL 60 PDMS 38,3 Fe 5 - 4000 Pa;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
shear rate;shear stress;viscosity;strain;% strain;torque;velocity;time global;time global;time;normal force
1/s;Pa;Pa.s;;;micro N.m;rad/s;s;min;s;N
-6.62E-06;1.18E-07;-0.01787;-7.24E-06;-7.24E-04;3.56E-07;-1.33E-06;10.008;0.2;10.008;6.03E-03
3.13E-06;-5.59E-08;-0.01788;-6.11E-06;-6.11E-04;-1.68E-07;6.29E-07;20.008;0.3;20.008;0.03533
-7.27E-07;1.30E-08;-0.01788;-7.39E-06;-7.39E-04;3.92E-08;-1.46E-07;30.008;0.5;30.008;0.03473
9.02E-06;-1.61E-07;-0.01788;-1.55E-05;-1.55E-03;-4.86E-07;1.81E-06;40.016;0.7;40.016;0.03128
7.27E-07;-1.30E-08;-0.01788;-1.36E-05;-1.36E-03;-3.92E-08;1.46E-07;50.008;0.8;50.008;0.0174
4.29E-06;-7.67E-08;-0.01788;-1.51E-05;-1.51E-03;-2.31E-07;8.63E-07;60.012;1;60.012;0.01856
1.75E-06;-3.12E-08;-0.01788;-1.69E-05;-1.69E-03;-9.40E-08;3.51E-07;70.008;1.2;70.008;0.01894
-4.36E-06;7.80E-08;-0.01788;-1.21E-05;-1.21E-03;2.35E-07;-8.78E-07;80.008;1.3;80.008;0.03261
-1.21E-05;2.16E-07;-0.01788;-2.26E-05;-2.26E-03;6.50E-07;-2.43E-06;90.008;1.5;90.008;0.01217
5.31E-06;-9.49E-08;-0.01788;-2.20E-05;-2.20E-03;-2.86E-07;1.07E-06;100.008;1.7;100.01;0.01718
2.40E-06;-4.29E-08;-0.01788;-1.97E-05;-1.97E-03;-1.29E-07;4.83E-07;110.008;1.8;110.01;0.02046
5.74E-06;-1.03E-07;-0.01787;-2.21E-05;-2.21E-03;-3.09E-07;1.16E-06;120.004;2;120;0.01235
4.65E-06;-8.32E-08;-0.01788;-2.40E-05;-2.40E-03;-2.51E-07;9.36E-07;130.004;2.2;130;0.0301
5.38E-06;-9.62E-08;-0.01788;-2.50E-05;-2.50E-03;-2.90E-07;1.08E-06;140.004;2.3;140;0.02083
5.24E-06;-9.36E-08;-0.01788;-2.56E-05;-2.56E-03;-2.82E-07;1.05E-06;160.004;2.7;160;0.02122
1.45E-05;-2.59E-07;-0.01788;-3.19E-05;-3.19E-03;-7.79E-07;2.91E-06;170.004;2.8;170;0.03492
-5.96E-06;1.07E-07;-0.01788;-3.44E-05;-3.44E-03;3.21E-07;-1.20E-06;180.004;3;180;0.02603
5.09E-06;-9.10E-08;-0.01788;-3.09E-05;-3.09E-03;-2.74E-07;1.02E-06;190.004;3.2;190;0.03198
-6.18E-06;1.11E-07;-0.01788;-3.61E-05;-3.61E-03;3.33E-07;-1.24E-06;200.004;3.3;200;0.01828
3.20E-06;-5.72E-08;-0.01788;-3.12E-05;-3.12E-03;-1.72E-07;6.44E-07;210.004;3.5;210;0.0312
1.40E-05;-2.51E-07;-0.01788;-3.44E-05;-3.44E-03;-7.56E-07;2.82E-06;220.004;3.7;220;0.02216
1.02E-06;-1.82E-08;-0.01787;-3.86E-05;-3.86E-03;-5.48E-08;2.05E-07;230.004;3.8;230;0.01616
5.60E-06;-1.00E-07;-0.01787;-3.82E-05;-3.82E-03;-3.02E-07;1.13E-06;240.004;4;240;0.03736
-1.11E-05;1.99E-07;-0.01788;-3.70E-05;-3.70E-03;5.99E-07;-2.24E-06;250;4.2;250;2.69E-03
2.33E-06;-4.16E-08;-0.01788;-3.87E-05;-3.87E-03;-1.25E-07;4.68E-07;260;4.3;260;0.01232
-7.27E-07;1.30E-08;-0.01788;-3.58E-05;-3.58E-03;3.92E-08;-1.46E-07;270;4.5;270;0.02406
-7.34E-06;1.31E-07;-0.01788;-3.83E-05;-3.83E-03;3.96E-07;-1.48E-06;280;4.7;280;0.01191
-8.36E-06;1.50E-07;-0.01788;-3.85E-05;-3.85E-03;4.50E-07;-1.68E-06;290;4.8;290;0.03349
-7.49E-06;1.34E-07;-0.01788;-3.83E-05;-3.83E-03;4.03E-07;-1.51E-06;300;5;300;0.01846
-3.93E-06;7.02E-08;-0.01788;-4.10E-05;-4.10E-03;2.11E-07;-7.90E-07;310;5.2;310;0.02464
-5.45E-06;9.75E-08;-0.01788;-4.10E-05;-4.10E-03;2.94E-07;-1.10E-06;320;5.3;320;0.02695
-6.11E-06;1.09E-07;-0.01788;-4.36E-05;-4.36E-03;3.29E-07;-1.23E-06;330;5.5;330;0.02483
-8.80E-06;1.57E-07;-0.01788;-4.30E-05;-4.30E-03;4.74E-07;-1.77E-06;339.996;5.7;340;0.04101
-4.00E-06;7.15E-08;-0.01788;-4.71E-05;-4.71E-03;2.15E-07;-8.05E-07;349.996;5.8;350;0.03468
-1.18E-05;2.11E-07;-0.01788;-4.21E-05;-4.21E-03;6.34E-07;-2.37E-06;359.996;6;360;0.01539
-5.16E-06;9.23E-08;-0.01788;-5.10E-05;-5.10E-03;2.78E-07;-1.04E-06;370;6.2;370;0.03677
-1.49E-05;2.66E-07;-0.01788;-4.27E-05;-4.27E-03;8.03E-07;-3.00E-06;380;6.3;380;0.03249
-1.24E-06;2.21E-08;-0.01788;-5.07E-05;-5.07E-03;6.66E-08;-2.49E-07;389.996;6.5;390;0.03212
-1.60E-06;2.86E-08;-0.01788;-4.65E-05;-4.65E-03;8.62E-08;-3.22E-07;400.004;6.7;400;0.02964
-1.05E-05;1.87E-07;-0.01788;-5.20E-05;-5.20E-03;5.64E-07;-2.11E-06;409.996;6.8;410;0.03849
6.25E-06;-1.12E-07;-0.01788;-5.20E-05;-5.20E-03;-3.37E-07;1.26E-06;419.996;7;420;0.03638
3.27E-06;-5.85E-08;-0.01788;-5.21E-05;-5.21E-03;-1.76E-07;6.58E-07;429.996;7.2;430;0.03885
1.43E-05;-2.55E-07;-0.01788;-5.22E-05;-5.22E-03;-7.68E-07;2.87E-06;439.996;7.3;440;0.014
-4.73E-06;8.45E-08;-0.01788;-5.17E-05;-5.17E-03;2.55E-07;-9.51E-07;449.996;7.5;450;7.64E-03
6.54E-07;-1.17E-08;-0.01788;-5.31E-05;-5.31E-03;-3.52E-08;1.32E-07;459.996;7.7;460;0.01298
-2.40E-06;4.29E-08;-0.01788;-5.83E-05;-5.83E-03;1.29E-07;-4.83E-07;469.996;7.8;470;0.02456
-9.67E-06;1.73E-07;-0.01788;-5.60E-05;-5.60E-03;5.21E-07;-1.95E-06;479.992;8;479.99;0.02825
-2.62E-06;4.68E-08;-0.01788;-6.07E-05;-6.07E-03;1.41E-07;-5.27E-07;490.008;8.2;490.01;0.03268
2.76E-06;-4.94E-08;-0.01788;-5.54E-05;-5.54E-03;-1.49E-07;5.56E-07;500.008;8.3;500.01;0.02748
1.16E-06;-2.08E-08;-0.01788;-5.52E-05;-5.52E-03;-6.27E-08;2.34E-07;510.008;8.5;510.01;0.0263
-1.29E-05;2.30E-07;-0.01788;-5.74E-05;-5.74E-03;6.93E-07;-2.59E-06;520.008;8.7;520.01;0.03038
-8.73E-07;1.56E-08;-0.01788;-5.84E-05;-5.84E-03;4.70E-08;-1.76E-07;530.008;8.8;530.01;0.02051
1.31E-06;-2.34E-08;-0.01788;-6.04E-05;-6.04E-03;-7.05E-08;2.63E-07;540.008;9;540.01;6.81E-03
2.04E-06;-3.64E-08;-0.01787;-5.81E-05;-5.81E-03;-1.10E-07;4.10E-07;550.012;9.2;550.01;0.02013
5.16E-06;-9.23E-08;-0.01788;-5.87E-05;-5.87E-03;-2.78E-07;1.04E-06;560.008;9.3;560.01;0.0128
-1.38E-06;2.47E-08;-0.01788;-5.92E-05;-5.92E-03;7.44E-08;-2.78E-07;570.008;9.5;570.01;0.02416
7.27E-08;-1.30E-09;-0.01788;-5.95E-05;-5.95E-03;-3.92E-09;1.46E-08;580.008;9.7;580.01;0.01858
4.87E-06;-8.71E-08;-0.01788;-6.33E-05;-6.33E-03;-2.62E-07;9.80E-07;590.004;9.8;590;0.02473
3.13E-06;-5.59E-08;-0.01788;-6.10E-05;-6.10E-03;-1.68E-07;6.29E-07;600.004;10;600;0.01798
-1.15E-05;2.05E-07;-0.01788;-6.16E-05;-6.16E-03;6.19E-07;-2.31E-06;610.004;10.2;610;0.02801
-6.54E-06;1.17E-07;-0.01788;-5.91E-05;-5.91E-03;3.52E-07;-1.32E-06;620.028;10.3;620.03;0.01723
7.27E-07;-1.30E-08;-0.01788;-6.26E-05;-6.26E-03;-3.92E-08;1.46E-07;630.008;10.5;630.01;0.01029
1.05E-05;-1.88E-07;-0.01788;-6.54E-05;-6.54E-03;-5.68E-07;2.12E-06;640.004;10.7;640;0.03264
4.87E-06;-8.71E-08;-0.01788;-6.19E-05;-6.19E-03;-2.62E-07;9.80E-07;650.004;10.8;650;0.01043
