171024 60 OPL 40 PDMS 41,4 FE 16 Oil 25 - 4000 Pa;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
shear rate;shear stress;viscosity;strain;% strain;torque;velocity;time global;time global;time;normal force
1/s;Pa;Pa.s;;;micro N.m;rad/s;s;min;s;N
-5.67E-06;1.01E-07;-0.01787;-5.49E-05;-5.49E-03;3.05E-07;-1.14E-06;10.012;0.2;10.012;0.1852
-9.53E-06;1.70E-07;-0.01788;-9.30E-05;-9.30E-03;5.13E-07;-1.92E-06;20.016;0.3;20.016;0.1848
6.47E-06;-1.16E-07;-0.01788;-1.17E-04;-0.011726;-3.49E-07;1.30E-06;30.016;0.5;30.016;0.1899
-3.42E-06;6.11E-08;-0.01788;-1.38E-04;-0.013753;1.84E-07;-6.88E-07;40.012;0.7;40.012;0.1807
-1.05E-05;1.87E-07;-0.01788;-1.52E-04;-0.015181;5.64E-07;-2.11E-06;50.016;0.8;50.016;0.1464
-3.49E-06;6.24E-08;-0.01788;-1.65E-04;-0.016534;1.88E-07;-7.02E-07;60.016;1;60.016;0.1465
5.31E-06;-9.49E-08;-0.01788;-1.73E-04;-0.017264;-2.86E-07;1.07E-06;70.016;1.2;70.016;0.1421
-8.29E-06;1.48E-07;-0.01788;-1.89E-04;-0.018869;4.46E-07;-1.67E-06;80.012;1.3;80.012;0.1375
7.78E-06;-1.39E-07;-0.01788;-2.01E-04;-0.020058;-4.19E-07;1.57E-06;90.012;1.5;90.012;0.1405
5.45E-06;-9.75E-08;-0.01788;-2.14E-04;-0.021364;-2.94E-07;1.10E-06;100.012;1.7;100.01;0.134
1.38E-06;-2.47E-08;-0.01788;-2.19E-04;-0.021879;-7.44E-08;2.78E-07;110.012;1.8;110.01;0.1307
3.27E-06;-5.85E-08;-0.01788;-2.25E-04;-0.022446;-1.76E-07;6.58E-07;120.012;2;120.01;0.1445
1.23E-05;-2.20E-07;-0.01788;-2.34E-04;-0.023397;-6.62E-07;2.47E-06;130.008;2.2;130.01;0.1366
-4.36E-07;7.80E-09;-0.01788;-2.40E-04;-0.024031;2.35E-08;-8.78E-08;140.008;2.3;140.01;0.1286
1.89E-06;-3.38E-08;-0.01788;-2.50E-04;-0.025008;-1.02E-07;3.80E-07;150.008;2.5;150.01;0.1183
-1.16E-06;2.08E-08;-0.01788;-2.57E-04;-0.025654;6.27E-08;-2.34E-07;160.012;2.7;160.01;0.1412
-1.40E-05;2.50E-07;-0.01788;-2.62E-04;-0.026236;7.52E-07;-2.81E-06;170.008;2.8;170.01;0.1105
-6.91E-06;1.24E-07;-0.01788;-2.66E-04;-0.026567;3.72E-07;-1.39E-06;180.024;3;180.02;0.1176
-6.98E-06;1.25E-07;-0.01788;-2.65E-04;-0.026521;3.76E-07;-1.40E-06;190.012;3.2;190.01;0.11
-1.12E-05;2.00E-07;-0.01788;-2.72E-04;-0.027172;6.03E-07;-2.25E-06;200.012;3.3;200.01;0.1195
1.20E-05;-2.14E-07;-0.01788;-2.78E-04;-0.027792;-6.46E-07;2.41E-06;210.008;3.5;210.01;0.1207
-5.60E-06;1.00E-07;-0.01787;-2.81E-04;-0.028047;3.02E-07;-1.13E-06;220.004;3.7;220;0.1111
3.64E-07;-6.50E-09;-0.01788;-2.86E-04;-0.028638;-1.96E-08;7.32E-08;230.004;3.8;230;0.1202
5.82E-07;-1.04E-08;-0.01788;-2.92E-04;-0.029173;-3.13E-08;1.17E-07;240.02;4;240.02;0.1062
-8.00E-06;1.43E-07;-0.01788;-2.92E-04;-0.029217;4.31E-07;-1.61E-06;250.02;4.2;250.02;0.1024
-3.71E-06;6.63E-08;-0.01788;-2.98E-04;-0.029821;2.00E-07;-7.46E-07;260.008;4.3;260.01;0.109
2.33E-06;-4.16E-08;-0.01788;-3.02E-04;-0.030188;-1.25E-07;4.68E-07;270.012;4.5;270.01;0.1278
2.18E-06;-3.90E-08;-0.01788;-3.05E-04;-0.030485;-1.18E-07;4.39E-07;280.012;4.7;280.01;0.1178
7.20E-06;-1.29E-07;-0.01788;-3.09E-04;-0.030868;-3.88E-07;1.45E-06;290.004;4.8;290;0.1018
2.25E-06;-4.03E-08;-0.01788;-3.14E-04;-0.031357;-1.21E-07;4.54E-07;300.004;5;300;0.09149
-1.75E-06;3.12E-08;-0.01788;-3.12E-04;-0.031218;9.40E-08;-3.51E-07;310.004;5.2;310;0.1022
-1.38E-06;2.47E-08;-0.01788;-3.17E-04;-0.031674;7.44E-08;-2.78E-07;320;5.3;320;0.1034
2.69E-06;-4.81E-08;-0.01788;-3.20E-04;-0.031994;-1.45E-07;5.41E-07;330.008;5.5;330.01;0.0932
1.06E-05;-1.90E-07;-0.01788;-3.27E-04;-0.032709;-5.72E-07;2.14E-06;340;5.7;340;0.1208
-5.96E-06;1.07E-07;-0.01788;-3.28E-04;-0.032805;3.21E-07;-1.20E-06;350.004;5.8;350;0.1062
-1.29E-05;2.30E-07;-0.01788;-3.30E-04;-0.033012;6.93E-07;-2.59E-06;360;6;360;0.1163
8.00E-07;-1.43E-08;-0.01788;-3.31E-04;-0.033134;-4.31E-08;1.61E-07;370;6.2;370;0.1141
2.76E-06;-4.94E-08;-0.01788;-3.31E-04;-0.033088;-1.49E-07;5.56E-07;380;6.3;380;0.1086
2.55E-06;-4.55E-08;-0.01788;-3.36E-04;-0.033634;-1.37E-07;5.12E-07;390;6.5;390;0.1009
5.09E-06;-9.10E-08;-0.01788;-3.41E-04;-0.034094;-2.74E-07;1.02E-06;400;6.7;400;0.109
7.85E-06;-1.40E-07;-0.01788;-3.42E-04;-0.034161;-4.23E-07;1.58E-06;410;6.8;410;0.09095
-2.76E-06;4.94E-08;-0.01788;-3.45E-04;-0.034533;1.49E-07;-5.56E-07;420;7;420;0.1035
2.18E-07;-3.90E-09;-0.01788;-3.47E-04;-0.034658;-1.18E-08;4.39E-08;429.996;7.2;430;0.1094
-5.31E-06;9.49E-08;-0.01788;-3.53E-04;-0.035315;2.86E-07;-1.07E-06;439.996;7.3;440;0.1083
6.47E-06;-1.16E-07;-0.01788;-3.45E-04;-0.034446;-3.49E-07;1.30E-06;449.996;7.5;450;0.1105
8.00E-06;-1.43E-07;-0.01788;-3.51E-04;-0.035109;-4.31E-07;1.61E-06;460.012;7.7;460.01;0.07854
-1.38E-06;2.47E-08;-0.01788;-3.49E-04;-0.034894;7.44E-08;-2.78E-07;470.012;7.8;470.01;0.09287
-2.98E-06;5.33E-08;-0.01788;-3.55E-04;-0.035464;1.61E-07;-6.00E-07;480.016;8;480.02;0.08329
9.45E-07;-1.69E-08;-0.01788;-3.57E-04;-0.035653;-5.09E-08;1.90E-07;490.012;8.2;490.01;0.08488
-9.45E-07;1.69E-08;-0.01788;-3.63E-04;-0.036319;5.09E-08;-1.90E-07;500.012;8.3;500.01;0.09342
-8.36E-06;1.50E-07;-0.01788;-3.59E-04;-0.035923;4.50E-07;-1.68E-06;510.016;8.5;510.02;0.08474
