180322 60 OPL 40 PDMS 24 Oil 37 Fe,  10 - 3573 Pa;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
shear rate;shear stress;viscosity;strain;% strain;torque;velocity;time global;time global;time;normal force
1/s;Pa;Pa.s;;;micro N.m;rad/s;s;min;s;N
-4.87E-06;8.71E-08;-0.01788;-3.72E-06;-3.72E-04;2.62E-07;-9.80E-07;10.016;0.2;10.016;1.18E-04
-4.22E-06;7.54E-08;-0.01788;-3.11E-06;-3.11E-04;2.27E-07;-8.49E-07;20.016;0.3;20.016;3.60E-03
6.40E-06;-1.14E-07;-0.01788;-3.55E-06;-3.55E-04;-3.45E-07;1.29E-06;30.016;0.5;30.016;-2.69E-03
-1.45E-07;2.60E-09;-0.01788;-8.78E-06;-8.78E-04;7.83E-09;-2.93E-08;40.012;0.7;40.012;-2.46E-03
1.09E-06;-1.95E-08;-0.01788;-4.71E-06;-4.71E-04;-5.87E-08;2.19E-07;50.028;0.8;50.028;-7.43E-03
2.33E-06;-4.16E-08;-0.01788;-6.54E-06;-6.54E-04;-1.25E-07;4.68E-07;60.028;1;60.028;-3.30E-03
-1.53E-06;2.73E-08;-0.01788;-6.05E-06;-6.05E-04;8.22E-08;-3.07E-07;70.028;1.2;70.028;-7.70E-03
-2.33E-06;4.16E-08;-0.01788;-7.94E-06;-7.94E-04;1.25E-07;-4.68E-07;80.028;1.3;80.028;-4.57E-03
-3.27E-06;5.85E-08;-0.01788;-1.09E-05;-1.09E-03;1.76E-07;-6.58E-07;90.028;1.5;90.028;-2.39E-03
4.22E-06;-7.54E-08;-0.01788;-1.17E-05;-1.17E-03;-2.27E-07;8.49E-07;100.028;1.7;100.03;-6.59E-03
-5.96E-06;1.07E-07;-0.01788;-8.20E-06;-8.20E-04;3.21E-07;-1.20E-06;110.024;1.8;110.02;-3.27E-03
-4.00E-06;7.15E-08;-0.01788;-1.21E-05;-1.21E-03;2.15E-07;-8.05E-07;120.024;2;120.02;-7.67E-03
-3.13E-06;5.59E-08;-0.01788;-1.37E-05;-1.37E-03;1.68E-07;-6.29E-07;130.024;2.2;130.02;-7.62E-03
