171214 60 OPL 40 PDMS 45,6 FE 24 Oi, @30 degrees C 10 - 4000 Pa;;;;;;;;;;;
;;;;;;;;;;;
Overspeed @ 4000 Pa after about 30 seconds;;;;;;;;;;;
;;;;;;;;;;;
shear rate;shear stress;viscosity;strain;% strain;torque;velocity;time global;time global;time;normal force;temperature
1/s;Pa;Pa.s;;;micro N.m;rad/s;s;min;s;N;degrees C
2.95E-05;-5.26E-07;-0.01788;-2.08E-05;-2.08E-03;-1.59E-06;5.93E-06;10.012;0.2;10.012;0.0661;30
-6.76E-06;1.21E-07;-0.01788;-6.30E-05;-6.30E-03;3.64E-07;-1.36E-06;20.012;0.3;20.012;0.07272;30
-1.16E-06;2.08E-08;-0.01788;-8.96E-05;-8.96E-03;6.27E-08;-2.34E-07;30.012;0.5;30.012;0.07371;30
-1.43E-05;2.55E-07;-0.01788;-1.10E-04;-0.010947;7.68E-07;-2.87E-06;40.008;0.7;40.008;0.07488;30
2.98E-06;-5.33E-08;-0.01788;-1.28E-04;-0.012773;-1.61E-07;6.00E-07;50.012;0.8;50.012;0.0746;30
-1.09E-06;1.95E-08;-0.01788;-1.37E-04;-0.013701;5.87E-08;-2.19E-07;60.008;1;60.008;0.06962;30
-7.05E-06;1.26E-07;-0.01788;-1.54E-04;-0.015411;3.80E-07;-1.42E-06;70.008;1.2;70.008;0.07699;30
-9.53E-06;1.70E-07;-0.01788;-1.66E-04;-0.016598;5.13E-07;-1.92E-06;80.008;1.3;80.008;0.07435;30
4.80E-06;-8.58E-08;-0.01788;-1.67E-04;-0.016682;-2.58E-07;9.66E-07;90.012;1.5;90.012;0.06994;30
-3.71E-06;6.63E-08;-0.01788;-1.82E-04;-0.018165;2.00E-07;-7.46E-07;100.008;1.7;100.01;0.07458;30
-8.00E-07;1.43E-08;-0.01788;-1.92E-04;-0.019209;4.31E-08;-1.61E-07;110.008;1.8;110.01;0.07466;30
-1.19E-05;2.12E-07;-0.01788;-2.03E-04;-0.020329;6.38E-07;-2.39E-06;120.008;2;120.01;0.07006;30
-5.16E-06;9.23E-08;-0.01788;-2.08E-04;-0.020751;2.78E-07;-1.04E-06;130.008;2.2;130.01;0.07089;30
-4.44E-06;7.93E-08;-0.01788;-2.15E-04;-0.021475;2.39E-07;-8.92E-07;140.008;2.3;140.01;0.06864;30
-8.22E-06;1.47E-07;-0.01788;-2.22E-04;-0.022216;4.43E-07;-1.65E-06;150.004;2.5;150;0.06962;30
-3.35E-06;5.98E-08;-0.01788;-2.28E-04;-0.022798;1.80E-07;-6.73E-07;160.004;2.7;160;0.07408;30
3.64E-07;-6.50E-09;-0.01788;-2.34E-04;-0.023385;-1.96E-08;7.32E-08;170.004;2.8;170;0.06529;30
-2.48E-05;4.43E-07;-0.01788;-2.35E-04;-0.023522;1.34E-06;-4.99E-06;180.004;3;180;0.06897;30
-7.27E-07;1.30E-08;-0.01788;-2.56E-04;-0.025564;3.92E-08;-1.46E-07;190.004;3.2;190;0.1074;30
-4.51E-06;8.06E-08;-0.01788;-2.60E-04;-0.025974;2.43E-07;-9.07E-07;200.012;3.3;200.01;0.1016;30
4.29E-06;-7.67E-08;-0.01788;-2.62E-04;-0.026172;-2.31E-07;8.63E-07;210.008;3.5;210.01;0.1086;30
-5.60E-06;1.00E-07;-0.01787;-2.65E-04;-0.0265;3.02E-07;-1.13E-06;220.004;3.7;220;0.1033;30
2.91E-06;-5.20E-08;-0.01788;-2.73E-04;-0.02728;-1.57E-07;5.85E-07;230.004;3.8;230;0.1071;30
-3.64E-06;6.50E-08;-0.01788;-2.81E-04;-0.028059;1.96E-07;-7.32E-07;240.004;4;240;0.1018;30
2.33E-06;-4.16E-08;-0.01788;-2.80E-04;-0.028004;-1.25E-07;4.68E-07;250.004;4.2;250;0.0949;30
2.18E-07;-3.90E-09;-0.01788;-2.89E-04;-0.028847;-1.18E-08;4.39E-08;260.004;4.3;260;0.09477;30
-1.50E-05;2.68E-07;-0.01788;-2.85E-04;-0.02853;8.07E-07;-3.01E-06;270.004;4.5;270;0.1038;30
-4.80E-06;8.58E-08;-0.01788;-2.95E-04;-0.029499;2.58E-07;-9.66E-07;280;4.7;280;0.09731;30
-4.65E-06;8.32E-08;-0.01788;-2.97E-04;-0.029737;2.51E-07;-9.36E-07;290;4.8;290;0.09716;30
1.02E-06;-1.82E-08;-0.01787;-3.03E-04;-0.030275;-5.48E-08;2.05E-07;300;5;300;0.09975;30
1.16E-06;-2.08E-08;-0.01788;-3.08E-04;-0.030784;-6.27E-08;2.34E-07;310;5.2;310;0.09765;30
3.20E-06;-5.72E-08;-0.01788;-3.15E-04;-0.03154;-1.72E-07;6.44E-07;320;5.3;320;0.09808;30
-1.82E-06;3.25E-08;-0.01788;-3.14E-04;-0.031401;9.79E-08;-3.66E-07;330;5.5;330;0.09773;30
3.13E-06;-5.59E-08;-0.01788;-3.18E-04;-0.031817;-1.68E-07;6.29E-07;340;5.7;340;0.1041;30
-6.33E-06;1.13E-07;-0.01788;-3.24E-04;-0.032363;3.41E-07;-1.27E-06;350;5.8;350;0.09241;30
-3.64E-06;6.50E-08;-0.01788;-3.28E-04;-0.032805;1.96E-07;-7.32E-07;360;6;360;0.09783;30
5.82E-07;-1.04E-08;-0.01788;-3.30E-04;-0.033015;-3.13E-08;1.17E-07;370;6.2;370;0.0992;30
-5.82E-06;1.04E-07;-0.01788;-3.33E-04;-0.033335;3.13E-07;-1.17E-06;379.996;6.3;380;0.08748;30
9.38E-06;-1.68E-07;-0.01788;-3.35E-04;-0.033538;-5.05E-07;1.89E-06;390;6.5;390;0.09849;30
6.98E-06;-1.25E-07;-0.01788;-3.39E-04;-0.033922;-3.76E-07;1.40E-06;399.996;6.7;400;0.09373;30
1.02E-06;-1.82E-08;-0.01787;-3.44E-04;-0.034388;-5.48E-08;2.05E-07;410;6.8;410;0.09339;30
1.53E-06;-2.73E-08;-0.01788;-3.44E-04;-0.034402;-8.22E-08;3.07E-07;420;7;420;0.09302;30
3.35E-06;-5.98E-08;-0.01788;-3.48E-04;-0.034827;-1.80E-07;6.73E-07;429.996;7.2;430;0.09228;30
8.00E-06;-1.43E-07;-0.01788;-3.51E-04;-0.035103;-4.31E-07;1.61E-06;439.996;7.3;440;0.09963;30
-1.31E-06;2.34E-08;-0.01788;-3.54E-04;-0.035411;7.05E-08;-2.63E-07;449.996;7.5;450;0.09411;30
-1.08E-05;1.94E-07;-0.01788;-3.55E-04;-0.035542;5.83E-07;-2.18E-06;460.012;7.7;460.01;0.0868;30
1.24E-06;-2.21E-08;-0.01788;-3.60E-04;-0.035946;-6.66E-08;2.49E-07;470.012;7.8;470.01;0.09684;30
-2.76E-06;4.94E-08;-0.01788;-3.65E-04;-0.036455;1.49E-07;-5.56E-07;479.996;8;480;0.09014;30
-5.67E-06;1.01E-07;-0.01787;-3.68E-04;-0.03679;3.05E-07;-1.14E-06;490.028;8.2;490.03;0.09364;30
1.89E-06;-3.38E-08;-0.01788;-3.65E-04;-0.036502;-1.02E-07;3.80E-07;500.012;8.3;500.01;0.09174;30
-3.49E-06;6.24E-08;-0.01788;-3.71E-04;-0.037124;1.88E-07;-7.02E-07;510.008;8.5;510.01;0.08464;30
-2.18E-07;3.90E-09;-0.01788;-3.74E-04;-0.037366;1.17E-08;-4.39E-08;520.008;8.7;520.01;0.09278;30
