171011 80 OPL 20 PDMS 13,7 Fe 600 - 6000 Pa;;;;;;;;;;;
;;;;;;;;;;;
Overspeed at 6000 Pa;;;;;;;;;;;
;;;;;;;;;;;
shear rate;shear stress;viscosity;strain;% strain;torque;velocity;time global;time global;time;normal force;
1/s;Pa;Pa.s;;;micro N.m;rad/s;s;min;s;N;
-1.94E-05;3.47E-07;-0.01788;-2.78E-05;-2.78E-03;1.05E-06;-3.91E-06;10.012;0.2;10.012;8.182;
-7.27E-06;1.30E-07;-0.01788;-4.82E-05;-4.82E-03;3.92E-07;-1.46E-06;20.012;0.3;20.012;8.044;
1.16E-06;-2.08E-08;-0.01788;-5.49E-05;-5.49E-03;-6.27E-08;2.34E-07;30.012;0.5;30.012;7.899;
-1.12E-05;-2.82E-07;0.02519;-6.18E-05;-6.18E-03;-8.50E-07;-2.25E-06;40.012;0.7;40.012;7.801;
9.23E-06;1.85E-07;0.01999;-6.82E-05;-6.82E-03;5.56E-07;1.86E-06;50.012;0.8;50.012;7.702;
-3.93E-06;7.02E-08;-0.01788;-7.12E-05;-7.12E-03;2.11E-07;-7.90E-07;60.012;1;60.012;7.596;
4.87E-06;-8.71E-08;-0.01788;-7.72E-05;-7.72E-03;-2.62E-07;9.80E-07;70.012;1.2;70.012;7.556;
3.78E-06;2.12E-07;0.05603;-8.27E-05;-8.27E-03;6.38E-07;7.61E-07;80.016;1.3;80.016;7.475;
-5.96E-06;1.07E-07;-0.01788;-8.22E-05;-8.22E-03;3.21E-07;-1.20E-06;90.008;1.5;90.008;7.394;
-6.40E-06;1.14E-07;-0.01788;-8.37E-05;-8.37E-03;3.45E-07;-1.29E-06;100.008;1.7;100.01;7.279;
-2.47E-05;4.41E-07;-0.01788;-8.46E-05;-8.46E-03;1.33E-06;-4.96E-06;110.008;1.8;110.01;7.223;
-1.31E-06;2.34E-08;-0.01788;-9.10E-05;-9.10E-03;7.05E-08;-2.63E-07;120.008;2;120.01;7.165;
5.82E-06;-1.04E-07;-0.01788;-9.83E-05;-9.83E-03;-3.13E-07;1.17E-06;130.008;2.2;130.01;7.118;
-2.33E-06;4.16E-08;-0.01788;-1.02E-04;-0.01015;1.25E-07;-4.68E-07;140.008;2.3;140.01;7.075;
-6.76E-06;1.21E-07;-0.01788;-1.02E-04;-0.010214;3.64E-07;-1.36E-06;150.012;2.5;150.01;7.005;
-3.35E-06;5.98E-08;-0.01788;-1.06E-04;-0.010589;1.80E-07;-6.73E-07;160.008;2.7;160.01;6.958;
2.35E-05;-4.20E-07;-0.01788;-1.11E-04;-0.01113;-1.27E-06;4.73E-06;170.004;2.8;170;6.849;
-9.96E-06;1.78E-07;-0.01788;-1.08E-04;-0.010813;5.36E-07;-2.00E-06;180.004;3;180;6.853;
-4.07E-06;7.28E-08;-0.01788;-1.10E-04;-0.011019;2.19E-07;-8.19E-07;190.004;3.2;190;6.77;
5.89E-06;-1.05E-07;-0.01788;-1.08E-04;-0.010828;-3.17E-07;1.19E-06;200.004;3.3;200;6.77;
5.38E-06;-9.62E-08;-0.01788;-1.13E-04;-0.011255;-2.90E-07;1.08E-06;210.004;3.5;210;6.721;
5.96E-06;1.91E-07;0.03204;-1.14E-04;-0.01143;5.76E-07;1.20E-06;220.008;3.7;220.01;6.652;
-1.21E-05;2.17E-07;-0.01788;-1.09E-04;-0.0109;6.54E-07;-2.44E-06;230.004;3.8;230;6.645;
-3.49E-06;9.23E-08;-0.02644;-1.13E-04;-0.011246;2.78E-07;-7.02E-07;240.004;4;240;6.599;
-1.59E-05;2.83E-07;-0.01788;-1.18E-04;-0.011773;8.54E-07;-3.19E-06;250.008;4.2;250.01;6.546;
1.13E-05;-2.01E-07;-0.01788;-1.19E-04;-0.01193;-6.07E-07;2.27E-06;260.004;4.3;260;6.442;
3.49E-06;-6.24E-08;-0.01788;-1.23E-04;-0.01229;-1.88E-07;7.02E-07;270.004;4.5;270;6.45;
-2.92E-05;5.21E-07;-0.01788;-1.25E-04;-0.012485;1.57E-06;-5.87E-06;280.004;4.7;280;6.367;
1.29E-05;-2.31E-07;-0.01788;-1.25E-04;-0.012468;-6.97E-07;2.60E-06;290.004;4.8;290;6.32;
-2.18E-06;3.90E-08;-0.01788;-1.27E-04;-0.012671;1.17E-07;-4.39E-07;300;5;300;6.335;
-2.22E-05;3.96E-07;-0.01788;-1.30E-04;-0.012974;1.19E-06;-4.46E-06;310;5.2;310;6.336;
6.62E-06;-1.18E-07;-0.01787;-1.31E-04;-0.013108;-3.56E-07;1.33E-06;320;5.3;320;6.264;
4.36E-06;-7.80E-08;-0.01788;-1.33E-04;-0.0133;-2.35E-07;8.78E-07;330;5.5;330;6.282;
-1.89E-06;3.38E-08;-0.01788;-1.27E-04;-0.012703;1.02E-07;-3.80E-07;340;5.7;340;6.201;
9.02E-06;-1.61E-07;-0.01788;-1.31E-04;-0.013093;-4.86E-07;1.81E-06;350;5.8;350;6.183;
-7.34E-06;1.31E-07;-0.01788;-1.35E-04;-0.013512;3.96E-07;-1.48E-06;360;6;360;6.214;
-1.09E-06;1.95E-08;-0.01788;-1.40E-04;-0.01396;5.87E-08;-2.19E-07;370.008;6.2;370.01;6.163;
-3.13E-06;5.59E-08;-0.01788;-1.37E-04;-0.013698;1.68E-07;-6.29E-07;380;6.3;380;6.139;
1.24E-06;-2.21E-08;-0.01788;-1.33E-04;-0.01327;-6.66E-08;2.49E-07;390;6.5;390;6.117;
1.65E-05;-2.95E-07;-0.01788;-1.39E-04;-0.01389;-8.89E-07;3.32E-06;400;6.7;400;6.061;
-8.00E-06;1.43E-07;-0.01788;-1.38E-04;-0.013826;4.31E-07;-1.61E-06;410;6.8;410;6.054;
7.27E-08;-1.30E-09;-0.01788;-1.38E-04;-0.013817;-3.92E-09;1.46E-08;420;7;420;6.056;
1.23E-05;-2.20E-07;-0.01788;-1.42E-04;-0.014204;-6.62E-07;2.47E-06;430;7.2;430;6.058;
-5.38E-06;9.62E-08;-0.01788;-1.37E-04;-0.013663;2.90E-07;-1.08E-06;440;7.3;440;5.971;
-3.20E-06;5.72E-08;-0.01788;-1.40E-04;-0.013954;1.72E-07;-6.44E-07;450;7.5;450;6.022;
4.94E-06;-8.84E-08;-0.01788;-1.40E-04;-0.013974;-2.66E-07;9.95E-07;460;7.7;460;5.941;
-1.16E-06;2.08E-08;-0.01788;-1.43E-04;-0.014294;6.27E-08;-2.34E-07;470;7.8;470;5.971;
4.07E-06;-4.29E-08;-0.01053;-1.46E-04;-0.01464;-1.29E-07;8.19E-07;480.016;8;480.02;5.926;
4.44E-06;5.33E-08;0.01201;-1.42E-04;-0.014224;1.61E-07;8.92E-07;490.012;8.2;490.01;5.912;
