Date,Tree Type,Location,Circumference [cm],Hight [cm],Hight_Classes,Leaf Length [mm],Leaf Width [mm],Leaf-Stalk Length [mm],Weight [g],Colour,Leaf Form,Feeding Traces,Finding Place
"Tuesday, October 15, 2013",Oak,Forest,3.00,<200,A,90.00,80.00,5.00,3.00,yellow,other,no,on the tree
"Monday, October 21, 2013",Maple,Forest Edge,10.00,200-299,B,60.00,60.00,70.00,2.00,green,other,no,under the tree
"Tuesday, October 15, 2013",Hazelnut,City,10.00,<200,A,83.00,60.00,18.00,5.00,brown,rounded,yes,under the tree
"Tuesday, October 15, 2013",Shrub,City,10.00,<200,A,40.00,200.00,50.00,2.00,green,rounded,no,on the tree
"Tuesday, October 15, 2013",Shrub,City,10.00,<200,A,70.00,250.00,100.00,3.00,green,rounded,no,on the tree
"Tuesday, October 15, 2013",Shrub,City,10.00,<200,A,40.00,250.00,100.00,2.00,green,rounded,no,on the tree
"Monday, October 14, 2013",Hazelnut,Forest Edge,15.00,<200,A,85.00,65.00,20.00,6.00,yellow,rounded,no,on the tree
"Sunday, October 20, 2013",Rowan,Forest Edge,15.00,<200,A,50.00,10.00,10.00,0.30,green,other,no,on the tree
"Thursday, October 10, 2013",Wild Wine,Suburbs,15.00,>500,D,140.00,170.00,50.00,7.00,green,other,yes,on the tree
"Thursday, October 17, 2013",Sorbet,Suburbs,16.00,200 - 299,B,100.00,42.00,10.00,0.50,green,other,no,on the tree
"Thursday, October 17, 2013",Sorbet,Suburbs,16.00,200 - 299,B,95.00,34.00,5.00,0.50,green,other,no,on the tree
"Monday, October 21, 2013",Elm,Forest Edge,16.00,300-500,C,40.00,30.00,7.00,2.00,green,rounded,yes,on the tree
"Monday, October 14, 2013",Pear,Suburbs,18.50,300 - 500,C,45.00,38.00,17.00,0.50,green,rounded,no,on the tree
"Tuesday, October 15, 2013",Beech,City,20.00,<200,A,75.00,450.00,100.00,4.00,brown,rounded,no,under the tree
"Tuesday, October 15, 2013",Beech,City,20.00,<200,A,70.00,500.00,100.00,5.00,yellow,rounded,no,on the tree
"Tuesday, October 15, 2013",Beech,City,20.00,<200,A,70.00,450.00,100.00,4.00,brown,rounded,no,under the tree
"Friday, October 11, 2013",Ash,Forest Edge,20.00,<200,A,40.00,20.00,80.00,1.00,brown,digitate,yes,under the tree
"Sunday, October 20, 2013",Dogrose,Suburbs,20.00,<200,A,40.00,30.00,10.00,0.20,green,other,no,on the tree
"Monday, October 21, 2013",Plum,Forest Edge,20.00,300-500,C,40.00,30.00,10.00,2.00,green,rounded,yes,on the tree
"Monday, October 21, 2013",Hazelnut,Forest Edge,25.00,200-299,B,142.00,150.00,10.00,1.20,green,rounded,yes,on the tree
"Sunday, October 20, 2013",Alder,Forest Edge,26.00,300-500,C,130.00,78.00,30.00,2.20,brown,rounded,no,on the tree
"Sunday, October 20, 2013",Appletree,Suburbs,28.00,200-299,B,80.00,70.00,50.00,1.60,yellow,other,yes,under the tree
"Sunday, October 13, 2013",Peach,Suburbs,28.00,300-500,C,140.00,50.00,10.00,2.00,brown,other,no,on the tree
"Sunday, October 13, 2013",Sorb,Suburbs,28.00,200-299,B,85.00,60.00,15.00,1.00,green,pinnate,yes,on the tree
"Sunday, October 13, 2013",Appletree,Meadow Orchard,30.00,300-500,C,80.00,50.00,20.00,1.00,yellow,other,yes,under the tree
"Monday, October 21, 2013",Beech,Suburbs,30.00,>500,D,69.00,50.00,20.00,1.00,green,rounded,no,on the tree
"Monday, October 14, 2013",Sorb,City,30.00,300-500,C,200.00,1.00,30.00,2.00,green,other,no,on the tree
"Thursday, October 10, 2013",Yew,Suburbs,30.00,200-299,B,20.00,2.00,0.00,1.00,green,other,no,on the tree
"Monday, October 14, 2013",Oak,Forest Edge,30.00,200-299,B,100.00,90.00,10.00,5.00,brown,other,yes,under the tree
"Tuesday, October 15, 2013",Ash,Forest Edge,30.00,200-299,B,30.00,30.00,20.00,4.00,green,pinnate,no,under the tree
"Tuesday, October 15, 2013",Weeping Birch,Forest Edge,30.00,<200,A,60.00,40.00,10.00,3.00,yellow,rounded,no,on the tree
"Monday, October 14, 2013",Hazelnut,Forest,30.00,300-500,C,80.00,60.00,10.00,1.00,green,rounded,no,on the tree
"Thursday, October 17, 2013",Hazelnut,Forest Edge,30.00,<200,A,68.00,57.00,12.00,2.00,yellow,rounded,yes,under the tree
"Saturday, October 19, 2013",Chestnut,Suburbs,30.00,200-299,B,140.00,70.00,160.00,4.00,yellow,pinnate,no,on the tree
"Sunday, October 20, 2013",Limetree,Suburbs,30.00,>500,D,50.00,53.00,48.00,0.70,green,other,no,under the tree
"Monday, October 14, 2013",Laurel,City,30.00,300-500,C,70.00,30.00,10.00,1.00,green,other,no,on the tree
"Friday, October 11, 2013",Rowan,Forest,30.00,<200,A,30.00,20.00,10.00,0.60,brown,pinnate,no,under the tree
"Sunday, October 20, 2013",Limetree,Suburbs,32.00,>500,D,50.00,51.00,48.00,0.80,green,rounded,yes,under the tree
"Sunday, October 13, 2013",Beech,Forest,32.20,300-500,C,80.00,57.00,10.00,1.50,green,other,no,on the tree
"Thursday, October 17, 2013",Appletree,Suburbs,33.00,200 - 299,B,115.00,70.00,35.00,0.50,green,rounded,yes,on the tree
"Sunday, October 20, 2013",Beech,Forest Edge,34.00,200 - 299,B,55.00,32.00,21.00,2.00,green,pinnate,yes,on the tree
"Thursday, October 17, 2013",Appletree,Meadow Orchard,35.00,200-299,B,70.00,39.00,16.00,4.00,green,rounded,no,on the tree
"Tuesday, October 22, 2013",Beech,Forest,35.00,<200,A,130.00,80.00,15.00,3.00,green,rounded,no,under the tree
"Monday, October 14, 2013",Yew,City,35.00,300-500,C,15.00,1.00,0.00,0.20,green,other,no,on the tree
"Saturday, October 12, 2013",Oak,Forest Edge,35.00,200-299,B,105.00,65.00,5.00,6.00,green,lobed,no,on the tree
"Monday, October 14, 2013",Gingko,City,35.00,>500,D,30.00,60.00,30.00,0.50,green,pinnate,no,under the tree
"Friday, October 18, 2013",Hazelnut,Meadow Orchard,35.00,200-299,B,71.00,62.00,14.00,2.10,yellow,rounded,no,under the tree
"Monday, October 21, 2013",Chestnut,Forest Edge,35.00,200-299,B,120.00,180.00,100.00,10.00,brown,digitate,yes,under the tree
"Monday, October 14, 2013",Maple,Suburbs,37.00,200 - 299,B,145.00,175.00,60.00,5.00,green,digitate,yes,under the tree
"Wednesday, October 16, 2013",Oak,Botanical Garden,37.00,300-500,C,180.00,120.00,20.00,3.00,brown,other,yes,on the tree
"Sunday, October 20, 2013",Maple,Suburbs,40.00,200-299,B,60.00,45.00,25.00,0.20,yellow,digitate,yes,under the tree
"Monday, October 14, 2013",Birch,Forest Edge,40.00,200-299,B,50.00,30.00,10.00,2.00,green,rounded,no,on the tree
"Thursday, October 17, 2013",Sorb,City,40.00,>500,D,200.00,90.00,30.00,1.30,yellow,pinnate,no,on the tree
"Monday, October 21, 2013",Oak,Forest Edge,40.00,>500,D,70.00,40.00,5.00,1.00,green,other,no,on the tree
"Sunday, October 20, 2013",Ash,Suburbs,40.00,>500,D,100.00,25.00,70.00,0.80,green,other,no,on the tree
"Saturday, October 12, 2013",Ginkgo,City,40.00,200-299,B,17.00,36.00,10.00,1.00,green,digitate,no,on the tree
"Thursday, October 10, 2013",Hazelnut,City,40.00,300-500,C,123.00,121.00,31.00,2.00,green,rounded,no,under the tree
"Thursday, October 10, 2013",Elder,City,40.00,300-500,C,69.00,31.00,3.00,0.50,green,rounded,no,on the tree
"Thursday, October 10, 2013",Elder,City,40.00,>500,D,44.00,31.00,5.00,0.50,green,rounded,yes,under the tree
"Friday, October 18, 2013",Appletree,Meadow Orchard,41.00,200-299,B,73.00,43.00,18.00,3.70,green,rounded,no,on the tree
"Monday, October 21, 2013",Maple,Suburbs,42.00,300-500,C,80.00,91.00,53.00,2.00,brown,digitate,yes,on the tree
"Sunday, October 13, 2013",Fig,Meadow Orchard,42.00,200-299,B,150.00,120.00,60.00,5.00,green,other,no,on the tree
"Thursday, October 17, 2013",Elder,Meadow Orchard,42.00,200-299,B,73.00,56.00,34.00,3.40,green,pinnate,yes,on the tree
"Friday, October 11, 2013",Birch,City,45.00,<200,A,15.00,15.00,5.00,1.00,yellow,rounded,no,under the tree
"Saturday, October 12, 2013",Ginkgo,City,45.00,200-299,B,15.00,35.00,10.00,1.50,green,digitate,no,under the tree
"Saturday, October 19, 2013",Plum,Meadow Orchard,45.00,<200,A,55.00,35.00,10.00,1.50,guen,pinnate,no,under the tree
"Sunday, October 13, 2013",Maple,Forest Edge,48.00,>500,D,160.00,17.80,148.00,5.00,green,other,no,on the tree
"Friday, October 18, 2013",Elder,Meadow Orchard,48.00,200-299,B,78.00,61.00,36.00,3.00,green,pinnate,yes,on the tree
"Sunday, October 13, 2013",Rowan,Forest Edge,49.20,>500,D,310.00,246.00,89.00,9.00,green,pinnate,yes,under the tree
"Tuesday, October 15, 2013",Maple,Forest Edge,50.00,300-500,C,130.00,150.00,30.00,7.00,brown,other,yes,under the tree
