Depth Magnetic Susceptibility  (cm),Magnetic Susceptibility (SI x 10^-5),Depth Density (cm),Density (g/cm^3)
0,,0,1.3486
0.2,3.70,0.5,1.3636
0.4,6.20,1,1.3416
0.6,7.50,1.5,1.3324
0.8,7.80,2,1.3779
1,7.50,2.5,1.3908
1.2,7.50,3,1.3718
1.4,7.90,3.5,1.3256
1.6,8.60,4,1.3059
1.8,9.00,4.5,1.2966
2,9.00,5,1.2846
2.2,9.30,5.5,1.2776
2.4,8.90,6,1.2494
2.6,8.60,6.5,1.2187
2.8,9.30,7,1.247
3,9.80,7.5,1.2436
3.2,10.10,8,1.2346
3.4,9.70,8.5,1.2587
3.6,8.50,9,1.3074
3.8,8.00,9.5,1.2957
4,8.60,10,1.2621
4.2,8.90,10.5,1.2507
4.4,8.70,11,1.2754
4.6,8.50,11.5,1.3142
4.8,8.20,12,1.3214
5,8.20,12.5,1.297
5.2,8.30,13,1.2957
5.4,8.50,13.5,1.2573
5.6,8.50,14,1.238
5.8,8.20,14.5,1.2702
6,7.80,15,1.2643
6.2,7.50,15.5,1.2999
6.4,7.30,16,1.2783
6.6,7.10,16.5,1.159
6.8,7.20,17,1.0592
7,7.20,17.5,1.0904
7.2,7.00,18,1.1992
7.4,6.80,18.5,1.2566
7.6,6.90,19,1.2952
7.8,7.10,19.5,1.2909
8,7.00,20,1.2633
8.2,6.60,20.5,1.2674
8.4,6.40,21,1.2175
8.6,6.20,21.5,1.2335
8.8,6.20,22,1.2602
9,6.00,22.5,1.2851
9.2,5.60,23,1.3186
9.4,5.40,23.5,1.3184
9.6,5.30,24,1.3222
9.8,5.30,24.5,1.3107
10,5.40,25,1.3077
10.2,5.40,25.5,1.3012
10.4,5.50,26,1.2857
10.6,5.60,26.5,1.2283
10.8,5.70,27,1.0845
11,5.80,27.5,1.1206
11.2,5.80,28,1.222
11.4,6.20,28.5,1.2405
11.6,5.70,29,1.1913
11.8,5.50,29.5,1.2374
12,5.40,30,1.2891
12.2,5.30,30.5,1.2547
12.4,5.20,31,1.2136
12.6,5.20,31.5,1.25
12.8,5.00,32,1.2543
13,5.00,32.5,1.2557
13.2,5.10,33,1.2444
13.4,5.10,33.5,1.2552
13.6,5.00,34,1.191
13.8,5.00,34.5,1.2458
14,5.00,35,1.2347
14.2,5.00,35.5,1.2405
14.4,4.80,36,1.2354
14.6,4.60,36.5,1.2635
14.8,4.70,37,1.2797
15,4.80,37.5,1.2731
15.2,5.20,38,1.2524
15.4,5.50,38.5,1.2037
15.6,5.50,39,1.1453
15.8,5.30,39.5,
16,5.20,40,
16.2,5.20,40.5,
16.4,5.50,41,1.1574
16.6,5.50,41.5,
16.8,5.60,42,
17,5.60,42.5,1.1248
17.2,5.60,43,1.2458
17.4,5.60,43.5,1.2672
17.6,5.50,44,1.3111
17.8,5.40,44.5,1.2839
18,5.30,45,1.3129
18.2,5.30,45.5,1.3063
18.4,5.20,46,1.2936
18.6,5.10,46.5,1.244
18.8,5.20,47,1.1901
19,5.10,47.5,1.1731
19.2,5.10,48,1.2692
19.4,5.00,48.5,1.2302
19.6,5.20,49,1.2592
19.8,5.60,49.5,1.3357
20,5.40,50,1.2821
20.2,5.20,50.5,1.2379
20.4,5.10,51,1.2251
20.6,5.00,51.5,1.153
20.8,5.00,52,
21,5.00,52.5,
21.2,4.80,53,1.0555
21.4,4.80,53.5,1.3201
21.6,4.60,54,1.3284
21.8,4.50,54.5,1.3236
22,4.50,55,1.3054
22.2,4.50,55.5,
22.4,4.50,56,
22.6,4.40,56.5,
22.8,4.50,57,
23,4.50,57.5,1.1612
23.2,4.70,58,1.2918
23.4,4.40,58.5,1.3327
23.6,4.30,59,1.3445
23.8,4.10,59.5,1.3037
