TEST dataset
Polarized FTIR absorbance spectra of detrital quartz grains
Two measurements per grain (parallel and perpendicular to c-axis). x and y used as generic suffix for distinction of spectra.

wavenumber [cm-1]	1x	1y	2x	2y	3x	3y	4x	4y	5x	5y	6x	6y	7x	7y	8x	8y	9x	9y	10x	10y	11x	11y	12x	12y	13x	13y	14x	14y	16x	16y	17x	17y	18x	18y	19x	19y	20x	20y
5000.41526	0.11319	0.11348	0.07701	0.14821	0.14297	0.15752	0.15331	0.10423	0.14851	0.11004	0.08276	0.14815	0.1819	0.18856	0.1322	0.20414	0.15667	0.11557	0.06868	0.12378	0.25978	0.19984	0.11992	0.06324	0.13118	0.17172	0.1309	0.21871	1.10027	1.21513	0.1574	0.0895	0.09385	0.0853	0.07515	0.05456	0.20169	0.19738
4998.48684	0.11272	0.11336	0.07696	0.1479	0.14365	0.15797	0.15345	0.10441	0.1482	0.10976	0.08276	0.14806	0.18149	0.18839	0.1322	0.204	0.15661	0.11532	0.0687	0.1238	0.26007	0.20014	0.12034	0.06357	0.13109	0.17159	0.13096	0.21889	1.10048	1.21577	0.15753	0.0896	0.09419	0.0855	0.07539	0.05471	0.20145	0.19739
4996.55841	0.11237	0.11344	0.07677	0.1476	0.14392	0.15814	0.15319	0.10425	0.14795	0.10966	0.08277	0.14785	0.18148	0.18844	0.1322	0.20396	0.15652	0.11523	0.06873	0.12377	0.25982	0.20041	0.12058	0.06366	0.13095	0.17123	0.1307	0.21874	1.10042	1.21698	0.15741	0.08949	0.09463	0.08597	0.07556	0.05511	0.20142	0.19751
4994.62998	0.11241	0.11359	0.07682	0.14779	0.14356	0.15772	0.15276	0.10401	0.1482	0.10996	0.08269	0.14787	0.18172	0.18869	0.13217	0.20419	0.15651	0.11542	0.0689	0.12364	0.25938	0.20033	0.1203	0.06349	0.13095	0.17115	0.13065	0.21854	1.10064	1.21767	0.15723	0.08944	0.09475	0.08619	0.07554	0.05527	0.20144	0.19764
4992.70155	0.11276	0.11354	0.077	0.14831	0.1435	0.15744	0.15274	0.10375	0.14855	0.11009	0.08251	0.14794	0.18174	0.18875	0.13197	0.20429	0.15635	0.11543	0.06888	0.12327	0.25945	0.20007	0.1197	0.06338	0.13111	0.17144	0.13097	0.21867	1.10114	1.2177	0.15715	0.08966	0.09461	0.08601	0.07536	0.05512	0.20133	0.19755
4990.77312	0.11311	0.1133	0.07702	0.14866	0.14362	0.1576	0.1528	0.10364	0.14845	0.10998	0.08239	0.14789	0.18162	0.18858	0.13181	0.20418	0.15608	0.11515	0.06858	0.12329	0.25968	0.19983	0.11944	0.0633	0.1312	0.17174	0.13119	0.21903	1.10161	1.21676	0.15714	0.08982	0.09456	0.08596	0.07541	0.05518	0.20112	0.19725
4988.84469	0.11335	0.11335	0.07702	0.14876	0.14357	0.15793	0.15262	0.10382	0.14823	0.11012	0.08244	0.14794	0.18168	0.18866	0.13175	0.20426	0.15608	0.11504	0.06863	0.12407	0.25977	0.19962	0.11961	0.06318	0.13113	0.17185	0.13117	0.21926	1.10254	1.21592	0.15726	0.08965	0.09457	0.08614	0.07565	0.05531	0.20096	0.197
4986.91626	0.11348	0.11373	0.07718	0.14865	0.1436	0.15811	0.15257	0.10401	0.14822	0.11057	0.08257	0.1481	0.18173	0.189	0.13163	0.20444	0.15641	0.11518	0.06915	0.12483	0.26003	0.19971	0.11984	0.06313	0.13095	0.17185	0.13102	0.2193	1.10345	1.21701	0.1575	0.08948	0.09425	0.08612	0.07558	0.05495	0.20089	0.19684
4984.98784	0.11349	0.11379	0.07718	0.14827	0.14363	0.15818	0.15259	0.10399	0.14808	0.11084	0.08256	0.14815	0.18154	0.18903	0.13146	0.20437	0.15669	0.11521	0.06938	0.12479	0.26021	0.2	0.11989	0.06317	0.13087	0.17178	0.13081	0.21926	1.10327	1.2185	0.15761	0.08957	0.09379	0.08575	0.07522	0.05436	0.20088	0.19669
4983.05941	0.11333	0.11342	0.07689	0.1478	0.14374	0.15831	0.15229	0.10372	0.14788	0.11065	0.08243	0.14815	0.18149	0.18888	0.13145	0.20416	0.15655	0.11505	0.06911	0.12429	0.2597	0.20008	0.11986	0.06324	0.13098	0.17171	0.13057	0.21918	1.10205	1.21766	0.1576	0.08973	0.09378	0.08539	0.07498	0.05429	0.20086	0.19658
