;SAV20-74;;;;;;;;;;SAV20-42;;;;;;;;;;SAV11-84;;;;;;;;;;SAV11-44;;;;;;;;;;SAV11-8;;;;;;;;;;SA7CC-320;;;;;;;;;;SA7CC-247;;;;;;;;;;SA7CC-136;;;;;;;;;;SA7CC-065;;;;;;;;;;SA7CC-023;;;;;;;;;;SA7CC-006;;;;;;;;;;HTW-47834;;;;;;;;;;HTW-48050;;;;;;;;;;PK3;;;;;;;;
age [Ma];T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km];;T_mean;T Lo [°C];T Hi [°C];z (t, T_mean) [km];z (TLo) [km];z (THi) [km];TG [°C/km];TG_min [°C/km];TG_max [°C/km]
0;20,0021629;18,01188698;21,99243882;0,298780116;0,269050588;0,328509645;66,94609785;60,28475793;73,60743778;;20,0021629;18,01188698;21,99243882;0,298780116;0,269050588;0,328509645;66,94609785;60,28475793;73,60743778;;20,0021629;18,01188698;21,99243882;0,298780116;0,269050588;0,328509645;66,94609785;60,28475793;73,60743778;;20,0021629;18,01188698;21,99243882;0,298780116;0,269050588;0,328509645;66,94609785;60,28475793;73,60743778;;20,0021629;18,01188698;21,99243882;0,298780116;0,269050588;0,328509645;66,94609785;60,28475793;73,60743778;;22,5;20;25;0,321100471;0,285422641;0,356778302;70,0715259;62,2858008;77,857251;;22,5;20;25;0,321100471;0,285422641;0,356778302;70,0715259;62,2858008;77,857251;;20,0241851;18,05403964;21,99433056;0,321100471;0,289507943;0,352693;62,36112022;56,22551583;68,4967246;;20,0241851;18,05403964;21,99433056;0,321100471;0,289507943;0,352693;62,36112022;56,22551583;68,4967246;;20,0241851;18,05403964;21,99433056;0,280164495;0,252599588;0,307729402;71,53696588;64,49856568;78,57536609;;20,0241851;18,05403964;21,99433056;0,280164495;0,252599588;0,307729402;71,53696588;64,49856568;78,57536609;;19,99532469;18,009145;21,98150438;0,2797607;0,251971453;0,307549947;71,43386126;64,33817832;78,5295442;;19,98137843;18,08305364;21,87970322;0,279565574;0,253005531;0,306125616;71,38403784;64,60221901;78,16585667;;22,5;20;25;0,301247371;0,267775441;0,334719301;74,68944849;66,39062088;82,98827609
0,1;20,0021629;18,01188698;21,99243882;0,216750599;0,195183257;0,238317942;63,09013912;56,8124788;69,36779944;;57,02214093;18,56717975;95,47710211;0,617912336;0,201200608;1,034624065;179,8572895;58,56396426;301,1506148;;20,0021629;18,01188698;21,99243882;0,216750599;0,195183257;0,238317942;63,09013912;56,8124788;69,36779944;;20,0021629;18,01188698;21,99243882;0,216750599;0,195183257;0,238317942;63,09013912;56,8124788;69,36779944;;20,0021629;18,01188698;21,99243882;0,317041033;0,285494488;0,348587578;63,09013912;56,8124788;69,36779944;;23,03081083;20,2764977;25,78512397;0,318698672;0,280584689;0,356812655;72,26516102;63,62278696;80,90753509;;23,03081083;20,2764977;25,78512397;0,318698672;0,280584689;0,356812655;72,26516102;63,62278696;80,90753509;;20,0241851;18,05403964;21,99433056;0,318698672;0,287342452;0,350054891;62,83109054;56,64924658;69,01293451;;20,0241851;18,05403964;21,99433056;0,318698672;0,287342452;0,350054891;62,83109054;56,64924658;69,01293451;;20,0241851;18,05403964;21,99433056;0,399884172;0,36054025;0,439228095;50,11980794;45,18860542;55,05101047;;20,0241851;18,05403964;21,99433056;0,399884172;0,36054025;0,439228095;50,11980794;45,18860542;55,05101047;;19,99532469;18,009145;21,98150438;0,399307828;0,359643701;0,438971955;50,04757139;45,07623578;55,018907;;19,98137843;18,08305364;21,87970322;0,399029321;0,361119661;0,43693898;50,0126644;45,26122641;54,76410239;;22,635;20,04;25,23;0,308822608;0,273417498;0,344227718;73,29450443;64,89162221;81,69738664
0,2;57,39667475;19,30042391;95,49292559;0,338775743;0,113918018;0,563633468;170,1176019;57,2043911;283,0308126;;57,20940784;18,93380183;95,48501385;0,337670427;0,111754083;0,56358677;169,5625628;56,11776248;283,0073631;;57,02214093;18,56717975;95,47710211;0,33656511;0,109590149;0,563540072;169,0075237;55,03113387;282,9839135;;57,02214093;18,56717975;95,47710211;0,33656511;0,109590149;0,563540072;169,0075237;55,03113387;282,9839135;;57,20940784;18,93380183;95,48501385;0,337394097;0,111662631;0,563125564;169,5625628;56,11776248;283,0073631;;23,56162166;20,55299539;26,57024793;0,319615015;0,278802793;0,360427237;73,71875714;64,30547512;83,13203915;;23,56162166;20,55299539;26,57024793;0,319615015;0,278802793;0,360427237;73,71875714;64,30547512;83,13203915;;22,74603438;19,09760303;26,39446573;0,319615015;0,268349224;0,370880806;71,16697688;59,75189568;82,58205808;;22,74603438;19,09760303;26,39446573;0,319615015;0,268349224;0,370880806;71,16697688;59,75189568;82,58205808;;22,74603438;19,09760303;26,39446573;0,429308717;0,360448213;0,49816922;44,03051257;36,9680814;51,09294375;;22,74603438;19,09760303;26,39446573;0,429308717;0,360448213;0,49816922;44,03051257;36,9680814;51,09294375;;41,62415772;20,24597027;63,00234517;0,78561447;0,3821225;1,18910644;80,57373736;39,19102706;121,9564477;;22,3670853;20,36071106;24,37345953;0,422156431;0,384288118;0,460024744;43,29696395;39,41313591;47,18079199;;22,77;20,08;25,46;0,316626756;0,279221136;0,354032376;71,91432674;63,41851915;80,41013434
0,3;57,39667475;19,30042391;95,49292559;0,361288296;0,121488175;0,601088417;159,2563892;53,55215847;264,96062;;57,58394166;19,66704599;95,50083733;0,362467063;0,123795909;0,601138218;159,7759917;54,56941094;264,9825724;;57,02214093;18,56717975;95,47710211;0,358930761;0,116872707;0,600988814;158,2171844;51,51765354;264,9167152;;57,02214093;18,56717975;95,47710211;0,358930761;0,116872707;0,600988814;158,2171844;51,51765354;264,9167152;;57,20940784;18,93380183;95,48501385;0,36040422;0,119277971;0,601530469;158,7367868;52,53490601;264,9386676;;24,09243249;20,82949309;27,3553719;0,323700435;0,279860325;0,367540546;74,42817452;64,34805398;84,50829505;;24,09243249;20,82949309;27,3553719;0,323700435;0,279860325;0,367540546;74,42817452;64,34805398;84,50829505;;25,78593613;19,57038201;32,00149025;0,323700435;0,245674275;0,401726595;79,65987473;60,45831229;98,86143717;;25,78593613;19,57038201;32,00149025;0,323700435;0,245674275;0,401726595;79,65987473;60,45831229;98,86143717;;25,78593613;19,57038201;32,00149025;0,564790305;0,428650795;0,700929815;40,89671349;31,03879191;50,75463506;;22,74603438;19,09760303;26,39446573;0,498207225;0,4182955;0,578118951;36,07540351;30,28896044;41,86184659;;42,43810744;21,17405339;63,70216149;0,929523424;0,463776068;1,39527078;67,30719847;33,58222832;101,0321686;;24,17626639;21,08194467;27,27058811;0,529533649;0,461758607;0,597308692;38,34376361;33,43614311;43,25138412;;22,905;20,12;25,69;0,324655881;0,285181241;0,364130521;70,55162506;61,97331134;79,12993878
0,4;59,72068606;23,66624675;95,77512537;0,394536381;0,156347757;0,632725004;154,5304044;61,2376535;247,8231552;;59,48203822;23,20464053;95,75943592;0,392959787;0,15329822;0,632621354;153,9128906;60,04322322;247,7825579;;57,39667475;19,30042391;95,49292559;0,379183124;0,127505558;0,63086069;148,5169033;49,94085814;247,0929485;;57,39667475;19,30042391;95,49292559;0,379183124;0,127505558;0,63086069;148,5169033;49,94085814;247,0929485;;59,48203822;23,20464053;95,75943592;0,386465604;0,150764763;0,622166445;153,9128906;60,04322322;247,7825579;;24,62324333;21,10599078;28,14049587;0,330810065;0,283556236;0,378063895;74,43317455;63,80093294;85,06541617;;24,62324333;21,10599078;28,14049587;0,330810065;0,283556236;0,378063895;74,43317455;63,80093294;85,06541617;;28,99048879;20,01753048;37,96344709;0,330810065;0,228419762;0,433200368;87,634845;60,51064518;114,7590448;;28,99048879;20,01753048;37,96344709;0,330810065;0,228419762;0,433200368;87,634845;60,51064518;114,7590448;;28,99048879;20,01753048;37,96344709;0,678185469;0,468277662;0,888093277;39,13618963;27,02299621;51,24938305;;28,99048879;20,01753048;37,96344709;0,678185469;0,468277662;0,888093277;39,13618963;27,02299621;51,24938305;;42,43810744;21,17405339;63,70216149;0,992770699;0,49533264;1,490208758;57,29002476;28,58426344;85,99578609;;26,24224574;21,80317827;30,68131321;0,61389478;0,510049996;0,717739565;35,4261535;29,43356098;41,41874601;;23,04;20,16;25,92;0,332906081;0,291292821;0,374519341;69,20870879;60,55762019;77,85979739
0,5;59,72068606;23,66624675;95,77512537;0,423297206;0,167745161;0,67884925;143,6188415;56,91359503;230,324088;;60,15335656;24,12785297;96,17886015;0,426363952;0,171017003;0,681710902;144,6593459;58,02368526;231,2950066;;57,39667475;19,30042391;95,49292559;0,406824731;0,13680043;0,676849032;138,0299604;46,41447889;229,645442;;57,39667475;19,30042391;95,49292559;0,406824731;0,13680043;0,676849032;138,0299604;46,41447889;229,645442;;59,48203822;23,20464053;95,75943592;0,415827655;0,162219244;0,669436066;143,0449311;55,80350479;230,2863574;;25,15405416;21,38248848;28,92561983;0,34080315;0,289703575;0,391902724;73,80816219;62,74146377;84,8748606;;25,15405416;21,38248848;28,92561983;0,34080315;0,289703575;0,391902724;73,80816219;62,74146377;84,8748606;;32,44692719;20,46467894;44,42917544;0,34080315;0,214948769;0,466657531;95,20723975;60,04838556;130,3660939;;32,44692719;20,46467894;44,42917544;0,34080315;0,214948769;0,466657531;95,20723975;60,04838556;130,3660939;;32,44692719;20,46467894;44,42917544;0,823571525;0,519436763;1,127706286;38,31238873;24,1640982;52,46067927;;28,99048879;20,01753048;37,96344709;0,73583982;0,508087191;0,963592448;34,23112671;23,63611828;44,82613513;;43,71911188;22,1021365;65,33608727;1,109683374;0,560998894;1,658367854;51,62225685;26,0975605;77,14695321;;28,30822509;22,52441188;34,09203831;0,718522527;0,571717134;0,865327919;33,42552956;26,596171;40,25488813;;23,175;20,2;26,15;0,341373486;0,297551;0,385195972;67,8875219;59,17272674;76,60231705
0,6;70,66945622;44,31961319;97,01929925;0,505519523;0,317031302;0,694007743;157,5269286;98,79137208;216,2624852;;63,12417965;29,23187675;97,01648256;0,451545928;0,20910426;0,693987595;140,7080042;65,15980182;216,2562066;;59,48203822;23,20464053;95,75943592;0,425492613;0,165989657;0,684995568;132,5894282;51,72469053;213,4541659;;57,58394166;19,66704599;95,50083733;0,411914967;0,140684197;0,683145736;128,3584444;43,83915649;212,8777324;;60,15335656;24,12785297;96,17886015;0,448618257;0,179943331;0,717293184;134,0858415;53,78259259;214,3890904;;25,68486499;21,65898618;29,7107438;0,353542965;0,298128185;0,408957744;72,64991115;61,26267053;84,03715178;;25,68486499;21,65898618;29,7107438;0,353542965;0,298128185;0,408957744;72,64991115;61,26267053;84,03715178;;35,9033656;20,91182741;50,89490379;0,353542965;0,205920234;0,501165695;101,5530478;59,14932409;143,9567714;;35,9033656;20,91182741;50,89490379;0,353542965;0,205920234;0,501165695;101,5530478;59,14932409;143,9567714;;35,9033656;20,91182741;50,89490379;0,929967244;0,541657145;1,318277343;37,84875869;22,04491685;53,65260052;;35,9033656;20,91182741;50,89490379;0,929967244;0,541657145;1,318277343;37,84875869;22,04491685;53,65260052;;44,31009074;23,03021961;65,58996188;1,147717833;0,596527637;1,698908029;46,71099503;24,27809232;69,14389774;;30,37420445;23,24564548;37,50276341;0,786751178;0,602107588;0,971394769;32,02000468;24,50519086;39,53481849;;23,31;20,24;26,38;0,35005426;0,303951018;0,396157502;66,58967669;57,81960773;75,35974565
0,7;70,66945622;44,31961319;97,01929925;0,53040974;0,332640942;0,728178538;145,7509077;91,40616321;200,0956521;;70,66945622;44,31961319;97,01929925;0,53040974;0,332640942;0,728178538;145,7509077;91,40616321;200,0956521;;59,48203822;23,20464053;95,75943592;0,446442553;0,174162474;0,718722631;122,6776252;47,85797995;197,4972704;;57,58394166;19,66704599;95,50083733;0,432196385;0,147611052;0,716781719;118,7629311;40,56193378;196,9639285;;60,15335656;24,12785297;96,17886015;0,484864605;0,194481947;0,775247263;124,0621732;49,7620423;198,3623041;;26,21567582;21,93548387;30,49586777;0,368896734;0,308667547;0,429125921;71,06507973;59,4623965;82,66776296;;26,21567582;21,93548387;30,49586777;0,368896734;0,308667547;0,429125921;71,06507973;59,4623965;82,66776296;;38,5307413;21,31493067;55,74655193;0,368896734;0,204071036;0,533722432;104,4485834;57,78020974;151,1169571;;38,5307413;21,31493067;55,74655193;0,368896734;0,204071036;0,533722432;104,4485834;57,78020974;151,1169571;;38,5307413;21,31493067;55,74655193;1,065897324;0,58964678;1,542147867;36,85126676;20,38585736;53,31667616;;35,9033656;20,91182741;50,89490379;0,993214769;0,578495511;1,407934027;34,33841288;20,00032453;48,67650123;;44,31009074;23,03021961;65,58996188;1,225774681;0,637097772;1,814451591;42,37870643;22,02638043;62,73103243;;32,4401838;23,96687909;40,91348851;0,897410845;0,663009104;1,131812585;31,02618394;22,92221289;39,13015499;;23,445;20,28;26,61;0,358944599;0,310488226;0,407400972;65,31648633;56,49896962;74,13400304
0,8;91,93599124;86,54243825;97,32954424;0,6482038;0,610176021;0,686231578;175,2791816;164,9961842;185,5621789;;85,76000936;74,49508607;97,02493264;0,604659428;0,525234973;0,684083884;163,5044562;142,0274861;184,9814263;;60,15335656;24,12785297;96,17886015;0,42411719;0,170115814;0,678118567;114,6844774;46,00059524;183,3683595;;59,72068606;23,66624675;95,77512537;0,421066604;0,166861214;0,675271994;113,8595759;45,12052685;182,598625;;78,21473279;59,40734963;97,02211595;0,524511756;0,398388541;0,650634971;149,1191226;113,2621891;184,9760561;;26,74648665;22,21198157;31,28099174;0,386735548;0,321169767;0,45230133;69,15962797;57,43454838;80,88470755;;26,74648665;22,21198157;31,28099174;0,386735548;0,321169767;0,45230133;69,15962797;57,43454838;80,88470755;;38,75679726;21,55543186;55,95816266;0,386735548;0,215091348;0,558379749;100,2152438;55,73687743;144,6936101;;38,75679726;21,55543186;55,95816266;0,386735548;0,215091348;0,558379749;100,2152438;55,73687743;144,6936101;;38,75679726;21,55543186;55,95816266;1,138884221;0,633415116;1,644353326;34,06837128;18,94786225;49,18888031;;38,75679726;21,55543186;55,95816266;1,138884221;0,633415116;1,644353326;34,06837128;18,94786225;49,18888031;;44,90106961;23,95830272;65,84383649;1,319436158;0,704024451;1,934847865;39,46936843;21,06005682;57,87868005;;32,4401838;23,96687909;40,91348851;0,95326797;0,704276472;1,202259469;28,51588119;21,0675957;35,96416669;;23,58;20,32;26,84;0,368040732;0,317158086;0,418923377;64,06899556;55,21128031;72,92671081
0,9;91,93599124;86,54243825;97,32954424;0,69157822;0,65100582;0,732150619;162,0191363;152,5140579;171,5242146;;89,92344317;82,81913701;97,02774933;0,676439052;0,622997702;0,729880401;158,4724154;145,9524705;170,9923603;;60,15335656;24,12785297;96,17886015;0,452496902;0,181499077;0,723494727;106,008482;42,52060423;169,4963598;;59,72068606;23,66624675;95,77512537;0,449242187;0,178026696;0,720457677;105,2459852;41,70711388;168,7848565;;78,21473279;59,40734963;97,02211595;0,56743909;0,43099364;0,70388454;137,8381119;104,6937912;170,9824326;;27,27729748;22,48847926;32,0661157;0,406934287;0,335492667;0,478375907;67,03120963;55,26317146;78,7992478;;27,27729748;22,48847926;32,0661157;0,406934287;0,335492667;0,478375907;67,03120963;55,26317146;78,7992478;;38,92374644;21,67771948;56,16977339;0,406934287;0,226633049;0,587235525;95,65118423;53,270811;138,0315575;;38,92374644;21,67771948;56,16977339;0,406934287;0,226633049;0,587235525;95,65118423;53,270811;138,0315575;;38,92374644;21,67771948;56,16977339;1,207965375;0,672749592;1,743181158;31,78520475;17,70206661;45,86834289;;38,75679726;21,55543186;55,95816266;1,202784249;0,6689545;1,736613999;31,64887374;17,60220631;45,69554116;;45,65063616;24,88638583;66,41488649;1,416728678;0,772327824;2,061129532;37,27839558;20,3222696;54,23452157;;34,50616315;24,6881127;44,32421361;1,070869434;0,766174586;1,375564282;28,17779791;20,16035939;36,19523642;;23,715;20,36;27,07;0,377338918;0,323956162;0,430721675;62,84800971;53,95679855;71,73922086
1;93,23464985;89,13529094;97,33400876;0,722830522;0,691048972;0,754612073;151,9779566;145,2957608;158,6601525;;92,45994195;87,58885148;97,33103241;0,716824359;0,67905972;0,754588998;150,7151372;142,7749736;158,6553008;;70,66945622;44,31961319;97,01929925;0,547886864;0,343601539;0,75217219;115,1953653;72,24357319;158,1471575;;60,15335656;24,12785297;96,17886015;0,466357542;0,187058659;0,745656425;98,05350508;39,3298178;156,7771924;;89,92344317;82,81913701;97,02774933;0,613474822;0,565007895;0,661941749;146,5804952;135,0000588;158,1609316;;27,80810831;22,76497696;32,85123967;0,429371537;0,351502988;0,507240087;64,76467557;53,01929676;76,51005438;;27,80810831;22,76497696;32,85123967;0,429371537;0,351502988;0,507240087;64,76467557;53,01929676;76,51005438;;39,03216873;21,68295333;56,38138412;0,429371537;0,238522309;0,620220766;90,90534732;50,49927964;131,311415;;39,03216873;21,68295333;56,38138412;0,429371537;0,238522309;0,620220766;90,90534732;50,49927964;131,311415;;39,03216873;21,68295333;56,38138412;1,262869567;0,701542926;1,824196207;29,87784886;16,59759177;43,15810595;;39,03216873;21,68295333;56,38138412;1,262869567;0,701542926;1,824196207;29,87784886;16,59759177;43,15810595;;46,87281928;25,81446894;67,93116962;1,51655055;0,835216394;2,197884707;35,87961048;19,76013187;51,99908908;;36,57214251;25,4093463;47,73493871;1,183276442;0,822108819;1,544444065;27,99477923;19,45002374;36,53953471;;23,85;20,4;27,3;0,386835452;0,330878123;0,442792782;61,6541216;52,73560087;70,57264234
