OBJECTID,name,nr,Shape_Leng,Shape_Area,year
890,Pasterze,4027,43978.94483526960,15798148.75017540000,2015
720,Gepatsch Ferner,7022,42297.89076487850,15765880.20995710000,2015
226,Schlatenkees,6077,28680.04556780310,7640148.16098785000,2015
653,Gurgker Ferner,2074,28110.06681731700,7636657.97785186000,2015
727,Mittelberg Ferner,14008,25506.86244126310,6864513.30184173000,2015
682,Hintereis Ferner ohne Toteis,2125000,30320.71393929200,6123022.42744064000,2015
666,Schalf Ferner,2107,23459.53155747120,5938056.87112426000,2015
692,Vernagt Ferner,2133,28269.16251558240,5722808.58937072000,2015
730,Taschach Ferner E,14014,20150.61443133250,5248306.79254150000,2015
265,Umbal Kees,6040,19537.53102947910,4017824.13168334000,2015
670,Marzell Ferner,2110,21749.90525225190,3910806.11190414000,2015
275,Sulzenau Ferner,3032,17086.00396655380,3778135.08026123000,2015
218,Obersulzbach Kees,5129,16065.67020792330,3734931.22293090000,2015
677,Hochjoch Ferner,2121,20501.46451213390,3731018.52552795000,2015
188,Krimmler Kees,5141,20519.53905464290,3727293.08099365000,2015
686,Kesselwand Ferner,2129,10721.28214502100,3425915.89641952000,2015
67,Floiten Kees,9064,23691.26703853180,3313730.86769104000,2015
122,Gefrorene Wand Kees,9110,19373.59509604520,3238542.73731994000,2015
156,Schwarzenstein Kees,9073,17188.11981337450,3125214.12635040000,2015
308,Sulztal Ferner,2022,12431.76218639070,3106054.70547485000,2015
262,Rainer Kees,6053,12398.77158272500,3092001.81379699000,2015
1143,Untersulzbach Kees,5123,14330.81399204190,3014733.30811309000,2015
263,Mullwitz Kees (Zettalunitz Kees),6066,11356.73752411930,2850315.66730499000,2015
850,Karlinger Kees,5073,13492.32982963460,2825541.03985595000,2015
844,Bockkar Kees,4029,13166.16045772470,2823411.60374450000,2015
283,Lisenser Ferner,3060,11288.44000521880,2820339.31865692000,2015
920,Hallst├ñtter Gletscher,11002,10895.75198827110,2789652.60995483000,2015
507,Jamtal Ferner,13019,21464.35215907510,2744079.57636642000,2015
1050,Waxegg Kees,9076,12549.25162307330,2632475.75134277000,2015
418,Alpeiner Ferner,3055,12684.97019766660,2621365.97242736000,2015
784,Schlegeis Kees,9087,13629.75299030180,2480294.62467193000,2015
215,Obersulzbach Kees,5129,9350.15396742353,2444913.41550445000,2015
898,Teischnitz Kees,6108,11077.80070701710,2423506.54473876000,2015
944,Kleinelend Kees,21022,14354.61212696890,2267525.10487365000,2015
942,Hochalm Kees,21011,10715.70498738160,2266657.84751892000,2015
652,Langtaler Ferner,2027,9976.74049635700,2158800.48809814000,2015
180,Ochsentaler Gletscher,12008,13026.84469358880,2099548.73011779000,2015
921,Horn Kees,9075,9063.58567375205,2084641.49432373000,2015
722,Gepatsch Ferner,7023,14592.23666581300,2074116.19584274000,2015
223,Frosnitz Kees,6054,8972.25329314369,2042883.12798309000,2015
658,NN,2100,13880.46033761330,2023527.44837951000,2015
163,Habach Kees,5117,14252.85785122860,1932600.00649261000,2015
801,B├ñrenkopf Kees,5071,10515.10284502140,1918477.62330627000,2015
