/* DATA DESCRIPTION:
Citation:	Doose-Rolinski, Heidi; Rogalla, U; Scheeder, Georg; Lückge, Andreas; von Rad, Ulrich (2001): (Figure 3) Sea surface temperature estimates of sediment core SO90-56KA from the northeastern Arabian Sea during the late Holocene. PANGAEA, https://doi.org/10.1594/PANGAEA.713641, 
	In supplement to: Doose-Rolinski, H et al. (2001): High resolution temperature and evaporation changes during the late Holocene in the northeastern Arabian Sea. Paleoceanography, 16(4), 358-367, https://doi.org/10.1029/2000PA000511
Coverage:	LATITUDE: 24.833000 * LONGITUDE: 65.916000
	DATE/TIME START: 1993-09-10T00:00:00 * DATE/TIME END: 1993-09-10T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.01 m * MAXIMUM DEPTH, sediment/rock: 5.98 m
Event(s):	SO90_56KA * LATITUDE: 24.833000 * LONGITUDE: 65.916000 * DATE/TIME: 1993-09-10T00:00:00 * ELEVATION: -695.0 m * Recovery: 6.8 m * LOCATION: Arabian Sea * CAMPAIGN: SO90 (PAKOMIN) (URI: https://doi.org/10.2312/cr_so90) * BASIS: Sonne (URI: https://en.wikipedia.org/wiki/RV_Sonne) * METHOD/DEVICE: Kasten corer (KAL)
Comment:	Age scale is in calendar years from varve counting (see von Rad et al., 1999, datasets: doi:10.1594/PANGAEA.735718)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Doose-Rolinski, Heidi (hdoro@freenet.de) * METHOD/DEVICE: Calculated from UK37 (Sonzogni et al., 1998) (URI: https://doi.org/10.1016/S0277-3791(97)00099-1)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	237 data points
*/
Depth [m]	Age [ka BP]	SST (1-12) [°C]
0.01	0.0058	26.5
0.03	0.0173	26.6
0.05	0.0288	26.4
0.07	0.0403	26.6
0.09	0.0518	26.5
0.24	0.1380	26.3
0.26	0.1495	26.6
0.28	0.1610	26.5
0.30	0.1725	25.2
0.32	0.1840	25.2
0.34	0.1955	27.4
0.36	0.2070	25.5
0.38	0.2185	25.3
0.39	0.2269	26.4
0.39	0.2272	26.6
0.39	0.2276	26.1
0.39	0.2279	26.7
0.40	0.2300	26.8
0.42	0.2426	27.1
0.44	0.2553	26.2
0.46	0.2679	25.3
0.48	0.2806	26.2
0.50	0.3059	26.0
0.54	0.3185	26.4
0.56	0.3332	27.0
0.58	0.3540	26.3
0.60	0.3748	27.6
0.62	0.3957	26.5
0.64	0.4165	27.0
0.66	0.4373	26.2
0.68	0.4581	26.8
0.70	0.4789	26.4
0.72	0.4998	27.2
0.74	0.5206	26.1
0.76	0.5407	25.9
0.78	0.5600	26.4
0.80	0.5794	26.6
0.82	0.5987	26.5
0.84	0.6181	26.4
0.86	0.6374	26.8
0.88	0.6568	26.0
0.90	0.6761	27.1
0.92	0.6955	25.8
0.94	0.7148	26.6
0.96	0.7342	26.0
0.98	0.7535	27.1
1.02	0.7922	26.1
1.04	0.8116	27.0
1.06	0.8309	26.5
1.08	0.8503	26.8
1.10	0.8696	26.6
1.12	0.8890	26.3
1.14	0.9083	26.5
1.16	0.9294	25.9
1.18	0.9522	26.2
1.22	0.9978	26.5
1.24	1.0206	26.7
1.26	1.0405	26.8
1.28	1.0576	26.6
1.30	1.0746	26.9
1.32	1.0917	26.9
1.34	1.1087	26.8
1.36	1.1258	27.1
1.44	1.1940	26.7
1.46	1.2111	26.6
1.48	1.2281	26.8
1.54	1.2793	26.4
1.56	1.2963	26.2
1.58	1.3134	26.4
1.60	1.3304	26.9
1.62	1.3475	26.6
1.64	1.3646	26.2
1.66	1.3816	27.3
1.68	1.3945	26.1
1.70	1.4049	26.1
1.72	1.4153	26.2
1.74	1.4257	26.4
1.76	1.4361	26.4
1.78	1.4465	26.3
1.83	1.4726	26.5
1.87	1.4934	26.5
1.89	1.5038	26.0
1.91	1.5142	26.9
1.95	1.5350	26.7
1.97	1.5496	26.4
1.99	1.5642	26.9
2.02	1.5861	26.9
2.04	1.6007	26.3
2.07	1.6226	26.6
2.11	1.6518	26.1
2.13	1.6664	26.9
2.16	1.6883	26.3
2.18	1.7029	27.3
2.22	1.7321	26.6
2.24	1.7467	27.1
2.29	1.7890	26.3
2.31	1.8066	27.0
2.33	1.8241	26.5
2.37	1.8591	27.3
2.39	1.8766	26.2
2.41	1.8942	26.8
2.43	1.9117	26.3
2.45	1.9292	26.4
2.47	1.9467	26.4
2.49	1.9642	27.2
2.52	1.9905	26.4
2.54	2.0080	27.2
2.56	2.0256	26.3
2.58	2.0431	26.8
2.60	2.0606	26.5
2.62	2.0781	26.4
2.64	2.0956	26.4
2.66	2.1132	26.8
2.68	2.1307	26.1
2.70	2.1482	27.5
2.72	2.1657	26.8
2.74	2.1832	26.7
2.76	2.2013	26.7
2.78	2.2200	27.1
2.80	2.2380	26.1
2.82	2.2561	26.8
2.84	2.2741	26.5
2.86	2.2922	26.5
2.88	2.3102	26.2
2.90	2.3283	25.8
2.92	2.3463	26.4
2.94	2.3643	26.3
2.96	2.3824	26.2
2.98	2.4004	26.6
3.02	2.4365	26.1
3.04	2.4545	26.5
3.08	2.4906	26.2
3.10	2.5087	25.9
3.12	2.5267	26.2
3.14	2.5448	26.3
3.16	2.5628	26.4
3.18	2.5808	26.5
3.20	2.5989	26.5
3.22	2.6169	26.3
3.24	2.6350	26.3
3.26	2.6530	26.4
3.28	2.6673	26.1
3.30	2.6816	26.4
3.32	2.6959	26.7
3.34	2.7101	25.8
3.36	2.7244	25.9
3.40	2.7530	25.8
3.42	2.7673	26.4
3.44	2.7816	26.5
3.52	2.8387	27.0
3.54	2.8530	25.6
3.60	2.8959	26.0
3.62	2.9101	25.5
3.64	2.9244	26.1
3.66	2.9387	26.0
3.68	2.9530	26.2
3.70	2.9673	26.1
3.72	2.9816	26.3
3.74	2.9959	26.1
3.76	3.0110	26.3
3.78	3.0270	26.5
3.80	3.0429	26.3
3.82	3.0589	26.1
3.84	3.0749	25.6
3.86	3.0908	26.0
3.88	3.1068	26.6
3.90	3.1228	26.5
3.92	3.1388	26.8
3.94	3.1547	27.2
3.96	3.1707	26.1
3.98	3.1867	27.6
4.02	3.2186	26.1
4.04	3.2346	27.3
4.06	3.2506	25.7
4.08	3.2665	26.0
4.10	3.2825	25.7
4.12	3.2985	26.8
4.14	3.3145	25.8
4.16	3.3304	26.7
4.18	3.3464	26.0
4.20	3.3624	26.3
4.27	3.4183	25.4
4.29	3.4342	26.3
4.31	3.4502	25.4
4.36	3.4901	24.8
4.38	3.5061	25.0
4.42	3.5381	24.9
4.44	3.5540	25.6
4.46	3.5700	25.4
4.48	3.5825	25.9
4.52	3.6074	25.8
4.54	3.6199	25.5
4.56	3.6324	25.6
4.58	3.6449	25.6
4.63	3.6761	25.9
4.65	3.6886	25.8
4.72	3.7323	25.4
4.74	3.7448	25.4
4.76	3.7595	25.3
4.78	3.7764	26.4
4.85	3.8358	26.1
4.87	3.8527	25.6
