/* DATA DESCRIPTION:
Citation:	Doose-Rolinski, Heidi; Rogalla, U; Scheeder, Georg; Lückge, Andreas; von Rad, Ulrich (2001): (Figure 3) Oxygen isotopes and reconstructed salinity records of sediment core SO90-56KA from the northeastern Arabian Sea during the late Holocene. PANGAEA, https://doi.org/10.1594/PANGAEA.713643, 
	In supplement to: Doose-Rolinski, H et al. (2001): High resolution temperature and evaporation changes during the late Holocene in the northeastern Arabian Sea. Paleoceanography, 16(4), 358-367, https://doi.org/10.1029/2000PA000511
Coverage:	LATITUDE: 24.833000 * LONGITUDE: 65.916000
	DATE/TIME START: 1993-09-10T00:00:00 * DATE/TIME END: 1993-09-10T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.265 m * MAXIMUM DEPTH, sediment/rock: 5.980 m
Event(s):	SO90_56KA * LATITUDE: 24.833000 * LONGITUDE: 65.916000 * DATE/TIME: 1993-09-10T00:00:00 * ELEVATION: -695.0 m * Recovery: 6.8 m * LOCATION: Arabian Sea * CAMPAIGN: SO90 (PAKOMIN) (URI: https://doi.org/10.2312/cr_so90) * BASIS: Sonne (URI: https://en.wikipedia.org/wiki/RV_Sonne) * METHOD/DEVICE: Kasten corer (KAL)
Comment:	Age scale is in calendar years from varve counting (see von Rad et al., 1999, datasets: doi:10.1594/PANGAEA.735718)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Globigerinoides ruber white, δ18O [‰ PDB] (G. ruber w δ18O) * PI: Doose-Rolinski, Heidi (hdoro@freenet.de) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	δ18O [‰] (δ18O) * PI: Doose-Rolinski, Heidi (hdoro@freenet.de) * COMMENT: SST-corrected
	Sea surface salinity (SSS) * PI: Doose-Rolinski, Heidi (hdoro@freenet.de) * METHOD/DEVICE: Calculated * COMMENT: from d18O_seawater/salinity relationship, Rostek et al., 1993, doi:10.1038/364319a0
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	357 data points
*/
Depth [m]	Age [ka BP]	G. ruber w δ18O [‰ PDB]	δ18O [‰]	SSS
0.265	0.1524	-2.13	-0.01	36.5
0.295	0.1696	-2.00	-0.11	36.1
0.320	0.1840	-1.91	-0.07	36.3
0.325	0.1869	-2.29	-0.34	35.3
0.350	0.2013	-2.28	-0.19	35.8
0.380	0.2185	-2.18	-0.32	35.4
0.390	0.2272	-2.06	0.06	36.7
0.410	0.2276	-2.09	-0.07	36.3
0.430	0.2279	-2.15	-0.01	36.5
0.460	0.2679	-2.15	-0.29	35.5
0.490	0.2869	-2.25	-0.23	35.7
0.530	0.3122	-1.99	0.05	36.7
0.555	0.3280	-2.09	0.07	36.7
0.615	0.3905	-1.95	0.20	37.2
0.650	0.4269	-2.22	-0.10	36.1
0.690	0.4685	-2.06	0.06	36.7
0.725	0.5050	-1.93	0.26	37.4
0.765	0.5466	-2.30	-0.29	35.5
0.820	0.6039	-2.13	-0.03	36.4
0.880	0.6663	-2.08	0.03	36.6
0.920	0.7080	-1.98	0.08	36.8
0.940	0.7288	-1.89	0.14	37.0
0.985	0.7756	-2.06	0.05	36.7
1.025	0.8173	-2.04	0.13	37.0
1.070	0.8641	-2.21	-0.08	36.2
1.095	0.8902	-1.98	0.08	36.8
1.125	0.9214	-2.23	-0.20	35.8
1.160	0.9294	-2.03	-0.05	36.3
1.195	0.9693	-2.11	-0.07	36.3
1.225	1.0035	-2.26	-0.15	36.0
1.235	1.0149	-2.08	0.05	36.7
1.300	1.0746	-2.31	-0.13	36.0
1.325	1.0960	-2.13	0.05	36.7
1.365	1.1301	-2.00	0.22	37.3
1.450	1.2025	-2.20	-0.08	36.2
1.485	1.2324	-2.44	-0.29	35.5
1.520	1.2622	-2.25	-0.14	36.0
1.530	1.2708	-2.14	-0.05	36.3
1.560	1.2963	-2.21	-0.17	35.9
1.595	1.3262	-2.17	-0.01	36.4
1.625	1.3518	-2.06	0.04	36.6
1.690	1.3997	-2.14	-0.12	36.1
1.725	1.4179	-2.17	-0.13	36.0
1.755	1.4335	-1.94	0.14	37.0
1.845	1.4804	-1.92	0.18	37.1
1.850	1.4830	-1.96	0.14	37.0
1.905	1.5116	-1.73	0.40	37.9
1.935	1.5272	-1.63	0.53	38.4
1.975	1.5533	-2.04	0.07	36.7
