Element,059TX41_cpx,059TX41_cpx_1sigma_error,060TX42_cpx,060TX42_cpx_1sigma_error,061TX43_opx,061TX43_opx_1sigma_error,062TX44_opx,062TX44_opx_1sigma_error,063TX45_opx,063TX45_opx_1sigma_error,064TX46_opx,064TX46_opx_1sigma_error,065TX47_opx,065TX47_opx_1sigma_error,066TX48_ol,066TX48_ol_1sigma_error,067TX49_ol,067TX49_ol_1sigma_error,068TX50_ol,068TX50_ol_1sigma_error,069TX51_cpx,069TX51_cpx_1sigma_error,070TX52_cpx,070TX52_cpx_1sigma_error,071TX53_ol,071TX53_ol_1sigma_error,072TX54_ol,072TX54_ol_1sigma_error,073TX55_cpx,073TX55_cpx_1sigma_error,074TX56_cpx,074TX56_cpx_1sigma_error,075TX57_opx,075TX57_opx_1sigma_error,076TX58_cpx,076TX58_cpx_1sigma_error
Li7,12.97,0.76,8.86,0.53,1.86,0.13,2.02,0.13,2.4,0.16,1.6,0.11,1.68,0.12,2.43,0.16,2.5,0.16,3.24,0.21,9.72,0.61,8.66,0.55,2.65,0.18,2.93,0.19,7.08,0.46,4.46,0.29,4.22,0.28,13.87,0.91
Be9,0.096,0.022000000000000002,0.119,0.024,<0.037,0.017,<0.039,0.016,0.03,0.015,<0.029,0.012,<0.030,0.013999999999999999,<0.031,0.011000000000000001,<0.0230,0.0097,<0.026,0.011000000000000001,0.107,0.019,0.065,0.021,<0.0187,0.0074,<0.0183,0.0082,0.107,0.022000000000000002,0.098,0.018000000000000002,0.045,0.015,0.102,0.023
B11,0.737,0.081,0.82,0.086,0.776,0.087,0.502,0.078,0.733,0.084,0.589,0.073,0.62,0.08199999999999999,0.839,0.08,0.813,0.08199999999999999,0.792,0.08,0.733,0.085,0.57,0.081,0.683,0.078,0.819,0.08,0.731,0.085,0.672,0.083,0.696,0.08,0.728,0.084
Al27,36223.84,1372.68,36184.71,1374.45,23252.72,885.36,23681.7,903.88,25672.45,982.25,22519.34,863.74,24323.07,935.24,41.05,1.59,44.99,1.75,39.31,1.53,34256.71,1330.63,33969.61,1322.89,70.33,2.75,45.69,1.8,34467.5,1352.86,32764.5,1289.43,25059.03,988.81,35367.14,1399.31
Si29,240731.3,7613.45,240731.31,7613.44,254754.47,8056.96,254754.47,8056.92,254754.47,8056.91,254754.45,8056.89,254754.45,8056.93,191650.14,6061.26,191650.14,6061.27,191650.14,6061.29,240731.28,7613.5,240731.27,7613.5,191650.14,6061.27,191650.14,6061.3,240731.28,7613.53,240731.28,7613.5,254754.45,8056.93,240731.27,7613.5
P31,49.26,5.56,47.13,5.35,35.14,4.07,35.01,4.06,37.55,4.36,33.42,3.92,35.21,4.14,53.1,6.17,54.59,6.37,56.13,6.58,45.09,5.36,45.32,5.41,54.19,6.45,50.04,6.0,43.61,5.3,43.23,5.28,36.37,4.49,46.3,5.69
Ca43,149941.86,5773.31,154422.8,5966.15,4375.31,173.38,4428.96,175.88,6669.8,263.82,4142.57,165.74,6194.26,247.01,265.6,14.79,264.93,14.93,274.13,15.3,148870.19,5937.93,150495.62,6024.41,448.57,21.87,291.89,16.1,148545.33,6011.69,149062.7,6054.58,6595.63,272.16,145677.31,5960.69
Ti49,3747.38,155.43,3993.54,166.33,819.43,34.36,832.02,35.03,952.93,40.27,866.79,36.8,911.12,38.85,19.96,0.93,21.38,1.0,16.6,0.8,3917.1,169.63,3802.86,165.41,27.08,1.26,23.74,1.12,3847.78,169.6,3890.84,172.25,942.67,41.99,3631.35,162.2
V51,264.47,8.97,274.33,9.32,105.19,3.58,106.54,3.64,112.29,3.84,109.57,3.75,111.64,3.83,2.158,0.08,2.104,0.078,1.805,0.068,277.19,9.58,281.29,9.74,2.272,0.084,4.26,0.15,270.26,9.42,273.39,9.55,116.47,4.08,266.07,9.33
Cr53,5266.96,234.39,5342.08,238.9,2417.3,108.66,2470.78,111.61,2725.92,123.74,2189.08,99.88,2438.52,111.81,26.98,1.29,27.31,1.31,25.1,1.21,5094.59,238.26,4835,227.26,31.01,1.51,38.89,1.89,5166.79,246.55,4736.64,227.17,2671.44,128.79,5343.55,258.86
