Depth [m]	Age [ka BP]	G. bulloides δ18O [‰ PDB]
0.02	4.550	0.310
0.04	4.726	0.441
0.06	4.903	0.345
0.08	5.079	0.230
0.10	5.255	0.325
0.12	5.431	0.486
0.14	5.607	0.184
0.16	5.784	0.136
0.18	5.960	0.085
0.20	6.136	0.051
0.22	6.312	-0.093
0.28	6.840	0.289
0.30	7.017	0.140
0.32	7.193	0.091
0.34	7.369	0.221
0.36	7.545	0.245
0.38	7.721	0.026
0.40	7.897	0.281
0.42	8.074	0.199
0.44	8.250	0.043
0.46	8.426	0.073
0.48	8.514	0.115
0.50	8.602	0.083
0.52	8.689	0.197
0.54	8.777	0.307
0.56	8.865	0.071
0.58	8.953	0.071
0.60	9.040	0.146
0.62	9.128	0.094
0.66	9.304	0.432
0.68	9.392	0.220
0.70	9.479	0.213
0.72	9.567	0.241
0.74	9.655	0.346
0.76	9.743	0.387
0.78	9.830	0.337
0.80	9.918	0.303
0.82	10.006	0.600
0.84	10.050	0.342
0.86	10.094	0.436
0.88	10.138	0.482
0.90	10.182	0.343
0.92	10.226	0.398
0.94	10.270	0.511
0.96	10.314	0.386
0.98	10.358	0.515
1.00	10.402	0.305
1.02	10.445	0.311
1.04	10.489	0.676
1.06	10.533	0.525
1.08	10.577	0.583
1.10	10.621	0.539
1.12	10.665	0.614
1.14	10.709	0.830
1.16	10.753	0.530
1.18	10.797	0.721
1.20	10.841	1.113
1.22	10.885	0.821
1.24	11.003	0.822
1.26	11.121	0.916
1.28	11.239	1.077
1.30	11.357	1.080
1.32	11.475	1.419
1.34	11.593	1.144
1.36	11.711	1.202
1.38	11.829	1.376
1.40	11.946	1.310
1.42	12.064	1.084
1.44	12.182	1.350
1.46	12.300	1.593
1.48	12.418	1.189
1.50	12.536	1.191
1.52	12.654	1.563
1.54	12.772	1.556
1.56	12.890	1.633
1.58	12.982	1.308
1.60	13.074	1.183
1.62	13.166	1.164
1.64	13.258	1.201
1.66	13.349	1.448
1.68	13.441	1.476
1.70	13.533	1.379
1.72	13.625	1.286
1.74	13.717	1.405
1.76	13.775	1.457
1.78	13.832	1.302
1.80	13.890	1.340
1.82	13.948	1.415
1.84	14.005	1.417
1.86	14.063	1.387
1.88	14.121	1.449
1.90	14.179	1.279
1.92	14.236	1.222
1.94	14.294	1.392
1.96	14.352	1.381
1.98	14.409	1.220
2.00	14.467	1.607
2.02	14.525	1.403
2.04	14.582	1.206
2.06	14.640	1.432
2.08	14.698	1.582
2.10	14.755	1.470
2.12	14.813	1.394
2.14	14.871	1.519
2.16	14.929	1.387
2.18	14.986	1.373
2.20	15.044	1.399
2.22	15.102	1.706
2.24	15.159	2.320
2.26	15.217	2.695
2.28	15.275	2.131
2.30	15.332	2.243
2.32	15.390	2.548
2.34	15.448	1.784
2.36	15.505	2.197
2.38	15.563	1.931
2.40	15.621	2.316
2.42	15.679	2.324
2.44	15.736	2.044
2.46	15.794	2.311
2.48	15.852	2.231
2.50	15.909	2.197
2.52	15.967	2.235
2.54	16.025	2.140
2.56	16.082	1.814
2.58	16.140	1.993
2.60	16.198	1.758
2.62	16.255	2.069
2.64	16.313	1.966
2.66	16.371	2.161
2.68	16.429	2.329
2.70	16.486	2.752
2.72	16.544	2.651
2.74	16.602	2.213
2.76	16.659	2.420
2.78	16.717	2.601
2.80	16.775	2.504
2.81	16.804	2.808
2.82	16.829	2.467
2.84	16.872	2.382
2.86	16.915	2.142
2.88	16.958	2.222
2.90	17.001	2.331
2.92	17.044	2.430
2.94	17.086	2.702
2.96	17.129	2.651
2.98	17.172	2.617
3.00	17.215	2.697
3.02	17.258	2.816
3.06	17.344	2.588
3.08	17.387	2.247
3.12	17.473	2.965
3.14	17.516	3.164
3.16	17.559	3.210
3.18	17.602	3.061
3.20	17.645	3.115
3.22	17.688	3.210
3.23	17.709	3.183
3.24	17.733	3.150
3.26	17.787	3.188
3.28	17.841	3.323
3.30	17.895	3.307
3.32	17.948	3.312
3.34	18.002	3.271
3.36	18.056	3.125
3.38	18.109	3.037
3.40	18.163	3.086
3.42	18.217	2.898
3.44	18.271	3.014
3.46	18.324	2.893
3.48	18.378	3.055
3.50	18.432	3.136
3.52	18.486	3.200
3.54	18.539	3.312
3.56	18.593	3.162
3.58	18.647	2.886
3.60	18.700	2.870
3.62	18.754	3.260
3.64	18.808	2.969
3.66	18.862	3.041
3.68	18.915	2.963
3.70	18.969	2.548
3.72	19.023	3.067
3.74	19.076	2.931
3.76	19.130	2.768
3.78	19.184	2.816
3.80	19.238	2.892
3.82	19.291	2.557
3.84	19.345	3.071
3.86	19.399	2.923
3.88	19.453	2.733
3.90	19.506	2.646
3.92	19.560	3.006
3.94	19.614	2.983
3.96	19.667	2.803
3.98	19.721	2.934
4.00	19.775	3.158
4.02	19.829	3.256
4.04	19.882	3.052
4.06	19.936	3.316
4.08	20.002	3.057
4.10	20.069	3.123
4.12	20.135	2.998
4.14	20.201	3.144
4.16	20.268	3.212
4.18	20.334	2.920
4.20	20.400	2.978
4.22	20.467	2.899
4.24	20.533	2.961
4.26	20.599	2.920
4.28	20.666	3.059
4.30	20.732	2.916
4.32	20.799	3.081
4.34	20.865	2.989
4.36	20.931	2.986
4.38	20.998	3.116
4.40	21.064	2.850
4.42	21.130	2.990
4.44	21.197	2.653
4.46	21.263	3.036
4.48	21.329	2.909
4.50	21.396	2.542
4.52	21.462	2.924
4.54	21.490	3.301
4.56	21.519	3.061
4.58	21.547	2.807
4.60	21.575	2.958
4.62	21.603	3.023
4.64	21.632	3.071
4.66	21.660	3.091
4.68	21.688	3.081
4.70	21.716	3.017
4.72	21.745	2.960
4.74	21.773	2.839
4.76	21.834	3.186
4.78	21.894	3.329
4.80	21.955	3.427
4.82	22.016	3.380
4.84	22.076	3.107
4.86	22.137	3.434
4.88	22.198	3.230
4.90	22.258	3.052
4.92	22.319	3.259
4.94	22.380	3.157
4.96	22.440	2.834
4.98	22.501	2.869
5.00	22.561	2.971
5.02	22.622	3.162
5.04	22.683	2.968
5.06	22.743	3.066
5.08	22.804	3.087
5.10	22.865	2.682
5.12	22.925	3.133
5.14	22.986	3.075
5.16	23.047	3.295
5.18	23.107	2.788
5.20	23.168	2.899
5.22	23.229	2.572
5.24	23.289	2.773
5.26	23.350	2.529
5.28	23.411	2.869
5.30	23.471	2.867
5.32	23.532	2.808
5.34	23.593	2.640
5.36	23.653	2.654
5.38	23.714	2.489
5.40	23.775	2.586
5.41	23.805	2.761
5.42	23.825	2.500
5.44	23.843	2.837
5.46	23.860	2.637
5.48	23.878	2.863
5.50	23.896	2.633
5.52	23.915	2.460
5.54	23.933	2.672
5.56	23.951	2.507
5.60	23.986	2.782
5.62	24.005	2.516
5.64	24.023	2.770
5.66	24.041	2.836
5.68	24.058	2.934
5.70	24.076	2.581
5.72	24.095	2.847
5.74	24.113	2.829
5.76	24.131	2.672
5.78	24.148	2.588
5.80	24.179	2.563
5.82	24.246	2.636
5.84	24.313	2.654
5.86	24.380	2.752
5.88	24.447	2.482
5.90	24.514	1.872
5.92	24.581	2.315
5.94	24.648	2.241
