Depth [m]	Age [ka BP]	Placoliths small [%]	Placoliths small acc rate [10**6 #/cm**2/ka]	G. muellerae [%]	G. muellerae acc rate [10**6 #/cm**2/ka]	G. oceanica [%]	G. oceanica acc rate [10**6 #/cm**2/ka]	F. profunda [%]	F. profunda acc rate [10**6 #/cm**2/ka]	Cocco rew [%]	Cocco rew acc rate [10**6 #/cm**2/ka]	E. huxleyi [%]	E. huxleyi acc rate [10**6 #/cm**2/ka]	Helicosphaera spp. [%]	Helicosphaera spp. acc rate [10**6 #/cm**2/ka]	Syracosphaera spp. [%]	Syracosphaera spp. acc rate [10**6 #/cm**2/ka]	O. fragilis [%]	Oolithotus fragilis acc rate [10**6 #/cm**2/ka]	Umbellosphaera spp. [%]	Umbellosphaera spp. acc rate [10**6 #/cm**2/ka]	Acc rate cocco [10**6 #/cm**2/ka]
0.02	4.55	73.34	153297.96	2.91	6074.07	1.25	2603.17	7.20	15040.55	1.32	2762.26	0.55	1156.97	0.00	0.00	1.94	4049.38	0.27	564.02	0.02	43.39	100424.77
0.04	4.73	82.69	185915.02	1.17	2635.02	3.00	6733.93	6.12	13760.64	0.89	2005.54	0.13	292.78	0.00	0.00	0.65	1463.90	0.20	439.17	0.12	263.50	108018.40
0.06	4.90	83.52	195181.48	3.59	8390.15	4.16	9714.92	4.16	9714.92	0.72	1678.03	0.38	883.17	0.00	0.00	0.94	2207.94	0.13	309.11	0.19	441.59	112276.40
0.08	5.08	82.29	221392.06	1.83	4929.78	4.33	11652.21	5.50	14789.35	1.02	2733.79	0.33	896.32	0.00	0.00	1.17	3137.13	0.20	537.79	0.05	134.45	129257.50
0.10	5.26	74.49	140944.63	0.00	0.00	2.57	4870.66	6.27	11872.23	0.64	1217.66	0.00	0.00	0.32	608.83	2.09	3957.41	0.31	595.60	0.17	317.65	90902.57
0.12	5.43	81.38	157148.87	5.44	10497.17	2.56	4939.85	4.80	9262.21	0.27	524.86	0.32	617.48	0.00	0.00	2.08	4013.63	0.14	277.87	0.19	370.49	92776.59
0.14	5.61	79.58	190930.16	4.37	10480.65	3.61	8657.93	6.27	15037.46	0.82	1959.43	0.00	0.00	0.19	455.68	2.28	5468.17	0.23	546.82	0.15	364.54	115268.65
0.16	5.78	80.65	173809.79	3.72	8026.74	2.01	4322.09	5.73	12348.83	1.30	2809.36	0.14	308.72	0.00	0.00	2.15	4630.81	0.32	694.62	0.09	185.23	103539.17
0.18	5.96	80.38	203530.88	3.88	9825.63	6.28	15908.16	2.40	6082.53	1.13	2854.11	0.18	467.89	0.00	0.00	2.40	6082.53	0.31	795.41	0.13	327.52	121660.94
0.20	6.14	81.71	161156.84	4.30	8481.94	3.34	6597.06	4.30	8481.94	0.54	1068.10	0.00	0.00	0.00	0.00	2.07	4083.90	0.65	1272.29	0.38	753.95	94763.17
0.22	6.31	82.28	130572.61	3.16	5009.98	3.16	5009.98	4.54	7201.85	0.14	219.19	0.00	0.00	0.20	313.12	1.97	3131.24	0.44	704.53	0.27	422.72	76243.87
0.24	6.49	81.05	149418.47	3.83	7056.72	4.16	7670.35	3.33	6136.28	1.92	3543.70	0.00	0.00	0.00	0.00	2.33	4295.40	0.42	782.38	0.37	690.33	88578.81
