Latitude	Longitude	Depth LAB [km]
-6.00	26.00	50.0265
-6.00	26.75	68.6460
-6.00	27.50	87.8796
-6.00	28.25	108.1720
-6.00	29.00	129.6760
-6.00	29.75	151.6670
-6.00	30.50	172.0010
-6.00	31.25	187.9390
-6.00	32.00	201.1320
-6.00	32.75	213.5160
-6.00	33.50	225.8350
-6.00	34.25	237.4470
-6.00	35.00	250.6560
-6.00	35.75	271.2170
-6.00	36.50	305.6820
-6.00	37.25	354.6990
-6.00	38.00	407.7410
-6.75	26.00	62.5594
-6.75	26.75	77.4373
-6.75	27.50	92.8291
-6.75	28.25	109.4320
-6.75	29.00	128.1000
-6.75	29.75	149.1290
-6.75	30.50	170.0130
-6.75	31.25	181.5460
-6.75	32.00	189.5710
-6.75	32.75	198.2580
-6.75	33.50	208.9450
-6.75	34.25	216.3110
-6.75	35.00	221.5160
-6.75	35.75	230.6020
-6.75	36.50	257.0940
-6.75	37.25	308.9080
-6.75	38.00	360.0150
-7.50	26.00	75.2860
-7.50	26.75	86.4511
-7.50	27.50	97.8813
-7.50	28.25	110.3450
-7.50	29.00	125.3980
-7.50	29.75	145.3990
-7.50	30.50	170.7860
-7.50	31.25	175.7730
-7.50	32.00	177.1310
-7.50	32.75	181.6210
-7.50	33.50	193.1900
-7.50	34.25	197.2010
-7.50	35.00	195.4390
-7.50	35.75	189.4320
-7.50	36.50	203.3150
-7.50	37.25	264.5910
-7.50	38.00	308.2570
-8.25	26.00	88.7117
-8.25	26.75	96.4862
-8.25	27.50	104.1400
-8.25	28.25	112.1510
-8.25	29.00	122.0520
-8.25	29.75	138.0850
-8.25	30.50	174.3060
-8.25	31.25	171.6650
-8.25	32.00	163.7660
-8.25	32.75	162.8580
-8.25	33.50	176.4570
-8.25	34.25	176.9490
-8.25	35.00	177.3080
-8.25	35.75	154.7720
-8.25	36.50	150.4900
-8.25	37.25	220.8000
-8.25	38.00	238.8190
-9.00	26.00	103.3460
-9.00	26.75	108.5040
-9.00	27.50	113.3380
-9.00	28.25	118.0080
-9.00	29.00	123.4380
-9.00	29.75	132.5840
-9.00	30.50	152.8800
-9.00	31.25	183.3100
-9.00	32.00	149.4800
-9.00	32.75	155.1000
-9.00	33.50	142.8300
-9.00	34.25	134.1300
-9.00	35.00	170.4400
-9.00	35.75	138.5400
-9.00	36.50	187.0000
-9.00	37.25	129.5300
-9.00	38.00	136.8430
-9.75	26.00	119.3500
-9.75	26.75	122.8270
-9.75	27.50	126.1700
-9.75	28.25	129.4250
-9.75	29.00	132.4250
-9.75	29.75	134.1790
-9.75	30.50	134.7900
-9.75	31.25	167.6900
-9.75	32.00	152.7300
-9.75	32.75	130.6000
-9.75	33.50	139.3400
-9.75	34.25	106.2300
-9.75	35.00	150.7900
-9.75	35.75	211.5600
-9.75	36.50	209.0000
-9.75	37.25	146.9300
-9.75	38.00	121.9310
-10.50	26.00	136.4130
-10.50	26.75	138.7680
-10.50	27.50	141.6240
-10.50	28.25	145.8040
-10.50	29.00	152.5450
-10.50	29.75	163.1200
-10.50	30.50	175.2800
-10.50	31.25	157.5900
-10.50	32.00	178.2800
-10.50	32.75	143.6300
-10.50	33.50	143.6200
-10.50	34.25	134.3700
-10.50	35.00	137.1200
-10.50	35.75	140.2400
-10.50	36.50	150.9100
-10.50	37.25	154.1300
-10.50	38.00	140.9100
-11.25	26.00	153.9110
-11.25	26.75	154.7810
-11.25	27.50	156.4190
-11.25	28.25	159.8130
-11.25	29.00	166.2070
-11.25	29.75	176.2900
-11.25	30.50	185.4700
-11.25	31.25	158.0900
-11.25	32.00	140.2400
-11.25	32.75	141.2600
-11.25	33.50	165.6900
-11.25	34.25	138.5900
-11.25	35.00	179.7300
