Latitude	Longitude	Depth Moho [km]
-6.00	26.00	32.1223
-6.00	26.75	33.3084
-6.00	27.50	34.4623
-6.00	28.25	35.5410
-6.00	29.00	36.4944
-6.00	29.75	37.2964
-6.00	30.50	38.0042
-6.00	31.25	38.8047
-6.00	32.00	39.7541
-6.00	32.75	40.1882
-6.00	33.50	39.8991
-6.00	34.25	39.3233
-6.00	35.00	38.6625
-6.00	35.75	38.1986
-6.00	36.50	38.7646
-6.00	37.25	41.5411
-6.00	38.00	45.0111
-6.75	26.00	31.3000
-6.75	26.75	32.5878
-6.75	27.50	33.8493
-6.75	28.25	35.0408
-6.75	29.00	36.0977
-6.75	29.75	36.9457
-6.75	30.50	37.5813
-6.75	31.25	38.4440
-6.75	32.00	40.2186
-6.75	32.75	41.0303
-6.75	33.50	40.4500
-6.75	34.25	39.8878
-6.75	35.00	39.1895
-6.75	35.75	38.0682
-6.75	36.50	37.4622
-6.75	37.25	42.4933
-6.75	38.00	48.0076
-7.50	26.00	30.4804
-7.50	26.75	31.8663
-7.50	27.50	33.2312
-7.50	28.25	34.5360
-7.50	29.00	35.7159
-7.50	29.75	36.6476
-7.50	30.50	37.0897
-7.50	31.25	37.6800
-7.50	32.00	40.9027
-7.50	32.75	42.2187
-7.50	33.50	40.8134
-7.50	34.25	40.4627
-7.50	35.00	40.0602
-7.50	35.75	38.2778
-7.50	36.50	34.0816
-7.50	37.25	43.2430
-7.50	38.00	50.3096
-8.25	26.00	29.6715
-8.25	26.75	31.1462
-8.25	27.50	32.5967
-8.25	28.25	33.9816
-8.25	29.00	35.2481
-8.25	29.75	36.3257
-8.25	30.50	36.6383
-8.25	31.25	36.7536
-8.25	32.00	41.5714
-8.25	32.75	43.5810
-8.25	33.50	40.9021
-8.25	34.25	40.9198
-8.25	35.00	41.0660
-8.25	35.75	39.8121
-8.25	36.50	28.2300
-8.25	37.25	43.6500
-8.25	38.00	49.2703
-9.00	26.00	28.8911
-9.00	26.75	30.4510
-9.00	27.50	31.9755
-9.00	28.25	33.3866
