Event	IGSN	Sample label	Samp type	Latitude	Longitude	Mineral	Position	SiO2 [%]	TiO2 [%]	Al2O3 [%]	FeO [%]	MnO [%]	MgO [%]	CaO [%]	Na2O [%]	K2O [%]	Cr2O3 [%]	NiO [%]	Total [%]	δ18O [‰]	δ18O std dev [±]	Si [# of ions]	Ti [# of ions]	Al [# of ions]	Cr [# of ions]	Fe2+ [# of ions]	Fe3+ [# of ions]	Mn2+ [# of ions]	Mg [# of ions]	Ca [# of ions]	Na [# of ions]	K [# of ions]	Ni [# of ions]	Cat [#]	Mg#	En [%]	Fs [%]	Wo [%]	An [%]	Ab [%]	Or [%]
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 1	core	52.12	0.69	2.03	10.47	0.26	15.43	18.43	0.37	#0.00	0.16	#0.00	99.96	6.45	0.01	1.94	0.02	0.09	0.00	0.33	0.00	0.01	0.86	0.74	0.03	0.00	0.00	4.01	72.00	44.00	17	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 1	core	52.59	0.50	2.10	10.22	0.21	15.32	18.19	0.43	#0.00	0.19	#0.00	99.74			1.96	0.01	0.09	0.01	0.32	0.00	0.01	0.85	0.72	0.03	0.00	0.00	4.00	72.00	45.00	17	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 1	core	52.38	0.64	2.18	10.35	0.27	15.22	18.30	0.33	#0.00	0.19	#0.00	99.86			1.95	0.02	0.10	0.01	0.32	0.00	0.01	0.84	0.73	0.02	0.00	0.00	4.00	72.00	44.00	17	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 2	core	52.56	0.62	2.15	10.56	0.21	15.10	18.39	0.43	#0.00	0.17	#0.00	100.18			1.95	0.02	0.09	0.00	0.33	0.00	0.01	0.84	0.73	0.03	0.00	0.00	4.00	71.00	44.00	18	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 2	core	52.22	0.70	2.35	10.61	0.29	15.12	18.01	0.37	#0.00	0.12	#0.00	99.79			1.94	0.02	0.10	0.00	0.33	0.00	0.01	0.84	0.72	0.03	0.00	0.00	4.00	71.00	44.00	18	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 2	core	52.37	0.71	2.26	10.55	0.25	15.12	17.93	0.41	#0.00	0.14	#0.00	99.73			1.95	0.02	0.10	0.00	0.33	0.00	0.01	0.84	0.72	0.03	0.00	0.00	3.99	71.00	44.00	18	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 3	core	52.38	0.55	2.20	9.82	0.23	15.74	18.22	0.40	#0.00	0.27	#0.00	99.81			1.95	0.02	0.10	0.01	0.30	0.00	0.01	0.87	0.72	0.03	0.00	0.00	4.00	74.00	46.00	16	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 3	core	52.45	0.60	2.38	9.75	0.29	15.48	18.09	0.41	#0.00	0.23	#0.00	99.66			1.95	0.02	0.10	0.01	0.30	0.00	0.01	0.86	0.72	0.03	0.00	0.00	3.99	73.00	45.00	17	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 4	core	52.34	0.61	2.42	9.85	0.21	15.48	18.10	0.40	#0.00	0.20	#0.00	99.61			1.95	0.02	0.11	0.01	0.31	0.00	0.01	0.86	0.72	0.03	0.00	0.00	4.00	73.00	45.00	17	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 4	core	52.42	0.51	2.31	9.74	0.24	15.40	18.04	0.37	#0.00	0.24	#0.00	99.28			1.95	0.01	0.10	0.01	0.30	0.00	0.01	0.86	0.72	0.03	0.00	0.00	3.99	73.00	45.00	16	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 4	core	52.58	0.59	2.37	10.39	0.25	15.46	18.10	0.42	#0.00	0.22	#0.00	100.38			1.94	0.02	0.10	0.01	0.32	0.00	0.01	0.85	0.72	0.03	0.00	0.00	4.00	72.00	45.00	17	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 5	core	52.77	0.47	1.76	9.41	0.25	16.04	18.86	0.34	#0.00	0.15	#0.00	100.04			1.95	0.01	0.08	0.00	0.29	0.00	0.01	0.89	0.75	0.02	0.00	0.00	4.00	75.00	46.00	15	39			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 5	core	52.74	0.48	2.02	9.73	0.18	16.15	18.43	0.39	#0.00	0.12	#0.00	100.24			1.95	0.01	0.09	0.00	0.30	0.00	0.01	0.89	0.73	0.03	0.00	0.00	4.01	74.00	46.00	16	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 5	core	52.62	0.61	2.18	9.60	0.14	15.73	18.66	0.40	#0.00	0.19	#0.00	100.12			1.95	0.02	0.10	0.01	0.30	0.00	0.00	0.87	0.74	0.03	0.00	0.00	4.00	74.00	45.00	16	39			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 5	core	52.94	0.49	1.66	9.30	0.27	16.38	18.85	0.30	#0.00	0.20	#0.00	100.38			1.95	0.01	0.07	0.01	0.29	0.00	0.01	0.90	0.74	0.02	0.00	0.00	4.01	75.00	46.00	15	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 5	core	52.56	0.66	2.24	9.71	0.24	15.88	18.47	0.35	#0.00	0.19	#0.00	100.30			1.94	0.02	0.10	0.01	0.30	0.00	0.01	0.87	0.73	0.02	0.00	0.00	4.00	74.00	46.00	16	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 5	core	52.31	0.68	2.23	9.62	0.25	15.57	18.46	0.40	#0.00	0.21	#0.00	99.73			1.94	0.02	0.10	0.01	0.30	0.00	0.01	0.86	0.73	0.03	0.00	0.00	4.00	74.00	45.00	16	39			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 6	core	52.28	0.55	2.08	10.20	0.29	15.41	18.33	0.42	#0.00	0.21	#0.00	99.77			1.95	0.02	0.09	0.01	0.32	0.00	0.01	0.86	0.73	0.03	0.00	0.00	4.00	72.00	45.00	17	38			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 6	core	52.65	0.62	2.02	10.21	0.18	15.23	18.46	0.43	#0.00	0.20	#0.00	100.01			1.95	0.02	0.09	0.01	0.32	0.00	0.01	0.84	0.73	0.03	0.00	0.00	4.00	72.00	44.00	17	39			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	CPX 6	core	52.25	0.64	2.02	10.51	0.25	15.13	18.40	0.39	#0.00	0.19	#0.00	99.79			1.95	0.02	0.09	0.01	0.33	0.00	0.01	0.84	0.74	0.03	0.00	0.00	4.00	71.00	44.00	18	38			
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	CPX 1	core	52.46	0.63	2.43	10.07	0.24	15.75	18.51	0.44	#0.00	0.25		100.77			1.93	0.02	0.11	0.01	0.31	0.00	0.01	0.87	0.73	0.03	0.00		4.01	73.00	45.00	17	38			
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	CPX 1	rim1	52.49	0.68	2.13	10.87	0.29	15.66	17.89	0.40	#0.00	0.09		100.50			1.94	0.02	0.09	0.00	0.34	0.00	0.01	0.86	0.71	0.03	0.00		4.00	71.00	45.00	18	37			
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	CPX 1	rim2	53.07	0.54	2.85	6.63	0.17	17.32	19.96	0.24	0.01	0.40		101.18			1.92	0.01	0.12	0.01	0.20	0.00	0.01	0.94	0.77	0.02	0.00		4.00	82.00	49.00	11	40			
