Event	IGSN	Sample label	Samp type	Mineral	Area	Latitude	Longitude	SiO2 [%]	TiO2 [%]	Al2O3 [%]	FeO [%]	Fe2O3 [%]	MnO [%]	MgO [%]	CaO [%]	Na2O [%]	K2O [%]	P2O5 [%]	SO3 [%]	Cl [%]	Total [%]	Li [mg/kg]	Sc [mg/kg]	V [mg/kg]	Cr [mg/kg]	Co [mg/kg]	Ni [mg/kg]	Cu [mg/kg]	Zn [mg/kg]	Ga [mg/kg]	Rb [mg/kg]	Sr [mg/kg]	Y [mg/kg]	Zr [mg/kg]	Nb [mg/kg]	Mo [mg/kg]	Sn [mg/kg]	Sb [mg/kg]	Cs [mg/kg]	Ba [mg/kg]	La [mg/kg]	Ce [mg/kg]	Pr [mg/kg]	Nd [mg/kg]	Sm [mg/kg]	Eu [mg/kg]	Gd [mg/kg]	Tb [mg/kg]	Dy [mg/kg]	Ho [mg/kg]	Er [mg/kg]	Tm [mg/kg]	Yb [mg/kg]	Lu [mg/kg]	Hf [mg/kg]	Ta [mg/kg]	W [mg/kg]	Pb [mg/kg]	Th [mg/kg]	U [mg/kg]	δ18O [‰]	δ18O std dev [±]
Pukeonake	hdl:10273/IELEG0001	NZ 3 WR	whole rock sample		Pukeonake	-39.144991	175.565564	55.70	0.66	13.37		7.83	0.13	10.57	7.44	2.76	1.28	0.12			99.86				#652		#316		#65.0		#47.0	#276																														
Pukeonake	hdl:10273/IELEG0002	NZ 5 WR	whole rock sample		Pukeonake	-39.144973	175.566102	55.68	0.66	13.49		7.85	0.13	10.67	7.26	2.49	1.24	0.12			99.59	12.3	26.1	192	600	40.7	305	56.1	61.7	29.2	48.0	278	15.6	101	3.32	0.862	1.25	0.156	3.02	293	10.1	22.2	2.77	11.5	2.75	0.691	2.72	0.456	2.81	0.575	1.61	0.239	1.61	0.241	2.93	0.268	0.287	7.13	4.64	1.28		
Pukeonake	hdl:10273/IELEG0004	NZ 9 WR	whole rock sample		Pukeonake	-39.145109	175.565720	56.48	0.69	14.06		7.51	0.12	8.83	7.21	2.73	1.41	0.13			99.17				#498		#209		#72.0		#53.0	#272																														
Pukeonake	hdl:10273/IELEG0005	NZ 11a WR	whole rock sample		Pukeonake	-39.144782	175.566633	56.83	0.70	14.46		7.49	0.12	8.61	7.40	2.86	1.46	0.14			100.07				#518		#364		#67.0		#13.0	#283																														
Pukeonake	hdl:10273/IELEG0005	NZ 11b WR	whole rock sample		Pukeonake	-39.144782	175.566633	56.57	0.70	14.07		7.48	0.12	8.53	7.21	2.68	1.45	0.14			98.95	15.9	25.1	195	461	36.9	205	81.1	61.9	32.1	56.4	278	16.6	110	3.84	0.839	1.46	0.169	3.48	321	11.4	25.1	3.12	12.9	3.02	0.762	2.96	0.480	2.98	0.604	1.70	0.253	1.68	0.253	3.15	0.302	0.492	8.05	5.21	1.45		
Pukeonake	hdl:10273/IELEG0006	NZ 12 WR	whole rock sample		Pukeonake	-39.144856	175.566722	56.14	0.70	14.11		7.79	0.12	9.04	7.50	2.77	1.36	0.13			99.66	17.2	27.1	206	443	37.5	224	89.3	64.6	31.8	53.4	284	17.1	110	3.62	0.783	1.42	0.164	3.35	314	11.0	24.3	3.04	12.7	2.99	0.758	2.98	0.493	3.05	0.629	1.76	0.259	1.73	0.263	3.18	0.285	0.336	7.87	5.13	1.42		
Pukeonake	hdl:10273/IELEG0001	NZ 3	matrix glass	MATRIX	Pukeonake	-39.144991	175.565564	64.38	1.73	15.03	4.03		0.04	0.53	2.19	3.72	5.23	0.38	0.01	0.25	97.52																																								8.29	0.01
Pukeonake	hdl:10273/IELEG0001	NZ 3	matrix glass	MATRIX	Pukeonake	-39.144991	175.565564	64.42	1.87	16.54	1.82		0.00	0.82	3.60	3.76	4.06	0.43	0.01	0.29	97.62																																									
Pukeonake	hdl:10273/IELEG0001	NZ 3	melt pool	CPX	Pukeonake	-39.144991	175.565564	69.67	1.23	13.89	3.32		0.07	0.96	2.68	1.10	4.08	0.00	0.00	0.00	96.99																																									
Pukeonake	hdl:10273/IELEG0001	NZ 3	melt inclusion	CPX	Pukeonake	-39.144991	175.565564	69.10	1.31	14.53	4.64		0.08	0.42	1.50	1.24	4.28	0.00	0.00	0.00	97.09																																									
Pukeonake	hdl:10273/IELEG0001	NZ 3	melt pool	CPX	Pukeonake	-39.144991	175.565564	58.83	0.96	18.70	6.29		0.09	0.83	5.08	5.22	2.16	0.26	0.05	0.26	98.71																																									
Pukeonake	hdl:10273/IELEG0001	NZ 3	melt inclusion	CPX	Pukeonake	-39.144991	175.565564	59.43	1.04	18.60	3.29		0.09	1.31	8.08	4.69	2.38	0.31	0.04	0.25	99.51																																									
Pukeonake	hdl:10273/IELEG0001	NZ 3	melt inclusion	CPX	Pukeonake	-39.144991	175.565564	65.87	0.96	13.44	5.42		0.06	0.66	2.94	4.40	2.76	0.24	0.00	0.18	96.92																																									
Pukeonake	hdl:10273/IELEG0001	NZ 3	melt inclusion	CPX	Pukeonake	-39.144991	175.565564	69.15	1.16	15.00	1.78		0.05	0.39	1.85	3.43	4.55	0.48	0.03	0.13	97.99																																									
