# Insolation data from five different pyranometers, facing in five different directions. ;;;;;;;;;;
# Contact: stephan.fuhrmann@gmx.net;;;;;;;;;;
;;;;;;;;;;
TIMESTAMP;N_mV_AVG;N_mV_STD;E_mV_AVG;E_mV_STD;S_mV_AVG;S_mV_STD;W_mV_AVG;W_mV_STD;TOP_mV_AVG;TOP_mV_STD
15.06.2019 00:00;-0.2258854;0.2186291;-0.1813696;0.2786417;-0.2932948;0.2171197;0.2472529;0.1821896;0.07198825;0.1208888
15.06.2019 01:00;-0.2342798;0.2076456;-0.1859484;0.2854744;-0.2508143;0.1575165;0.233771;0.1372918;0.07656699;0.2441922
15.06.2019 02:00;-0.1994303;0.1257921;-0.1081095;0.1621062;-0.2604804;0.1353945;0.2261397;0.185666;0.07656698;0.1294316
15.06.2019 03:00;-0.203246;0.1170179;-0.1386345;0.2445386;-0.2927861;0.2172698;0.1643265;0.2568969;0.08419827;0.2318446
15.06.2019 04:00;-0.2454723;0.2265734;-0.1284596;0.2672365;-0.2617524;0.1561664;0.1778084;0.279;0.08954014;0.160401
15.06.2019 05:00;-0.2472529;0.2427781;-0.09589951;0.2473768;-0.2823567;0.1968313;0.1818784;0.1973984;0.149064;0.156155
15.06.2019 06:00;0.3037242;0.3661383;0.5067157;0.4952354;0.4075094;0.5199744;0.6486572;0.3868732;0.9218566;0.5520254
15.06.2019 07:00;5.655528;2.411309;46.66339;27.88218;31.18388;19.24712;6.245172;2.442097;18.48979;9.645029
15.06.2019 08:00;11.64556;1.47529;96.57464;4.053818;83.4191;11.46957;12.32983;1.556511;48.67957;8.826556
15.06.2019 09:00;16.25866;1.408855;100.1456;2.845641;119.5999;8.667311;17.57505;1.884083;80.4564;9.571361
15.06.2019 10:00;22.06325;2.414933;82.53566;18.18312;131.5729;27.69317;24.72707;2.437457;107.7064;22.63611
15.06.2019 11:00;28.15427;6.242095;55.28926;12.27194;115.5437;33.64073;33.35625;7.379048;117.4662;37.55059
15.06.2019 12:00;36.16481;1.765854;43.28426;3.831422;98.74092;22.27549;49.11379;6.402284;126.7217;24.13361
15.06.2019 13:00;38.07898;1.497862;39.98298;2.275118;100.1707;16.69137;70.35234;6.222442;150.2451;20.45226
15.06.2019 14:00;35.63392;1.833238;37.30364;3.461891;73.43972;12.18797;81.19077;9.458818;140.1952;18.93334
15.06.2019 15:00;44.63448;4.83439;36.84602;2.825791;56.19306;7.980157;90.0802;20.71134;134.8714;30.68653
15.06.2019 16:00;55.34038;6.760404;38.84668;2.267699;45.52429;3.520821;80.2814;15.14063;115.0855;20.50564
15.06.2019 17:00;56.7341;15.61275;34.34704;3.662643;36.89003;4.212163;67.50945;20.62922;94.30461;23.99155
15.06.2019 18:00;54.20995;19.96585;25.21268;4.738615;22.98129;5.507167;50.25135;22.78309;67.73942;21.56855
15.06.2019 19:00;25.83488;7.812112;11.44308;3.446089;9.15904;2.735852;17.9813;6.521539;26.39145;8.984852
15.06.2019 20:00;38.54628;21.92646;12.19857;3.193057;14.14175;3.189914;23.77189;8.337976;31.11724;8.373291
15.06.2019 21:00;10.56192;4.612906;6.865847;1.748865;8.459255;1.846885;9.145049;2.217629;14.81941;3.939266
15.06.2019 22:00;0.3207675;1.053542;0.3243286;0.8451178;0.05392754;0.755393;0.5494508;0.914779;0.8892969;1.619761
15.06.2019 23:00;-0.2022285;0.1742786;-0.1905272;0.2810335;-0.2668398;0.167876;0.1869659;0.2427433;0.05723445;0.1785699
16.06.2019 00:00;-0.245981;0.2373652;-0.08343511;0.1545584;-0.2912598;0.179387;0.134819;0.2824759;0.07529513;0.1850455
16.06.2019 01:00;-0.2714186;0.2097709;-0.1620371;0.2879875;-0.2617523;0.1446804;0.1811153;0.2317269;0.1014958;0.141424
16.06.2019 02:00;-0.2731992;0.2223078;-0.1363452;0.2181503;-0.2670942;0.2433643;0.2228329;0.1770321;0.07478637;0.176428
16.06.2019 03:00;-0.2892248;0.1758706;-0.1727209;0.2396669;-0.3138992;0.1606887;0.1444852;0.2483691;0.01602565;0.2129551
16.06.2019 04:00;-0.3128817;0.1854569;-0.2233416;0.1984904;-0.3805456;0.2283412;0.09640827;0.2318278;0.009157505;0.1333238
16.06.2019 05:00;-0.3614674;0.2406988;-0.2935492;0.3144767;-0.3902119;0.2707161;0.08470701;0.2920481;-0.01933254;0.1354233
16.06.2019 06:00;0.03535818;0.2753673;0.1088727;0.4191823;0.1076008;0.3414331;0.4311664;0.3380987;0.8295182;0.6080209
16.06.2019 07:00;1.414073;1.037428;1.593662;1.02045;1.692868;1.029699;1.808609;1.093474;4.130293;2.342235
16.06.2019 08:00;7.475584;2.057088;9.181171;4.007459;10.96358;5.404561;8.70778;2.250259;18.63045;5.47128
16.06.2019 09:00;18.61977;2.512882;28.88229;7.011796;32.56387;8.427625;18.31528;2.88188;48.32701;6.990743
16.06.2019 10:00;24.28827;1.653979;31.21161;8.895806;38.71441;15.71159;26.07882;1.860607;61.39299;13.86914
16.06.2019 11:00;25.43296;1.550646;24.63092;1.904466;27.35909;1.589857;26.55044;0.9365119;51.70334;3.271726
16.06.2019 12:00;32.43872;5.265115;34.64924;7.238091;40.36862;8.476817;36.50567;7.459124;74.80698;17.03414
16.06.2019 13:00;38.42061;3.440463;39.54979;3.145151;52.67149;15.70399;49.84485;14.31896;98.11388;31.53
16.06.2019 14:00;40.23584;3.256289;38.6152;2.359484;56.55885;9.947327;55.28646;11.63004;103.8635;21.82868
16.06.2019 15:00;24.71563;5.579076;31.60717;4.20148;45.57975;9.25116;39.91328;14.61768;73.71062;24.36196
16.06.2019 16:00;20.67741;3.711477;23.95123;3.313051;30.59602;1.497932;24.19797;2.160479;50.72017;4.970239
16.06.2019 17:00;7.115134;2.347012;9.204829;2.639794;13.50733;4.264974;9.223398;3.089637;18.41653;6.379291
16.06.2019 18:00;4.481331;0.7678131;5.879633;0.587679;8.360302;0.5680678;5.242677;0.7739694;10.25209;1.646254
16.06.2019 19:00;4.212458;1.062159;6.255091;1.398321;8.130092;2.154298;5.558358;1.130064;11.54788;2.738056
16.06.2019 20:00;1.818021;0.7054749;1.726446;0.5670811;2.074431;0.7141126;2.268519;0.9327099;3.757634;1.229474
