# Partial results of XRF analyses performed on rock samples from the Picos de Europa formation at Fuente Dé
# The dataset contains sample codes, major and minor elemental abundance, geolocation information and a brief description of the hand specimen
# Citation: T. Racine (2017) Characterising the dolostone host of an MVT Zn-Pb deposit in the Picos de Europa mining district (NW Spain): optical mineralogy, geochemical and fluid inclusion studies, Master Thesis
#
Sample name,File #,Type,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2, Alloy 3, Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,Cl,Cl Err,K,K Err,Ca,Ca Err,Sc,Sc Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Br,Br Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,I,I Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Transect,Lat,Long,Description
fdtd13,2386, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.2940,  0.0340, 16.3828,  1.0738,,,  1.3073,  0.0197,,,  0.0092,  0.0044,,,  0.0198,  0.0060, 24.3092,  0.1844,,,  0.0064,  0.0012,  0.0081,  0.0005,  0.0016,  0.0002,  0.0310,  0.0007,  1.4997,  0.0241,  0.0005,  0.0000,  0.0027,  0.0004,  0.0091,  0.0002,  0.0231,  0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16058564,4.802524834,dolomite
fdtd13,2387, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.2003,  0.0362, 21.1291,  1.3015,,,  1.3273,  0.0198,,,  0.0060,  0.0045,,,  0.0658,  0.0064, 26.2137,  0.2039,,,  0.0016,  0.0012,  0.0259,  0.0007,,,  0.0296,  0.0006,  1.0382,  0.0285,  0.0004,  0.0000,  0.0062,  0.0004,  0.0035,  0.0001,  0.0192,  0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16058564,4.802524834,dolomite
fdtd13,2388, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.1973,  0.0366, 22.7167,  1.3840,,,  1.2827,  0.0194,,,  0.0194,  0.0048,,,  0.0842,  0.0065, 26.6197,  0.2098,,,,,  0.0069,  0.0005,  0.0017,  0.0003,  0.0297,  0.0006,  0.8329,  0.0312,  0.0004,  0.0000,  0.0087,  0.0004,,,  0.0131,  0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16058564,4.802524834,dolomite
fdtd13,2389, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.2923,  0.0340, 16.2695,  1.0655,  0.2568,  0.0429,  1.7025,  0.0241,,,  0.0234,  0.0046,,,  0.2294,  0.0077, 23.6316,  0.1827,,,,,  0.0066,  0.0004,  0.0007,  0.0002,  0.0334,  0.0007,  1.3793,  0.0257,  0.0005,  0.0000,  0.0033,  0.0004,  0.0397,  0.0004,  0.2790,  0.0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16058564,4.802524834,dolomite
fdtd13,2390, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.1597,  0.0390, 24.5951,  1.5309,  0.1590,  0.0464,  1.5244,  0.0223,,,  0.0174,  0.0050,,,  0.1857,  0.0074, 28.4855,  0.2371,,,  0.0056,  0.0014,  0.0190,  0.0007,  0.0038,  0.0003,  0.0345,  0.0008,  1.0424,  0.0313,  0.0005,  0.0000,  0.0064,  0.0004,  0.0641,  0.0007,  0.6210,  0.0136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16058564,4.802524834,dolomite
fdtd13,2391, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.1480,  0.0385, 24.5021,  1.4993,  0.0952,  0.0443,  1.5089,  0.0220,,,  0.0687,  0.0056,,,  0.1533,  0.0071, 27.7668,  0.2265,,,  0.0073,  0.0014,  0.0121,  0.0006,  0.0001,  0.0002,  0.0336,  0.0008,  1.1521,  0.0293,  0.0004,  0.0000,  0.0059,  0.0004,  0.0275,  0.0004,  0.1407,  0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16058564,4.802524834,dolomite
fdtd20,2384, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.5534,  0.0236,  4.5370,  0.4024,,,  1.0348,  0.0141,,,,,,,,, 15.9958,  0.0973,,,,,  0.0011,  0.0003,,,  0.0202,  0.0002,  1.4589,  0.0165,  0.0003,  0.0000,,,,,  0.0079,  0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16068702,4.8024564000000005,pink dolomite
fdtd20,2385, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.2743,  0.0353, 16.0882,  1.0875,,,  1.2145,  0.0186,,,  0.0027,  0.0045,,,  0.0178,  0.0060, 25.7729,  0.1998,,,,,  0.0069,  0.0005,  0.0013,  0.0002,  0.0384,  0.0009,  1.6568,  0.0252,  0.0006,  0.0000,  0.0037,  0.0004,,,  0.0067,  0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16068702,4.8024564000000005,pink dolomite
fdtd29,2399, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.4319,  0.0280,  9.4769,  0.6670,,,  1.1411,  0.0166,,,,,,,,, 18.6540,  0.1246,,,,,  0.0035,  0.0004,,,  0.0201,  0.0002,  1.3345,  0.0188,  0.0003,  0.0000,  0.0054,  0.0004,  0.0235,  0.0002,  0.1435,  0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16048016,4.802596032,white and some grey dolomite
fdtd29,2400, MajMudRock  Emp, 60.1,No Match, 0.0,No Match, 0.0,No Match, 0.0,  0.2201,  0.0357, 23.9130,  1.4186,,,  1.2770,  0.0193,,,,,,,  0.0260,  0.0061, 25.8560,  0.2007,,,  0.0037,  0.0012,  0.0100,  0.0005,  0.0036,  0.0003,  0.0300,  0.0006,  0.9511,  0.0275,  0.0003,  0.0000,  0.0075,  0.0004,  0.0283,  0.0003,  0.1560,  0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.16048016,4.802596032,white and some grey dolomite
